"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"AMAPÁ";"AÉCIO NEVES";"801"
"AMAPÁ";"BRANCO";"36"
"AMAPÁ";"DILMA";"3079"
"AMAPÁ";"EDUARDO JORGE";"4"
"AMAPÁ";"EYMAEL";"33"
"AMAPÁ";"LEVY FIDELIX";"6"
"AMAPÁ";"LUCIANA GENRO";"22"
"AMAPÁ";"MARINA SILVA";"577"
"AMAPÁ";"NULO";"156"
"AMAPÁ";"PASTOR EVERALDO";"57"
"AMAPÁ";"ZÉ MARIA";"2"
"CALÇOENE";"AÉCIO NEVES";"1457"
"CALÇOENE";"BRANCO";"53"
"CALÇOENE";"DILMA";"3363"
"CALÇOENE";"EDUARDO JORGE";"2"
"CALÇOENE";"LEVY FIDELIX";"10"
"CALÇOENE";"LUCIANA GENRO";"16"
"CALÇOENE";"MARINA SILVA";"581"
"CALÇOENE";"MAURO IASI";"2"
"CALÇOENE";"NULO";"216"
"CALÇOENE";"PASTOR EVERALDO";"54"
"CALÇOENE";"ZÉ MARIA";"4"
"CUTIAS";"AÉCIO NEVES";"493"
"CUTIAS";"BRANCO";"16"
"CUTIAS";"DILMA";"2034"
"CUTIAS";"EDUARDO JORGE";"5"
"CUTIAS";"LEVY FIDELIX";"6"
"CUTIAS";"LUCIANA GENRO";"4"
"CUTIAS";"MARINA SILVA";"419"
"CUTIAS";"MAURO IASI";"1"
"CUTIAS";"NULO";"84"
"CUTIAS";"PASTOR EVERALDO";"14"
"CUTIAS";"ZÉ MARIA";"2"
"FERREIRA GOMES";"AÉCIO NEVES";"713"
"FERREIRA GOMES";"BRANCO";"48"
"FERREIRA GOMES";"DILMA";"2429"
"FERREIRA GOMES";"EDUARDO JORGE";"3"
"FERREIRA GOMES";"LEVY FIDELIX";"6"
"FERREIRA GOMES";"LUCIANA GENRO";"29"
"FERREIRA GOMES";"MARINA SILVA";"1093"
"FERREIRA GOMES";"MAURO IASI";"3"
"FERREIRA GOMES";"NULO";"127"
"FERREIRA GOMES";"PASTOR EVERALDO";"76"
"FERREIRA GOMES";"ZÉ MARIA";"3"
"ITAUBAL";"AÉCIO NEVES";"568"
"ITAUBAL";"BRANCO";"22"
"ITAUBAL";"DILMA";"2324"
"ITAUBAL";"EDUARDO JORGE";"8"
"ITAUBAL";"LUCIANA GENRO";"15"
"ITAUBAL";"MARINA SILVA";"513"
"ITAUBAL";"MAURO IASI";"2"
"ITAUBAL";"NULO";"98"
