"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABARÉ";"AÉCIO NEVES";"848"
"ABARÉ";"BRANCO";"65"
"ABARÉ";"DILMA";"6901"
"ABARÉ";"EDUARDO JORGE";"4"
"ABARÉ";"EYMAEL";"1"
"ABARÉ";"LEVY FIDELIX";"13"
"ABARÉ";"LUCIANA GENRO";"4"
"ABARÉ";"MARINA SILVA";"1370"
"ABARÉ";"MAURO IASI";"4"
"ABARÉ";"NULO";"738"
"ABARÉ";"PASTOR EVERALDO";"11"
"ABARÉ";"ZÉ MARIA";"2"
"ABAÍRA";"AÉCIO NEVES";"1047"
"ABAÍRA";"BRANCO";"124"
"ABAÍRA";"DILMA";"2928"
"ABAÍRA";"EDUARDO JORGE";"2"
"ABAÍRA";"EYMAEL";"11"
"ABAÍRA";"LEVY FIDELIX";"13"
"ABAÍRA";"LUCIANA GENRO";"18"
"ABAÍRA";"MARINA SILVA";"377"
"ABAÍRA";"MAURO IASI";"1"
"ABAÍRA";"NULO";"442"
"ABAÍRA";"PASTOR EVERALDO";"29"
"ABAÍRA";"RUI COSTA PIMENTA";"2"
"ABAÍRA";"ZÉ MARIA";"4"
"ACAJUTIBA";"AÉCIO NEVES";"1543"
"ACAJUTIBA";"BRANCO";"235"
"ACAJUTIBA";"DILMA";"4513"
"ACAJUTIBA";"EDUARDO JORGE";"10"
"ACAJUTIBA";"LEVY FIDELIX";"3"
"ACAJUTIBA";"LUCIANA GENRO";"24"
"ACAJUTIBA";"MARINA SILVA";"1035"
"ACAJUTIBA";"MAURO IASI";"2"
"ACAJUTIBA";"NULO";"689"
"ACAJUTIBA";"PASTOR EVERALDO";"26"
"ADUSTINA";"AÉCIO NEVES";"780"
"ADUSTINA";"BRANCO";"223"
"ADUSTINA";"DILMA";"6192"
"ADUSTINA";"EDUARDO JORGE";"6"
"ADUSTINA";"EYMAEL";"2"
"ADUSTINA";"LEVY FIDELIX";"16"
"ADUSTINA";"LUCIANA GENRO";"12"
"ADUSTINA";"MARINA SILVA";"548"
"ADUSTINA";"MAURO IASI";"3"
"ADUSTINA";"NULO";"693"
"ADUSTINA";"PASTOR EVERALDO";"11"
"ADUSTINA";"RUI COSTA PIMENTA";"1"
"ADUSTINA";"ZÉ MARIA";"4"
"AIQUARA";"AÉCIO NEVES";"301"
"AIQUARA";"BRANCO";"65"
"AIQUARA";"DILMA";"1919"
"AIQUARA";"EDUARDO JORGE";"4"
"AIQUARA";"LEVY FIDELIX";"3"
"AIQUARA";"LUCIANA GENRO";"7"
"AIQUARA";"MARINA SILVA";"478"
"AIQUARA";"MAURO IASI";"2"
"AIQUARA";"NULO";"238"
"AIQUARA";"PASTOR EVERALDO";"26"
"ALAGOINHAS";"AÉCIO NEVES";"12650"
"ALAGOINHAS";"BRANCO";"3815"
"ALAGOINHAS";"DILMA";"37064"
"ALAGOINHAS";"EDUARDO JORGE";"132"
"ALAGOINHAS";"EYMAEL";"26"
"ALAGOINHAS";"LEVY FIDELIX";"188"
"ALAGOINHAS";"LUCIANA GENRO";"783"
"ALAGOINHAS";"MARINA SILVA";"22584"
"ALAGOINHAS";"MAURO IASI";"33"
"ALAGOINHAS";"NULO";"5785"
"ALAGOINHAS";"PASTOR EVERALDO";"552"
"ALAGOINHAS";"RUI COSTA PIMENTA";"8"
"ALAGOINHAS";"ZÉ MARIA";"106"
"ALCOBAÇA";"AÉCIO NEVES";"1489"
"ALCOBAÇA";"BRANCO";"377"
"ALCOBAÇA";"DILMA";"7927"
"ALCOBAÇA";"EDUARDO JORGE";"23"
"ALCOBAÇA";"LEVY FIDELIX";"26"
"ALCOBAÇA";"LUCIANA GENRO";"30"
"ALCOBAÇA";"MARINA SILVA";"1281"
"ALCOBAÇA";"MAURO IASI";"4"
"ALCOBAÇA";"NULO";"813"
"ALCOBAÇA";"PASTOR EVERALDO";"47"
