"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"AFONSO CLÁUDIO";"AÉCIO NEVES";"7298"
"AFONSO CLÁUDIO";"BRANCO";"672"
"AFONSO CLÁUDIO";"DILMA";"6272"
"AFONSO CLÁUDIO";"EDUARDO JORGE";"55"
"AFONSO CLÁUDIO";"EYMAEL";"21"
"AFONSO CLÁUDIO";"LEVY FIDELIX";"43"
"AFONSO CLÁUDIO";"LUCIANA GENRO";"66"
"AFONSO CLÁUDIO";"MARINA SILVA";"3541"
"AFONSO CLÁUDIO";"MAURO IASI";"5"
"AFONSO CLÁUDIO";"NULO";"903"
"AFONSO CLÁUDIO";"PASTOR EVERALDO";"71"
"AFONSO CLÁUDIO";"ZÉ MARIA";"5"
"ALEGRE";"AÉCIO NEVES";"6205"
"ALEGRE";"BRANCO";"684"
"ALEGRE";"DILMA";"6571"
"ALEGRE";"EDUARDO JORGE";"117"
"ALEGRE";"EYMAEL";"5"
"ALEGRE";"LEVY FIDELIX";"57"
"ALEGRE";"LUCIANA GENRO";"102"
"ALEGRE";"MARINA SILVA";"3596"
"ALEGRE";"MAURO IASI";"2"
"ALEGRE";"NULO";"1041"
"ALEGRE";"PASTOR EVERALDO";"100"
"ALEGRE";"RUI COSTA PIMENTA";"1"
"ALEGRE";"ZÉ MARIA";"6"
"ALFREDO CHAVES";"AÉCIO NEVES";"4539"
"ALFREDO CHAVES";"BRANCO";"446"
"ALFREDO CHAVES";"DILMA";"1778"
"ALFREDO CHAVES";"EDUARDO JORGE";"41"
"ALFREDO CHAVES";"EYMAEL";"2"
"ALFREDO CHAVES";"LEVY FIDELIX";"21"
"ALFREDO CHAVES";"LUCIANA GENRO";"48"
"ALFREDO CHAVES";"MARINA SILVA";"1982"
"ALFREDO CHAVES";"MAURO IASI";"3"
"ALFREDO CHAVES";"NULO";"445"
"ALFREDO CHAVES";"PASTOR EVERALDO";"44"
"ALFREDO CHAVES";"ZÉ MARIA";"6"
"ALTO RIO NOVO";"AÉCIO NEVES";"950"
"ALTO RIO NOVO";"BRANCO";"72"
"ALTO RIO NOVO";"DILMA";"2862"
"ALTO RIO NOVO";"EDUARDO JORGE";"11"
"ALTO RIO NOVO";"EYMAEL";"4"
"ALTO RIO NOVO";"LEVY FIDELIX";"11"
"ALTO RIO NOVO";"LUCIANA GENRO";"7"
"ALTO RIO NOVO";"MARINA SILVA";"633"
"ALTO RIO NOVO";"MAURO IASI";"1"
"ALTO RIO NOVO";"NULO";"241"
"ALTO RIO NOVO";"PASTOR EVERALDO";"16"
"ALTO RIO NOVO";"ZÉ MARIA";"1"
"ANCHIETA";"AÉCIO NEVES";"4988"
"ANCHIETA";"BRANCO";"665"
"ANCHIETA";"DILMA";"4912"
"ANCHIETA";"EDUARDO JORGE";"65"
"ANCHIETA";"EYMAEL";"13"
"ANCHIETA";"LEVY FIDELIX";"31"
"ANCHIETA";"LUCIANA GENRO";"116"
"ANCHIETA";"MARINA SILVA";"6190"
"ANCHIETA";"MAURO IASI";"4"
"ANCHIETA";"NULO";"716"
"ANCHIETA";"PASTOR EVERALDO";"134"
"ANCHIETA";"ZÉ MARIA";"4"
"APIACÁ";"AÉCIO NEVES";"1123"
"APIACÁ";"BRANCO";"92"
"APIACÁ";"DILMA";"1867"
"APIACÁ";"EDUARDO JORGE";"17"
"APIACÁ";"LEVY FIDELIX";"11"
"APIACÁ";"LUCIANA GENRO";"24"
"APIACÁ";"MARINA SILVA";"1186"
"APIACÁ";"MAURO IASI";"1"
"APIACÁ";"NULO";"305"
"APIACÁ";"PASTOR EVERALDO";"34"
"APIACÁ";"RUI COSTA PIMENTA";"1"
"APIACÁ";"ZÉ MARIA";"1"
"ARACRUZ";"AÉCIO NEVES";"16218"
"ARACRUZ";"BRANCO";"2320"
"ARACRUZ";"DILMA";"12854"
"ARACRUZ";"EDUARDO JORGE";"249"
"ARACRUZ";"EYMAEL";"31"
"ARACRUZ";"LEVY FIDELIX";"239"
"ARACRUZ";"LUCIANA GENRO";"372"
"ARACRUZ";"MARINA SILVA";"15092"
"ARACRUZ";"MAURO IASI";"15"
"ARACRUZ";"NULO";"2895"
"ARACRUZ";"PASTOR EVERALDO";"433"
"ARACRUZ";"RUI COSTA PIMENTA";"5"
"ARACRUZ";"ZÉ MARIA";"28"
"ATÍLIO VIVÁCQUA";"AÉCIO NEVES";"2183"
"ATÍLIO VIVÁCQUA";"BRANCO";"172"
"ATÍLIO VIVÁCQUA";"DILMA";"2769"
"ATÍLIO VIVÁCQUA";"EDUARDO JORGE";"22"
"ATÍLIO VIVÁCQUA";"EYMAEL";"2"
"ATÍLIO VIVÁCQUA";"LEVY FIDELIX";"23"
"ATÍLIO VIVÁCQUA";"LUCIANA GENRO";"24"
"ATÍLIO VIVÁCQUA";"MARINA SILVA";"1345"
"ATÍLIO VIVÁCQUA";"MAURO IASI";"5"
"ATÍLIO VIVÁCQUA";"NULO";"242"
"ATÍLIO VIVÁCQUA";"PASTOR EVERALDO";"37"
"ATÍLIO VIVÁCQUA";"RUI COSTA PIMENTA";"1"
"ATÍLIO VIVÁCQUA";"ZÉ MARIA";"8"
"BAIXO GUANDU";"AÉCIO NEVES";"5628"
"BAIXO GUANDU";"BRANCO";"655"
"BAIXO GUANDU";"DILMA";"7234"
"BAIXO GUANDU";"EDUARDO JORGE";"94"
"BAIXO GUANDU";"EYMAEL";"10"
"BAIXO GUANDU";"LEVY FIDELIX";"63"
"BAIXO GUANDU";"LUCIANA GENRO";"76"
"BAIXO GUANDU";"MARINA SILVA";"3305"
"BAIXO GUANDU";"MAURO IASI";"4"
"BAIXO GUANDU";"NULO";"826"
"BAIXO GUANDU";"PASTOR EVERALDO";"146"
"BAIXO GUANDU";"RUI COSTA PIMENTA";"7"
"BAIXO GUANDU";"ZÉ MARIA";"7"
"BARRA DE SÃO FRANCISCO";"AÉCIO NEVES";"6154"
"BARRA DE SÃO FRANCISCO";"BRANCO";"556"
"BARRA DE SÃO FRANCISCO";"DILMA";"12741"
"BARRA DE SÃO FRANCISCO";"EDUARDO JORGE";"81"
"BARRA DE SÃO FRANCISCO";"EYMAEL";"7"
"BARRA DE SÃO FRANCISCO";"LEVY FIDELIX";"78"
"BARRA DE SÃO FRANCISCO";"LUCIANA GENRO";"46"
"BARRA DE SÃO FRANCISCO";"MARINA SILVA";"4215"
"BARRA DE SÃO FRANCISCO";"MAURO IASI";"9"
"BARRA DE SÃO FRANCISCO";"NULO";"998"
"BARRA DE SÃO FRANCISCO";"PASTOR EVERALDO";"202"
"BARRA DE SÃO FRANCISCO";"RUI COSTA PIMENTA";"3"
"BARRA DE SÃO FRANCISCO";"ZÉ MARIA";"7"
