"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABREU E LIMA";"AÉCIO NEVES";"1757"
"ABREU E LIMA";"BRANCO";"2865"
"ABREU E LIMA";"DILMA";"22091"
"ABREU E LIMA";"EDUARDO JORGE";"82"
"ABREU E LIMA";"EYMAEL";"23"
"ABREU E LIMA";"LEVY FIDELIX";"177"
"ABREU E LIMA";"LUCIANA GENRO";"419"
"ABREU E LIMA";"MARINA SILVA";"34839"
"ABREU E LIMA";"MAURO IASI";"52"
"ABREU E LIMA";"NULO";"2634"
"ABREU E LIMA";"PASTOR EVERALDO";"246"
"ABREU E LIMA";"RUI COSTA PIMENTA";"2"
"ABREU E LIMA";"ZÉ MARIA";"34"
"AFOGADOS DA INGAZEIRA";"AÉCIO NEVES";"1098"
"AFOGADOS DA INGAZEIRA";"BRANCO";"748"
"AFOGADOS DA INGAZEIRA";"DILMA";"10702"
"AFOGADOS DA INGAZEIRA";"EDUARDO JORGE";"26"
"AFOGADOS DA INGAZEIRA";"EYMAEL";"5"
"AFOGADOS DA INGAZEIRA";"LEVY FIDELIX";"12"
"AFOGADOS DA INGAZEIRA";"LUCIANA GENRO";"79"
"AFOGADOS DA INGAZEIRA";"MARINA SILVA";"7086"
"AFOGADOS DA INGAZEIRA";"MAURO IASI";"3"
"AFOGADOS DA INGAZEIRA";"NULO";"1263"
"AFOGADOS DA INGAZEIRA";"PASTOR EVERALDO";"20"
"AFOGADOS DA INGAZEIRA";"ZÉ MARIA";"2"
"AFRÂNIO";"AÉCIO NEVES";"647"
"AFRÂNIO";"BRANCO";"309"
"AFRÂNIO";"DILMA";"8158"
"AFRÂNIO";"EDUARDO JORGE";"6"
"AFRÂNIO";"EYMAEL";"1"
"AFRÂNIO";"LEVY FIDELIX";"20"
"AFRÂNIO";"LUCIANA GENRO";"16"
"AFRÂNIO";"MARINA SILVA";"2994"
"AFRÂNIO";"MAURO IASI";"3"
"AFRÂNIO";"NULO";"850"
"AFRÂNIO";"PASTOR EVERALDO";"39"
"AFRÂNIO";"ZÉ MARIA";"4"
"AGRESTINA";"AÉCIO NEVES";"662"
"AGRESTINA";"BRANCO";"710"
"AGRESTINA";"DILMA";"9361"
"AGRESTINA";"EDUARDO JORGE";"9"
"AGRESTINA";"EYMAEL";"2"
"AGRESTINA";"LEVY FIDELIX";"24"
"AGRESTINA";"LUCIANA GENRO";"45"
"AGRESTINA";"MARINA SILVA";"3242"
"AGRESTINA";"MAURO IASI";"2"
"AGRESTINA";"NULO";"992"
"AGRESTINA";"PASTOR EVERALDO";"95"
"AGRESTINA";"RUI COSTA PIMENTA";"1"
"AGRESTINA";"ZÉ MARIA";"3"
"ALAGOINHA";"AÉCIO NEVES";"378"
"ALAGOINHA";"BRANCO";"271"
"ALAGOINHA";"DILMA";"6212"
"ALAGOINHA";"EDUARDO JORGE";"12"
"ALAGOINHA";"EYMAEL";"1"
"ALAGOINHA";"LEVY FIDELIX";"16"
"ALAGOINHA";"LUCIANA GENRO";"35"
"ALAGOINHA";"MARINA SILVA";"1337"
"ALAGOINHA";"MAURO IASI";"2"
"ALAGOINHA";"NULO";"704"
"ALAGOINHA";"PASTOR EVERALDO";"34"
"ALAGOINHA";"RUI COSTA PIMENTA";"2"
"ALAGOINHA";"ZÉ MARIA";"6"
"ALIANÇA";"AÉCIO NEVES";"846"
"ALIANÇA";"BRANCO";"1166"
"ALIANÇA";"DILMA";"7785"
"ALIANÇA";"EDUARDO JORGE";"22"
"ALIANÇA";"EYMAEL";"3"
"ALIANÇA";"LEVY FIDELIX";"21"
"ALIANÇA";"LUCIANA GENRO";"52"
"ALIANÇA";"MARINA SILVA";"9957"
"ALIANÇA";"MAURO IASI";"5"
"ALIANÇA";"NULO";"1113"
"ALIANÇA";"PASTOR EVERALDO";"58"
"ALIANÇA";"RUI COSTA PIMENTA";"1"
"ALIANÇA";"ZÉ MARIA";"5"
"ALTINHO";"AÉCIO NEVES";"821"
"ALTINHO";"BRANCO";"794"
"ALTINHO";"DILMA";"5506"
"ALTINHO";"EDUARDO JORGE";"15"
"ALTINHO";"EYMAEL";"3"
"ALTINHO";"LEVY FIDELIX";"22"
"ALTINHO";"LUCIANA GENRO";"33"
"ALTINHO";"MARINA SILVA";"4791"
"ALTINHO";"MAURO IASI";"2"
"ALTINHO";"NULO";"887"
"ALTINHO";"PASTOR EVERALDO";"14"
"ALTINHO";"RUI COSTA PIMENTA";"1"
"ALTINHO";"ZÉ MARIA";"1"
"AMARAJI";"AÉCIO NEVES";"512"
"AMARAJI";"BRANCO";"771"
