"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABREULÂNDIA";"AÉCIO NEVES";"287"
"ABREULÂNDIA";"BRANCO";"14"
"ABREULÂNDIA";"DILMA";"884"
"ABREULÂNDIA";"LEVY FIDELIX";"2"
"ABREULÂNDIA";"MARINA SILVA";"269"
"ABREULÂNDIA";"NULO";"133"
"ABREULÂNDIA";"PASTOR EVERALDO";"6"
"AGUIARNÓPOLIS";"AÉCIO NEVES";"568"
"AGUIARNÓPOLIS";"BRANCO";"45"
"AGUIARNÓPOLIS";"DILMA";"1548"
"AGUIARNÓPOLIS";"EDUARDO JORGE";"2"
"AGUIARNÓPOLIS";"LEVY FIDELIX";"3"
"AGUIARNÓPOLIS";"LUCIANA GENRO";"3"
"AGUIARNÓPOLIS";"MARINA SILVA";"488"
"AGUIARNÓPOLIS";"NULO";"216"
"AGUIARNÓPOLIS";"PASTOR EVERALDO";"19"
"AGUIARNÓPOLIS";"ZÉ MARIA";"1"
"ALIANÇA DO TOCANTINS";"AÉCIO NEVES";"882"
"ALIANÇA DO TOCANTINS";"BRANCO";"53"
"ALIANÇA DO TOCANTINS";"DILMA";"1655"
"ALIANÇA DO TOCANTINS";"EDUARDO JORGE";"1"
"ALIANÇA DO TOCANTINS";"LEVY FIDELIX";"10"
"ALIANÇA DO TOCANTINS";"LUCIANA GENRO";"5"
"ALIANÇA DO TOCANTINS";"MARINA SILVA";"350"
"ALIANÇA DO TOCANTINS";"NULO";"224"
"ALIANÇA DO TOCANTINS";"PASTOR EVERALDO";"13"
"ALIANÇA DO TOCANTINS";"RUI COSTA PIMENTA";"1"
"ALMAS";"AÉCIO NEVES";"1120"
"ALMAS";"BRANCO";"34"
"ALMAS";"DILMA";"2005"
"ALMAS";"EDUARDO JORGE";"1"
"ALMAS";"EYMAEL";"1"
"ALMAS";"LEVY FIDELIX";"4"
"ALMAS";"LUCIANA GENRO";"6"
"ALMAS";"MARINA SILVA";"386"
"ALMAS";"MAURO IASI";"3"
"ALMAS";"NULO";"332"
"ALMAS";"PASTOR EVERALDO";"65"
"ALMAS";"ZÉ MARIA";"1"
"ALVORADA";"AÉCIO NEVES";"1781"
"ALVORADA";"BRANCO";"83"
"ALVORADA";"DILMA";"2273"
"ALVORADA";"EDUARDO JORGE";"6"
"ALVORADA";"EYMAEL";"5"
"ALVORADA";"LEVY FIDELIX";"10"
"ALVORADA";"LUCIANA GENRO";"10"
"ALVORADA";"MARINA SILVA";"649"
"ALVORADA";"NULO";"379"
"ALVORADA";"PASTOR EVERALDO";"45"
