"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACRELÂNDIA";"AÉCIO NEVES";"4076"
"ACRELÂNDIA";"BRANCO";"38"
"ACRELÂNDIA";"DILMA";"2210"
"ACRELÂNDIA";"NULO";"83"
"ASSIS BRASIL";"AÉCIO NEVES";"2116"
"ASSIS BRASIL";"BRANCO";"22"
"ASSIS BRASIL";"DILMA";"1966"
"ASSIS BRASIL";"NULO";"92"
"BRASILÉIA";"AÉCIO NEVES";"7553"
"BRASILÉIA";"BRANCO";"92"
"BRASILÉIA";"DILMA";"4882"
"BRASILÉIA";"NULO";"209"
"BUJARI";"AÉCIO NEVES";"3558"
"BUJARI";"BRANCO";"45"
"BUJARI";"DILMA";"1833"
"BUJARI";"NULO";"114"
"CAPIXABA";"AÉCIO NEVES";"3496"
"CAPIXABA";"BRANCO";"27"
"CAPIXABA";"DILMA";"1462"
"CAPIXABA";"NULO";"73"
"CRUZEIRO DO SUL";"AÉCIO NEVES";"21388"
"CRUZEIRO DO SUL";"BRANCO";"343"
"CRUZEIRO DO SUL";"DILMA";"13506"
"CRUZEIRO DO SUL";"NULO";"709"
"EPITACIOLÂNDIA";"AÉCIO NEVES";"4984"
"EPITACIOLÂNDIA";"BRANCO";"62"
"EPITACIOLÂNDIA";"DILMA";"2529"
"EPITACIOLÂNDIA";"NULO";"137"
"FEIJÓ";"AÉCIO NEVES";"4934"
"FEIJÓ";"BRANCO";"70"
"FEIJÓ";"DILMA";"7333"
"FEIJÓ";"NULO";"339"
"JORDÃO";"AÉCIO NEVES";"1232"
"JORDÃO";"BRANCO";"9"
"JORDÃO";"DILMA";"1552"
"JORDÃO";"NULO";"53"
"MANOEL URBANO";"AÉCIO NEVES";"1981"
"MANOEL URBANO";"BRANCO";"30"
"MANOEL URBANO";"DILMA";"1764"
"MANOEL URBANO";"NULO";"108"
"MARECHAL THAUMATURGO";"AÉCIO NEVES";"2764"
"MARECHAL THAUMATURGO";"BRANCO";"18"
"MARECHAL THAUMATURGO";"DILMA";"2997"
"MARECHAL THAUMATURGO";"NULO";"122"
"MÂNCIO LIMA";"AÉCIO NEVES";"3413"
"MÂNCIO LIMA";"BRANCO";"55"
"MÂNCIO LIMA";"DILMA";"3900"
"MÂNCIO LIMA";"NULO";"114"
"PLÁCIDO DE CASTRO";"AÉCIO NEVES";"5965"
"PLÁCIDO DE CASTRO";"BRANCO";"69"
"PLÁCIDO DE CASTRO";"DILMA";"2868"
"PLÁCIDO DE CASTRO";"NULO";"159"
"PORTO ACRE";"AÉCIO NEVES";"5279"
"PORTO ACRE";"BRANCO";"79"
"PORTO ACRE";"DILMA";"3152"
"PORTO ACRE";"NULO";"165"
"PORTO WALTER";"AÉCIO NEVES";"1775"
"PORTO WALTER";"BRANCO";"12"
"PORTO WALTER";"DILMA";"1777"
"PORTO WALTER";"NULO";"84"
"RIO BRANCO";"AÉCIO NEVES";"135243"
"RIO BRANCO";"BRANCO";"2139"
"RIO BRANCO";"DILMA";"59921"
"RIO BRANCO";"NULO";"4430"
"RODRIGUES ALVES";"AÉCIO NEVES";"3562"
"RODRIGUES ALVES";"BRANCO";"43"
"RODRIGUES ALVES";"DILMA";"2782"
"RODRIGUES ALVES";"NULO";"106"
"SANTA ROSA DO PURUS";"AÉCIO NEVES";"693"
"SANTA ROSA DO PURUS";"BRANCO";"17"
"SANTA ROSA DO PURUS";"DILMA";"852"
"SANTA ROSA DO PURUS";"NULO";"48"
"SENA MADUREIRA";"AÉCIO NEVES";"10951"
"SENA MADUREIRA";"BRANCO";"87"
"SENA MADUREIRA";"DILMA";"5380"
"SENA MADUREIRA";"NULO";"334"
"SENADOR GUIOMARD";"AÉCIO NEVES";"8493"
"SENADOR GUIOMARD";"BRANCO";"95"
"SENADOR GUIOMARD";"DILMA";"3836"
"SENADOR GUIOMARD";"NULO";"217"
"TARAUACÁ";"AÉCIO NEVES";"6054"
"TARAUACÁ";"BRANCO";"87"
"TARAUACÁ";"DILMA";"8366"
"TARAUACÁ";"NULO";"360"
"XAPURI";"AÉCIO NEVES";"4167"
"XAPURI";"BRANCO";"41"
"XAPURI";"DILMA";"4114"
"XAPURI";"NULO";"178"
