"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABAIARA";"AÉCIO NEVES";"561"
"ABAIARA";"BRANCO";"72"
"ABAIARA";"DILMA";"4433"
"ABAIARA";"NULO";"230"
"ACARAPE";"AÉCIO NEVES";"1765"
"ACARAPE";"BRANCO";"177"
"ACARAPE";"DILMA";"6571"
"ACARAPE";"NULO";"399"
"ACARAÚ";"AÉCIO NEVES";"5029"
"ACARAÚ";"BRANCO";"435"
"ACARAÚ";"DILMA";"24144"
"ACARAÚ";"NULO";"1273"
"ACOPIARA";"AÉCIO NEVES";"3146"
"ACOPIARA";"BRANCO";"373"
"ACOPIARA";"DILMA";"24346"
"ACOPIARA";"NULO";"1433"
"AIUABA";"AÉCIO NEVES";"719"
"AIUABA";"BRANCO";"57"
"AIUABA";"DILMA";"6488"
"AIUABA";"NULO";"456"
"ALCÂNTARAS";"AÉCIO NEVES";"926"
"ALCÂNTARAS";"BRANCO";"117"
"ALCÂNTARAS";"DILMA";"5233"
"ALCÂNTARAS";"NULO";"350"
"ALTANEIRA";"AÉCIO NEVES";"723"
"ALTANEIRA";"BRANCO";"51"
"ALTANEIRA";"DILMA";"3446"
"ALTANEIRA";"NULO";"196"
"ALTO SANTO";"AÉCIO NEVES";"963"
"ALTO SANTO";"BRANCO";"87"
"ALTO SANTO";"DILMA";"7877"
"ALTO SANTO";"NULO";"395"
"AMONTADA";"AÉCIO NEVES";"5087"
"AMONTADA";"BRANCO";"235"
"AMONTADA";"DILMA";"15835"
"AMONTADA";"NULO";"967"
"ANTONINA DO NORTE";"AÉCIO NEVES";"527"
"ANTONINA DO NORTE";"BRANCO";"42"
"ANTONINA DO NORTE";"DILMA";"3426"
"ANTONINA DO NORTE";"NULO";"214"
"APUIARÉS";"AÉCIO NEVES";"1351"
"APUIARÉS";"BRANCO";"86"
"APUIARÉS";"DILMA";"7119"
"APUIARÉS";"NULO";"342"
"AQUIRAZ";"AÉCIO NEVES";"7698"
"AQUIRAZ";"BRANCO";"599"
"AQUIRAZ";"DILMA";"29653"
"AQUIRAZ";"NULO";"2297"
"ARACATI";"AÉCIO NEVES";"8384"
"ARACATI";"BRANCO";"830"
"ARACATI";"DILMA";"31367"
"ARACATI";"NULO";"1520"
"ARACOIABA";"AÉCIO NEVES";"2866"
"ARACOIABA";"BRANCO";"190"
"ARACOIABA";"DILMA";"14114"
"ARACOIABA";"NULO";"662"
"ARARENDÁ";"AÉCIO NEVES";"1425"
"ARARENDÁ";"BRANCO";"39"
"ARARENDÁ";"DILMA";"4402"
"ARARENDÁ";"NULO";"312"
"ARARIPE";"AÉCIO NEVES";"1187"
"ARARIPE";"BRANCO";"84"
"ARARIPE";"DILMA";"10305"
"ARARIPE";"NULO";"715"
"ARATUBA";"AÉCIO NEVES";"1276"
"ARATUBA";"BRANCO";"93"
"ARATUBA";"DILMA";"6097"
"ARATUBA";"NULO";"341"
"ARNEIROZ";"AÉCIO NEVES";"889"
"ARNEIROZ";"BRANCO";"45"
"ARNEIROZ";"DILMA";"3590"
"ARNEIROZ";"NULO";"254"
"ASSARÉ";"AÉCIO NEVES";"2281"
"ASSARÉ";"BRANCO";"133"
"ASSARÉ";"DILMA";"10122"
"ASSARÉ";"NULO";"569"
"AURORA";"AÉCIO NEVES";"3512"
"AURORA";"BRANCO";"140"
"AURORA";"DILMA";"11120"
"AURORA";"NULO";"657"
"BAIXIO";"AÉCIO NEVES";"443"
"BAIXIO";"BRANCO";"35"
"BAIXIO";"DILMA";"3337"
"BAIXIO";"NULO";"137"
"BANABUIÚ";"AÉCIO NEVES";"1204"
"BANABUIÚ";"BRANCO";"71"
"BANABUIÚ";"DILMA";"8507"
"BANABUIÚ";"NULO";"386"
"BARBALHA";"AÉCIO NEVES";"10165"
"BARBALHA";"BRANCO";"441"
"BARBALHA";"DILMA";"22078"
"BARBALHA";"NULO";"1306"
"BARREIRA";"AÉCIO NEVES";"3162"
"BARREIRA";"BRANCO";"202"
"BARREIRA";"DILMA";"9880"
"BARREIRA";"NULO";"824"
"BARRO";"AÉCIO NEVES";"1491"
"BARRO";"BRANCO";"125"
"BARRO";"DILMA";"9989"
"BARRO";"NULO";"455"
"BARROQUINHA";"AÉCIO NEVES";"1141"
"BARROQUINHA";"BRANCO";"111"
"BARROQUINHA";"DILMA";"6976"
"BARROQUINHA";"NULO";"360"
"BATURITÉ";"AÉCIO NEVES";"3842"
"BATURITÉ";"BRANCO";"339"
"BATURITÉ";"DILMA";"15360"
"BATURITÉ";"NULO";"858"
"BEBERIBE";"AÉCIO NEVES";"6086"
"BEBERIBE";"BRANCO";"476"
"BEBERIBE";"DILMA";"23310"
"BEBERIBE";"NULO";"1353"
"BELA CRUZ";"AÉCIO NEVES";"3734"
"BELA CRUZ";"BRANCO";"202"
"BELA CRUZ";"DILMA";"10974"
"BELA CRUZ";"NULO";"757"
"BOA VIAGEM";"AÉCIO NEVES";"3731"
"BOA VIAGEM";"BRANCO";"266"
"BOA VIAGEM";"DILMA";"23524"
"BOA VIAGEM";"NULO";"1135"
"BREJO SANTO";"AÉCIO NEVES";"4434"
"BREJO SANTO";"BRANCO";"213"
"BREJO SANTO";"DILMA";"20737"
"BREJO SANTO";"NULO";"989"
"CAMOCIM";"AÉCIO NEVES";"7067"
"CAMOCIM";"BRANCO";"472"
"CAMOCIM";"DILMA";"26162"
"CAMOCIM";"NULO";"1503"
"CAMPOS SALES";"AÉCIO NEVES";"2182"
"CAMPOS SALES";"BRANCO";"139"
"CAMPOS SALES";"DILMA";"11478"
"CAMPOS SALES";"NULO";"623"
"CANINDÉ";"AÉCIO NEVES";"5956"
"CANINDÉ";"BRANCO";"405"
"CANINDÉ";"DILMA";"32402"
"CANINDÉ";"NULO";"1649"
"CAPISTRANO";"AÉCIO NEVES";"1604"
"CAPISTRANO";"BRANCO";"138"
"CAPISTRANO";"DILMA";"9263"
"CAPISTRANO";"NULO";"471"
"CARIDADE";"AÉCIO NEVES";"1150"
"CARIDADE";"BRANCO";"116"
