"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ALCINÓPOLIS";"AÉCIO NEVES";"1353"
"ALCINÓPOLIS";"BRANCO";"23"
"ALCINÓPOLIS";"DILMA";"994"
"ALCINÓPOLIS";"NULO";"33"
"AMAMBAI";"AÉCIO NEVES";"8561"
"AMAMBAI";"BRANCO";"146"
"AMAMBAI";"DILMA";"8569"
"AMAMBAI";"NULO";"291"
"ANASTÁCIO";"AÉCIO NEVES";"5872"
"ANASTÁCIO";"BRANCO";"115"
"ANASTÁCIO";"DILMA";"6706"
"ANASTÁCIO";"NULO";"209"
"ANAURILÂNDIA";"AÉCIO NEVES";"2358"
"ANAURILÂNDIA";"BRANCO";"31"
"ANAURILÂNDIA";"DILMA";"2221"
"ANAURILÂNDIA";"NULO";"86"
"ANGÉLICA";"AÉCIO NEVES";"2780"
"ANGÉLICA";"BRANCO";"72"
"ANGÉLICA";"DILMA";"2862"
"ANGÉLICA";"NULO";"131"
"ANTÔNIO JOÃO";"AÉCIO NEVES";"2941"
"ANTÔNIO JOÃO";"BRANCO";"34"
"ANTÔNIO JOÃO";"DILMA";"2106"
"ANTÔNIO JOÃO";"NULO";"103"
"APARECIDA DO TABOADO";"AÉCIO NEVES";"7790"
"APARECIDA DO TABOADO";"BRANCO";"177"
"APARECIDA DO TABOADO";"DILMA";"4472"
"APARECIDA DO TABOADO";"NULO";"342"
"AQUIDAUANA";"AÉCIO NEVES";"11506"
"AQUIDAUANA";"BRANCO";"194"
"AQUIDAUANA";"DILMA";"11426"
"AQUIDAUANA";"NULO";"392"
"ARAL MOREIRA";"AÉCIO NEVES";"2277"
"ARAL MOREIRA";"BRANCO";"34"
"ARAL MOREIRA";"DILMA";"2694"
"ARAL MOREIRA";"NULO";"96"
"BANDEIRANTES";"AÉCIO NEVES";"1971"
"BANDEIRANTES";"BRANCO";"25"
"BANDEIRANTES";"DILMA";"2154"
"BANDEIRANTES";"NULO";"82"
"BATAGUASSU";"AÉCIO NEVES";"5943"
"BATAGUASSU";"BRANCO";"160"
"BATAGUASSU";"DILMA";"5474"
"BATAGUASSU";"NULO";"229"
"BATAYPORÃ";"AÉCIO NEVES";"2909"
"BATAYPORÃ";"BRANCO";"86"
"BATAYPORÃ";"DILMA";"3342"
"BATAYPORÃ";"NULO";"150"
"BELA VISTA";"AÉCIO NEVES";"6254"
"BELA VISTA";"BRANCO";"96"
"BELA VISTA";"DILMA";"5123"
"BELA VISTA";"NULO";"176"
"BODOQUENA";"AÉCIO NEVES";"2080"
"BODOQUENA";"BRANCO";"17"
"BODOQUENA";"DILMA";"2394"
"BODOQUENA";"NULO";"78"
"BONITO";"AÉCIO NEVES";"6447"
"BONITO";"BRANCO";"85"
"BONITO";"DILMA";"5214"
"BONITO";"NULO";"211"
"BRASILÂNDIA";"AÉCIO NEVES";"3463"
"BRASILÂNDIA";"BRANCO";"99"
"BRASILÂNDIA";"DILMA";"2723"
"BRASILÂNDIA";"NULO";"135"
"CAARAPÓ";"AÉCIO NEVES";"7290"
"CAARAPÓ";"BRANCO";"190"
"CAARAPÓ";"DILMA";"6698"
"CAARAPÓ";"NULO";"258"
"CAMAPUÃ";"AÉCIO NEVES";"4098"
"CAMAPUÃ";"BRANCO";"57"
"CAMAPUÃ";"DILMA";"4241"
"CAMAPUÃ";"NULO";"129"
"CAMPO GRANDE";"AÉCIO NEVES";"283120"
"CAMPO GRANDE";"BRANCO";"5596"
"CAMPO GRANDE";"DILMA";"175412"
"CAMPO GRANDE";"NULO";"11051"
"CARACOL";"AÉCIO NEVES";"1835"
"CARACOL";"BRANCO";"11"
"CARACOL";"DILMA";"1482"
"CARACOL";"NULO";"29"
"CASSILÂNDIA";"AÉCIO NEVES";"8088"
"CASSILÂNDIA";"BRANCO";"143"
"CASSILÂNDIA";"DILMA";"3436"
"CASSILÂNDIA";"NULO";"285"
"CHAPADÃO DO SUL";"AÉCIO NEVES";"6616"
"CHAPADÃO DO SUL";"BRANCO";"115"
"CHAPADÃO DO SUL";"DILMA";"3663"
"CHAPADÃO DO SUL";"NULO";"204"
"CORGUINHO";"AÉCIO NEVES";"1298"
"CORGUINHO";"BRANCO";"15"
"CORGUINHO";"DILMA";"1207"
"CORGUINHO";"NULO";"36"
"CORONEL SAPUCAIA";"AÉCIO NEVES";"3504"
"CORONEL SAPUCAIA";"BRANCO";"46"
"CORONEL SAPUCAIA";"DILMA";"3457"
"CORONEL SAPUCAIA";"NULO";"128"
"CORUMBÁ";"AÉCIO NEVES";"21397"
"CORUMBÁ";"BRANCO";"501"
"CORUMBÁ";"DILMA";"27625"
"CORUMBÁ";"NULO";"802"
"COSTA RICA";"AÉCIO NEVES";"6972"
