"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ALTA FLORESTA DO OESTE";"AÉCIO NEVES";"7022"
"ALTA FLORESTA DO OESTE";"BRANCO";"147"
"ALTA FLORESTA DO OESTE";"DILMA";"5678"
"ALTA FLORESTA DO OESTE";"NULO";"461"
"ALTO ALEGRE DOS PARECIS";"AÉCIO NEVES";"3300"
"ALTO ALEGRE DOS PARECIS";"BRANCO";"69"
"ALTO ALEGRE DOS PARECIS";"DILMA";"2730"
"ALTO ALEGRE DOS PARECIS";"NULO";"219"
"ALTO PARAÍSO";"AÉCIO NEVES";"4285"
"ALTO PARAÍSO";"BRANCO";"93"
"ALTO PARAÍSO";"DILMA";"4418"
"ALTO PARAÍSO";"NULO";"321"
"ALVORADA DO OESTE";"AÉCIO NEVES";"3871"
"ALVORADA DO OESTE";"BRANCO";"90"
"ALVORADA DO OESTE";"DILMA";"4582"
"ALVORADA DO OESTE";"NULO";"332"
"ARIQUEMES";"AÉCIO NEVES";"27470"
"ARIQUEMES";"BRANCO";"572"
"ARIQUEMES";"DILMA";"18287"
"ARIQUEMES";"NULO";"1671"
"BURITIS";"AÉCIO NEVES";"9106"
"BURITIS";"BRANCO";"201"
"BURITIS";"DILMA";"6912"
"BURITIS";"NULO";"583"
"CABIXI";"AÉCIO NEVES";"1836"
"CABIXI";"BRANCO";"40"
"CABIXI";"DILMA";"1597"
"CABIXI";"NULO";"156"
"CACAULÂNDIA";"AÉCIO NEVES";"1663"
"CACAULÂNDIA";"BRANCO";"30"
"CACAULÂNDIA";"DILMA";"1343"
"CACAULÂNDIA";"NULO";"106"
"CACOAL";"AÉCIO NEVES";"27170"
"CACOAL";"BRANCO";"483"
"CACOAL";"DILMA";"14585"
"CACOAL";"NULO";"1548"
"CAMPO NOVO DE RONDÔNIA";"AÉCIO NEVES";"2778"
"CAMPO NOVO DE RONDÔNIA";"BRANCO";"66"
"CAMPO NOVO DE RONDÔNIA";"DILMA";"3026"
"CAMPO NOVO DE RONDÔNIA";"NULO";"179"
"CANDEIAS DO JAMARI";"AÉCIO NEVES";"4308"
"CANDEIAS DO JAMARI";"BRANCO";"123"
"CANDEIAS DO JAMARI";"DILMA";"6804"
"CANDEIAS DO JAMARI";"NULO";"595"
"CASTANHEIRAS";"AÉCIO NEVES";"793"
"CASTANHEIRAS";"BRANCO";"10"
