"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACEGUÁ";"AÉCIO NEVES";"1695"
"ACEGUÁ";"BRANCO";"51"
"ACEGUÁ";"DILMA";"1388"
"ACEGUÁ";"NULO";"84"
"AGUDO";"AÉCIO NEVES";"5614"
"AGUDO";"BRANCO";"202"
"AGUDO";"DILMA";"4808"
"AGUDO";"NULO";"325"
"AJURICABA";"AÉCIO NEVES";"3046"
"AJURICABA";"BRANCO";"53"
"AJURICABA";"DILMA";"1855"
"AJURICABA";"NULO";"123"
"ALECRIM";"AÉCIO NEVES";"2212"
"ALECRIM";"BRANCO";"60"
"ALECRIM";"DILMA";"2599"
"ALECRIM";"NULO";"158"
"ALEGRETE";"AÉCIO NEVES";"20072"
"ALEGRETE";"BRANCO";"665"
"ALEGRETE";"DILMA";"22945"
"ALEGRETE";"NULO";"1335"
"ALEGRIA";"AÉCIO NEVES";"1294"
"ALEGRIA";"BRANCO";"52"
"ALEGRIA";"DILMA";"1450"
"ALEGRIA";"NULO";"98"
"ALMIRANTE TAMANDARÉ DO SUL";"AÉCIO NEVES";"674"
"ALMIRANTE TAMANDARÉ DO SUL";"BRANCO";"20"
"ALMIRANTE TAMANDARÉ DO SUL";"DILMA";"820"
"ALMIRANTE TAMANDARÉ DO SUL";"NULO";"48"
"ALPESTRE";"AÉCIO NEVES";"1981"
"ALPESTRE";"BRANCO";"113"
"ALPESTRE";"DILMA";"2770"
"ALPESTRE";"NULO";"173"
"ALTO ALEGRE";"AÉCIO NEVES";"680"
"ALTO ALEGRE";"BRANCO";"23"
"ALTO ALEGRE";"DILMA";"740"
"ALTO ALEGRE";"NULO";"31"
"ALTO FELIZ";"AÉCIO NEVES";"1425"
"ALTO FELIZ";"BRANCO";"29"
"ALTO FELIZ";"DILMA";"608"
"ALTO FELIZ";"NULO";"102"
"ALVORADA";"AÉCIO NEVES";"51390"
"ALVORADA";"BRANCO";"3913"
"ALVORADA";"DILMA";"52796"
"ALVORADA";"NULO";"5909"
"AMARAL FERRADOR";"AÉCIO NEVES";"1781"
"AMARAL FERRADOR";"BRANCO";"83"
"AMARAL FERRADOR";"DILMA";"1961"
"AMARAL FERRADOR";"NULO";"143"
"AMETISTA DO SUL";"AÉCIO NEVES";"2086"
"AMETISTA DO SUL";"BRANCO";"104"
"AMETISTA DO SUL";"DILMA";"2202"
"AMETISTA DO SUL";"NULO";"170"
"ANDRÉ DA ROCHA";"AÉCIO NEVES";"563"
"ANDRÉ DA ROCHA";"BRANCO";"15"
"ANDRÉ DA ROCHA";"DILMA";"279"
"ANDRÉ DA ROCHA";"NULO";"25"
"ANTA GORDA";"AÉCIO NEVES";"2706"
"ANTA GORDA";"BRANCO";"140"
"ANTA GORDA";"DILMA";"1350"
"ANTA GORDA";"NULO";"183"
"ANTÔNIO PRADO";"AÉCIO NEVES";"6642"
"ANTÔNIO PRADO";"BRANCO";"126"
"ANTÔNIO PRADO";"DILMA";"2163"
"ANTÔNIO PRADO";"NULO";"373"
"ARAMBARÉ";"AÉCIO NEVES";"1078"
"ARAMBARÉ";"BRANCO";"38"
"ARAMBARÉ";"DILMA";"1227"
"ARAMBARÉ";"NULO";"85"
"ARARICÁ";"AÉCIO NEVES";"1834"
"ARARICÁ";"BRANCO";"91"
"ARARICÁ";"DILMA";"1574"
"ARARICÁ";"NULO";"123"
"ARATIBA";"AÉCIO NEVES";"2627"
"ARATIBA";"BRANCO";"75"
"ARATIBA";"DILMA";"2376"
"ARATIBA";"NULO";"146"
"ARROIO DO MEIO";"AÉCIO NEVES";"7642"
"ARROIO DO MEIO";"BRANCO";"255"
"ARROIO DO MEIO";"DILMA";"5569"
"ARROIO DO MEIO";"NULO";"473"
"ARROIO DO PADRE";"AÉCIO NEVES";"1526"
"ARROIO DO PADRE";"BRANCO";"25"
"ARROIO DO PADRE";"DILMA";"638"
"ARROIO DO PADRE";"NULO";"58"
"ARROIO DO SAL";"AÉCIO NEVES";"3010"
"ARROIO DO SAL";"BRANCO";"70"
"ARROIO DO SAL";"DILMA";"1770"
"ARROIO DO SAL";"NULO";"179"
"ARROIO DO TIGRE";"AÉCIO NEVES";"3744"
"ARROIO DO TIGRE";"BRANCO";"184"
"ARROIO DO TIGRE";"DILMA";"4577"
"ARROIO DO TIGRE";"NULO";"248"
"ARROIO DOS RATOS";"AÉCIO NEVES";"3831"
"ARROIO DOS RATOS";"BRANCO";"220"
"ARROIO DOS RATOS";"DILMA";"4090"
"ARROIO DOS RATOS";"NULO";"317"
"ARROIO GRANDE";"AÉCIO NEVES";"4942"
"ARROIO GRANDE";"BRANCO";"313"
"ARROIO GRANDE";"DILMA";"6640"
"ARROIO GRANDE";"NULO";"375"
"ARVOREZINHA";"AÉCIO NEVES";"3232"
"ARVOREZINHA";"BRANCO";"205"
"ARVOREZINHA";"DILMA";"3381"
"ARVOREZINHA";"NULO";"320"
"AUGUSTO PESTANA";"AÉCIO NEVES";"2574"
"AUGUSTO PESTANA";"BRANCO";"78"
"AUGUSTO PESTANA";"DILMA";"2486"
"AUGUSTO PESTANA";"NULO";"146"
"BAGÉ";"AÉCIO NEVES";"37127"
"BAGÉ";"BRANCO";"1619"
"BAGÉ";"DILMA";"29740"
"BAGÉ";"NULO";"2561"
"BALNEÁRIO PINHAL";"AÉCIO NEVES";"3225"
"BALNEÁRIO PINHAL";"BRANCO";"101"
"BALNEÁRIO PINHAL";"DILMA";"2393"
"BALNEÁRIO PINHAL";"NULO";"270"
"BARRA DO GUARITA";"AÉCIO NEVES";"963"
"BARRA DO GUARITA";"BRANCO";"21"
"BARRA DO GUARITA";"DILMA";"1018"
"BARRA DO GUARITA";"NULO";"82"
"BARRA DO QUARAÍ";"AÉCIO NEVES";"881"
"BARRA DO QUARAÍ";"BRANCO";"24"
"BARRA DO QUARAÍ";"DILMA";"950"
"BARRA DO QUARAÍ";"NULO";"42"
"BARRA DO RIBEIRO";"AÉCIO NEVES";"3697"
"BARRA DO RIBEIRO";"BRANCO";"205"
"BARRA DO RIBEIRO";"DILMA";"4057"
"BARRA DO RIBEIRO";"NULO";"313"
"BARRA DO RIO AZUL";"AÉCIO NEVES";"901"
"BARRA DO RIO AZUL";"BRANCO";"21"
"BARRA DO RIO AZUL";"DILMA";"625"
"BARRA DO RIO AZUL";"NULO";"49"
"BARRA FUNDA";"AÉCIO NEVES";"1147"
"BARRA FUNDA";"BRANCO";"26"
"BARRA FUNDA";"DILMA";"785"
"BARRA FUNDA";"NULO";"55"
"BARRACÃO";"AÉCIO NEVES";"1631"
"BARRACÃO";"BRANCO";"64"
"BARRACÃO";"DILMA";"1665"
"BARRACÃO";"NULO";"134"
"BARROS CASSAL";"AÉCIO NEVES";"2947"
"BARROS CASSAL";"BRANCO";"131"
"BARROS CASSAL";"DILMA";"3409"
"BARROS CASSAL";"NULO";"304"
"BARÃO";"AÉCIO NEVES";"2205"
"BARÃO";"BRANCO";"64"
"BARÃO";"DILMA";"1666"
"BARÃO";"NULO";"151"
"BARÃO DE COTEGIPE";"AÉCIO NEVES";"2776"
"BARÃO DE COTEGIPE";"BRANCO";"84"
"BARÃO DE COTEGIPE";"DILMA";"1746"
"BARÃO DE COTEGIPE";"NULO";"189"
"BARÃO DO TRIUNFO";"AÉCIO NEVES";"2203"
"BARÃO DO TRIUNFO";"BRANCO";"61"
"BARÃO DO TRIUNFO";"DILMA";"1699"
"BARÃO DO TRIUNFO";"NULO";"146"
"BENJAMIN CONSTANT DO SUL";"AÉCIO NEVES";"477"
"BENJAMIN CONSTANT DO SUL";"BRANCO";"15"
"BENJAMIN CONSTANT DO SUL";"DILMA";"943"
"BENJAMIN CONSTANT DO SUL";"NULO";"34"
"BENTO GONÇALVES";"AÉCIO NEVES";"46159"
"BENTO GONÇALVES";"BRANCO";"1250"
"BENTO GONÇALVES";"DILMA";"20517"
"BENTO GONÇALVES";"NULO";"2979"
"BOA VISTA DAS MISSÕES";"AÉCIO NEVES";"721"
"BOA VISTA DAS MISSÕES";"BRANCO";"23"
"BOA VISTA DAS MISSÕES";"DILMA";"677"
"BOA VISTA DAS MISSÕES";"NULO";"34"
"BOA VISTA DO BURICÁ";"AÉCIO NEVES";"2521"
"BOA VISTA DO BURICÁ";"BRANCO";"41"
"BOA VISTA DO BURICÁ";"DILMA";"2127"
"BOA VISTA DO BURICÁ";"NULO";"107"
"BOA VISTA DO CADEADO";"AÉCIO NEVES";"950"
"BOA VISTA DO CADEADO";"BRANCO";"31"
"BOA VISTA DO CADEADO";"DILMA";"685"
"BOA VISTA DO CADEADO";"NULO";"55"
"BOA VISTA DO INCRA";"AÉCIO NEVES";"780"
"BOA VISTA DO INCRA";"BRANCO";"20"
"BOA VISTA DO INCRA";"DILMA";"958"
"BOA VISTA DO INCRA";"NULO";"36"
"BOA VISTA DO SUL";"AÉCIO NEVES";"1182"
"BOA VISTA DO SUL";"BRANCO";"43"
"BOA VISTA DO SUL";"DILMA";"807"
"BOA VISTA DO SUL";"NULO";"67"
"BOM JESUS";"AÉCIO NEVES";"3638"
"BOM JESUS";"BRANCO";"201"
"BOM JESUS";"DILMA";"2768"
"BOM JESUS";"NULO";"249"
"BOM PRINCÍPIO";"AÉCIO NEVES";"5361"
"BOM PRINCÍPIO";"BRANCO";"151"
"BOM PRINCÍPIO";"DILMA";"2581"
"BOM PRINCÍPIO";"NULO";"231"
"BOM PROGRESSO";"AÉCIO NEVES";"767"
"BOM PROGRESSO";"BRANCO";"23"
"BOM PROGRESSO";"DILMA";"796"
"BOM PROGRESSO";"NULO";"51"
"BOM RETIRO DO SUL";"AÉCIO NEVES";"4235"
"BOM RETIRO DO SUL";"BRANCO";"184"
"BOM RETIRO DO SUL";"DILMA";"3496"
"BOM RETIRO DO SUL";"NULO";"306"
"BOQUEIRÃO DO LEÃO";"AÉCIO NEVES";"1921"
"BOQUEIRÃO DO LEÃO";"BRANCO";"80"
"BOQUEIRÃO DO LEÃO";"DILMA";"2806"
"BOQUEIRÃO DO LEÃO";"NULO";"184"
"BOSSOROCA";"AÉCIO NEVES";"1736"
"BOSSOROCA";"BRANCO";"101"
"BOSSOROCA";"DILMA";"2267"
"BOSSOROCA";"NULO";"134"
"BOZANO";"AÉCIO NEVES";"937"
"BOZANO";"BRANCO";"15"
"BOZANO";"DILMA";"861"
"BOZANO";"NULO";"48"
"BRAGA";"AÉCIO NEVES";"925"
"BRAGA";"BRANCO";"51"
"BRAGA";"DILMA";"1296"
"BRAGA";"NULO";"85"
"BROCHIER";"AÉCIO NEVES";"1344"
"BROCHIER";"BRANCO";"55"
"BROCHIER";"DILMA";"1989"
"BROCHIER";"NULO";"117"
"BUTIÁ";"AÉCIO NEVES";"5996"
"BUTIÁ";"BRANCO";"390"
"BUTIÁ";"DILMA";"6254"
"BUTIÁ";"NULO";"464"
"CACEQUI";"AÉCIO NEVES";"2639"
"CACEQUI";"BRANCO";"109"
"CACEQUI";"DILMA";"4502"
"CACEQUI";"NULO";"241"
"CACHOEIRA DO SUL";"AÉCIO NEVES";"26863"
"CACHOEIRA DO SUL";"BRANCO";"1165"
"CACHOEIRA DO SUL";"DILMA";"23041"
"CACHOEIRA DO SUL";"NULO";"1711"
"CACHOEIRINHA";"AÉCIO NEVES";"40792"
"CACHOEIRINHA";"BRANCO";"2142"
"CACHOEIRINHA";"DILMA";"33742"
"CACHOEIRINHA";"NULO";"3786"
"CACIQUE DOBLE";"AÉCIO NEVES";"1957"
"CACIQUE DOBLE";"BRANCO";"68"
"CACIQUE DOBLE";"DILMA";"1167"
"CACIQUE DOBLE";"NULO";"130"
"CAIBATÉ";"AÉCIO NEVES";"1421"
"CAIBATÉ";"BRANCO";"82"
"CAIBATÉ";"DILMA";"1734"
"CAIBATÉ";"NULO";"81"
"CAIÇARA";"AÉCIO NEVES";"1821"
"CAIÇARA";"BRANCO";"45"
"CAIÇARA";"DILMA";"1639"
"CAIÇARA";"NULO";"108"
"CAMAQUÃ";"AÉCIO NEVES";"19048"
"CAMAQUÃ";"BRANCO";"1031"
"CAMAQUÃ";"DILMA";"19517"
"CAMAQUÃ";"NULO";"1128"
"CAMARGO";"AÉCIO NEVES";"1139"
"CAMARGO";"BRANCO";"38"
"CAMARGO";"DILMA";"699"
"CAMARGO";"NULO";"82"
"CAMBARÁ DO SUL";"AÉCIO NEVES";"2542"
"CAMBARÁ DO SUL";"BRANCO";"104"
"CAMBARÁ DO SUL";"DILMA";"1338"
"CAMBARÁ DO SUL";"NULO";"184"
"CAMPESTRE DA SERRA";"AÉCIO NEVES";"1586"
"CAMPESTRE DA SERRA";"BRANCO";"56"
"CAMPESTRE DA SERRA";"DILMA";"472"
"CAMPESTRE DA SERRA";"NULO";"121"
"CAMPINA DAS MISSÕES";"AÉCIO NEVES";"2000"
"CAMPINA DAS MISSÕES";"BRANCO";"49"
"CAMPINA DAS MISSÕES";"DILMA";"2224"
"CAMPINA DAS MISSÕES";"NULO";"123"
"CAMPINAS DO SUL";"AÉCIO NEVES";"2740"
"CAMPINAS DO SUL";"BRANCO";"33"
"CAMPINAS DO SUL";"DILMA";"1126"
"CAMPINAS DO SUL";"NULO";"120"
"CAMPO BOM";"AÉCIO NEVES";"23849"
"CAMPO BOM";"BRANCO";"825"
"CAMPO BOM";"DILMA";"15990"
"CAMPO BOM";"NULO";"1683"
"CAMPO NOVO";"AÉCIO NEVES";"1278"
"CAMPO NOVO";"BRANCO";"74"
"CAMPO NOVO";"DILMA";"1898"
"CAMPO NOVO";"NULO";"84"
"CAMPOS BORGES";"AÉCIO NEVES";"1195"
"CAMPOS BORGES";"BRANCO";"57"
"CAMPOS BORGES";"DILMA";"1209"
"CAMPOS BORGES";"NULO";"90"
"CANDELÁRIA";"AÉCIO NEVES";"10259"
"CANDELÁRIA";"BRANCO";"614"
"CANDELÁRIA";"DILMA";"7903"
"CANDELÁRIA";"NULO";"735"
"CANDIOTA";"AÉCIO NEVES";"2393"
"CANDIOTA";"BRANCO";"82"
"CANDIOTA";"DILMA";"3401"
"CANDIOTA";"NULO";"168"
"CANELA";"AÉCIO NEVES";"15928"
"CANELA";"BRANCO";"785"
"CANELA";"DILMA";"6345"
"CANELA";"NULO";"1156"
"CANGUÇU";"AÉCIO NEVES";"19268"
"CANGUÇU";"BRANCO";"1015"
"CANGUÇU";"DILMA";"15213"
"CANGUÇU";"NULO";"1065"
"CANOAS";"AÉCIO NEVES";"91292"
"CANOAS";"BRANCO";"4844"
"CANOAS";"DILMA";"98801"
"CANOAS";"NULO";"9088"
"CANUDOS DO VALE";"AÉCIO NEVES";"466"
"CANUDOS DO VALE";"BRANCO";"13"
"CANUDOS DO VALE";"DILMA";"1067"
"CANUDOS DO VALE";"NULO";"33"
"CAPELA DE SANTANA";"AÉCIO NEVES";"2897"
"CAPELA DE SANTANA";"BRANCO";"158"
"CAPELA DE SANTANA";"DILMA";"3456"
"CAPELA DE SANTANA";"NULO";"259"
"CAPITÃO";"AÉCIO NEVES";"817"
"CAPITÃO";"BRANCO";"55"
"CAPITÃO";"DILMA";"1166"
"CAPITÃO";"NULO";"85"
"CAPIVARI DO SUL";"AÉCIO NEVES";"1141"
"CAPIVARI DO SUL";"BRANCO";"42"
"CAPIVARI DO SUL";"DILMA";"1411"
"CAPIVARI DO SUL";"NULO";"91"
"CAPÃO BONITO DO SUL";"AÉCIO NEVES";"684"
"CAPÃO BONITO DO SUL";"BRANCO";"21"
"CAPÃO BONITO DO SUL";"DILMA";"687"
"CAPÃO BONITO DO SUL";"NULO";"41"
"CAPÃO DA CANOA";"AÉCIO NEVES";"14302"
"CAPÃO DA CANOA";"BRANCO";"510"
"CAPÃO DA CANOA";"DILMA";"10135"
"CAPÃO DA CANOA";"NULO";"950"
"CAPÃO DO CIPÓ";"AÉCIO NEVES";"846"
"CAPÃO DO CIPÓ";"BRANCO";"42"
"CAPÃO DO CIPÓ";"DILMA";"1170"
"CAPÃO DO CIPÓ";"NULO";"47"
"CAPÃO DO LEÃO";"AÉCIO NEVES";"5140"
"CAPÃO DO LEÃO";"BRANCO";"384"
"CAPÃO DO LEÃO";"DILMA";"9094"
"CAPÃO DO LEÃO";"NULO";"519"
"CARAZINHO";"AÉCIO NEVES";"18683"
"CARAZINHO";"BRANCO";"657"
"CARAZINHO";"DILMA";"18028"
"CARAZINHO";"NULO";"1151"
"CARAÁ";"AÉCIO NEVES";"2646"
"CARAÁ";"BRANCO";"127"
"CARAÁ";"DILMA";"2179"
"CARAÁ";"NULO";"219"
"CARLOS BARBOSA";"AÉCIO NEVES";"11753"
"CARLOS BARBOSA";"BRANCO";"290"
"CARLOS BARBOSA";"DILMA";"5729"
"CARLOS BARBOSA";"NULO";"755"
"CARLOS GOMES";"AÉCIO NEVES";"662"
"CARLOS GOMES";"BRANCO";"22"
"CARLOS GOMES";"DILMA";"606"
"CARLOS GOMES";"NULO";"20"
"CASCA";"AÉCIO NEVES";"3929"
"CASCA";"BRANCO";"125"
"CASCA";"DILMA";"2133"
"CASCA";"NULO";"212"
"CASEIROS";"AÉCIO NEVES";"1221"
"CASEIROS";"BRANCO";"63"
"CASEIROS";"DILMA";"830"
"CASEIROS";"NULO";"88"
"CATUÍPE";"AÉCIO NEVES";"3428"
"CATUÍPE";"BRANCO";"146"
"CATUÍPE";"DILMA";"2793"
"CATUÍPE";"NULO";"232"
"CAXIAS DO SUL";"AÉCIO NEVES";"183173"
"CAXIAS DO SUL";"BRANCO";"5909"
"CAXIAS DO SUL";"DILMA";"75439"
"CAXIAS DO SUL";"NULO";"14792"
"CAÇAPAVA DO SUL";"AÉCIO NEVES";"9114"
"CAÇAPAVA DO SUL";"BRANCO";"731"
"CAÇAPAVA DO SUL";"DILMA";"10925"
"CAÇAPAVA DO SUL";"NULO";"876"
"CENTENÁRIO";"AÉCIO NEVES";"1119"
"CENTENÁRIO";"BRANCO";"28"
"CENTENÁRIO";"DILMA";"1098"
"CENTENÁRIO";"NULO";"44"
"CERRITO";"AÉCIO NEVES";"1804"
"CERRITO";"BRANCO";"142"
"CERRITO";"DILMA";"2529"
"CERRITO";"NULO";"118"
"CERRO BRANCO";"AÉCIO NEVES";"1462"
"CERRO BRANCO";"BRANCO";"67"
"CERRO BRANCO";"DILMA";"1550"
"CERRO BRANCO";"NULO";"108"
"CERRO GRANDE";"AÉCIO NEVES";"605"
"CERRO GRANDE";"BRANCO";"21"
"CERRO GRANDE";"DILMA";"1009"
"CERRO GRANDE";"NULO";"67"
"CERRO GRANDE DO SUL";"AÉCIO NEVES";"2822"
"CERRO GRANDE DO SUL";"BRANCO";"139"
"CERRO GRANDE DO SUL";"DILMA";"2803"
"CERRO GRANDE DO SUL";"NULO";"216"
"CERRO LARGO";"AÉCIO NEVES";"3840"
"CERRO LARGO";"BRANCO";"120"
"CERRO LARGO";"DILMA";"4372"
"CERRO LARGO";"NULO";"300"
"CHAPADA";"AÉCIO NEVES";"3247"
"CHAPADA";"BRANCO";"151"
"CHAPADA";"DILMA";"3161"
"CHAPADA";"NULO";"173"
"CHARQUEADAS";"AÉCIO NEVES";"9457"
"CHARQUEADAS";"BRANCO";"484"
"CHARQUEADAS";"DILMA";"9691"
"CHARQUEADAS";"NULO";"773"
"CHARRUA";"AÉCIO NEVES";"1068"
"CHARRUA";"BRANCO";"35"
"CHARRUA";"DILMA";"847"
"CHARRUA";"NULO";"100"
"CHIAPETTA";"AÉCIO NEVES";"1412"
"CHIAPETTA";"BRANCO";"26"
"CHIAPETTA";"DILMA";"1342"
"CHIAPETTA";"NULO";"66"
"CHUVISCA";"AÉCIO NEVES";"1824"
"CHUVISCA";"BRANCO";"74"
"CHUVISCA";"DILMA";"1476"
"CHUVISCA";"NULO";"89"
"CHUÍ";"AÉCIO NEVES";"1318"
"CHUÍ";"BRANCO";"108"
"CHUÍ";"DILMA";"1718"
"CHUÍ";"NULO";"127"
"CIDREIRA";"AÉCIO NEVES";"4005"
"CIDREIRA";"BRANCO";"150"
"CIDREIRA";"DILMA";"3296"
"CIDREIRA";"NULO";"343"
"CIRÍACO";"AÉCIO NEVES";"1574"
"CIRÍACO";"BRANCO";"66"
"CIRÍACO";"DILMA";"1552"
"CIRÍACO";"NULO";"141"
"COLINAS";"AÉCIO NEVES";"1090"
"COLINAS";"BRANCO";"34"
"COLINAS";"DILMA";"752"
"COLINAS";"NULO";"81"
"COLORADO";"AÉCIO NEVES";"1598"
"COLORADO";"BRANCO";"55"
"COLORADO";"DILMA";"849"
"COLORADO";"NULO";"90"
"CONDOR";"AÉCIO NEVES";"2371"
"CONDOR";"BRANCO";"48"
"CONDOR";"DILMA";"2128"
"CONDOR";"NULO";"121"
"CONSTANTINA";"AÉCIO NEVES";"3172"
"CONSTANTINA";"BRANCO";"113"
"CONSTANTINA";"DILMA";"3168"
"CONSTANTINA";"NULO";"212"
"COQUEIRO BAIXO";"AÉCIO NEVES";"689"
"COQUEIRO BAIXO";"BRANCO";"15"
"COQUEIRO BAIXO";"DILMA";"410"
"COQUEIRO BAIXO";"NULO";"47"
"COQUEIROS DO SUL";"AÉCIO NEVES";"1067"
"COQUEIROS DO SUL";"BRANCO";"17"
"COQUEIROS DO SUL";"DILMA";"837"
"COQUEIROS DO SUL";"NULO";"41"
"CORONEL BARROS";"AÉCIO NEVES";"1056"
"CORONEL BARROS";"BRANCO";"19"
"CORONEL BARROS";"DILMA";"874"
"CORONEL BARROS";"NULO";"47"
"CORONEL BICACO";"AÉCIO NEVES";"1820"
"CORONEL BICACO";"BRANCO";"54"
"CORONEL BICACO";"DILMA";"2572"
"CORONEL BICACO";"NULO";"155"
"CORONEL PILAR";"AÉCIO NEVES";"819"
"CORONEL PILAR";"BRANCO";"18"
"CORONEL PILAR";"DILMA";"405"
"CORONEL PILAR";"NULO";"40"
"COTIPORÃ";"AÉCIO NEVES";"1977"
"COTIPORÃ";"BRANCO";"80"
"COTIPORÃ";"DILMA";"787"
"COTIPORÃ";"NULO";"104"
"COXILHA";"AÉCIO NEVES";"1016"
"COXILHA";"BRANCO";"23"
"COXILHA";"DILMA";"917"
"COXILHA";"NULO";"55"
"CRISSIUMAL";"AÉCIO NEVES";"4372"
"CRISSIUMAL";"BRANCO";"142"
"CRISSIUMAL";"DILMA";"4674"
"CRISSIUMAL";"NULO";"299"
"CRISTAL";"AÉCIO NEVES";"2034"
"CRISTAL";"BRANCO";"98"
"CRISTAL";"DILMA";"2681"
"CRISTAL";"NULO";"140"
"CRISTAL DO SUL";"AÉCIO NEVES";"786"
"CRISTAL DO SUL";"BRANCO";"39"
"CRISTAL DO SUL";"DILMA";"1131"
"CRISTAL DO SUL";"NULO";"77"
"CRUZ ALTA";"AÉCIO NEVES";"18077"
"CRUZ ALTA";"BRANCO";"650"
"CRUZ ALTA";"DILMA";"17616"
