"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABIDJAN-COTE";"AÉCIO NEVES";"14"
"ABIDJAN-COTE";"DILMA";"33"
"ABIDJAN-COTE";"NULO";"1"
"ABU DHABI-EAU";"AÉCIO NEVES";"136"
"ABU DHABI-EAU";"BRANCO";"1"
"ABU DHABI-EAU";"DILMA";"20"
"ABU DHABI-EAU";"NULO";"5"
"AMÃ-JORD";"AÉCIO NEVES";"75"
"AMÃ-JORD";"BRANCO";"3"
"AMÃ-JORD";"DILMA";"125"
"AMÃ-JORD";"NULO";"5"
"ANCARA-TURQ";"AÉCIO NEVES";"13"
"ANCARA-TURQ";"DILMA";"2"
"ARTIGAS-URUG";"AÉCIO NEVES";"137"
"ARTIGAS-URUG";"BRANCO";"2"
"ARTIGAS-URUG";"DILMA";"91"
"ARTIGAS-URUG";"NULO";"5"
"ASSUNÇÃO-PARG";"AÉCIO NEVES";"743"
"ASSUNÇÃO-PARG";"BRANCO";"18"
"ASSUNÇÃO-PARG";"DILMA";"181"
"ASSUNÇÃO-PARG";"NULO";"14"
"ATENAS-GREC";"AÉCIO NEVES";"268"
"ATENAS-GREC";"BRANCO";"7"
"ATENAS-GREC";"DILMA";"71"
"ATENAS-GREC";"NULO";"6"
"ATLANTA-EUA";"AÉCIO NEVES";"1937"
"ATLANTA-EUA";"BRANCO";"16"
"ATLANTA-EUA";"DILMA";"228"
"ATLANTA-EUA";"NULO";"30"
"BANGKOK-TAIL";"AÉCIO NEVES";"44"
"BANGKOK-TAIL";"BRANCO";"1"
"BANGKOK-TAIL";"DILMA";"8"
"BARCELONA-ESPA";"AÉCIO NEVES";"531"
"BARCELONA-ESPA";"BRANCO";"28"
"BARCELONA-ESPA";"DILMA";"342"
"BARCELONA-ESPA";"NULO";"51"
"BEIRUTE-LBAN";"AÉCIO NEVES";"566"
"BEIRUTE-LBAN";"BRANCO";"18"
"BEIRUTE-LBAN";"DILMA";"402"
"BEIRUTE-LBAN";"NULO";"12"
"BELGRADO-SERV";"AÉCIO NEVES";"13"
"BELGRADO-SERV";"DILMA";"8"
"BERLIM-RFA";"AÉCIO NEVES";"733"
"BERLIM-RFA";"BRANCO";"38"
"BERLIM-RFA";"DILMA";"571"
"BERLIM-RFA";"NULO";"58"
"BISSAU-GUIB";"AÉCIO NEVES";"19"
"BISSAU-GUIB";"DILMA";"19"
"BISSAU-GUIB";"NULO";"1"
"BOGOTÁ-COLO";"AÉCIO NEVES";"266"
"BOGOTÁ-COLO";"BRANCO";"13"
"BOGOTÁ-COLO";"DILMA";"119"
"BOGOTÁ-COLO";"NULO";"3"
"BOSTON-EUA";"AÉCIO NEVES";"6532"
"BOSTON-EUA";"BRANCO";"144"
"BOSTON-EUA";"DILMA";"1482"
"BOSTON-EUA";"NULO";"164"
"BRUXELAS-BELG";"AÉCIO NEVES";"924"
"BRUXELAS-BELG";"BRANCO";"39"
"BRUXELAS-BELG";"DILMA";"457"
"BRUXELAS-BELG";"NULO";"54"
"BUCARESTE-ROME";"AÉCIO NEVES";"14"
"BUCARESTE-ROME";"DILMA";"6"
"BUCARESTE-ROME";"NULO";"1"
"BUDAPESTE-HUNG";"AÉCIO NEVES";"58"
"BUDAPESTE-HUNG";"BRANCO";"1"
"BUDAPESTE-HUNG";"DILMA";"15"
"BUDAPESTE-HUNG";"NULO";"3"
"BUENOS AIRES-ARGT";"AÉCIO NEVES";"1401"
"BUENOS AIRES-ARGT";"BRANCO";"42"
"BUENOS AIRES-ARGT";"DILMA";"1018"
"BUENOS AIRES-ARGT";"NULO";"38"
"CAIENA-GUIF";"AÉCIO NEVES";"948"
"CAIENA-GUIF";"BRANCO";"57"
"CAIENA-GUIF";"DILMA";"793"
"CAIENA-GUIF";"NULO";"61"
"CAIRO-EGIT";"AÉCIO NEVES";"27"
"CAIRO-EGIT";"BRANCO";"4"
"CAIRO-EGIT";"DILMA";"22"
"CAIRO-EGIT";"NULO";"1"
"CAMBERRA-AUST";"AÉCIO NEVES";"214"
"CAMBERRA-AUST";"BRANCO";"7"
"CAMBERRA-AUST";"DILMA";"52"
"CAMBERRA-AUST";"NULO";"14"
"CARACAS-VENE";"AÉCIO NEVES";"462"
"CARACAS-VENE";"BRANCO";"8"
"CARACAS-VENE";"DILMA";"190"
"CARACAS-VENE";"NULO";"4"
"CHICAGO-EUA";"AÉCIO NEVES";"1168"
"CHICAGO-EUA";"BRANCO";"13"
"CHICAGO-EUA";"DILMA";"193"
"CHICAGO-EUA";"NULO";"16"
"CIDADE DO CABO-RAFS";"AÉCIO NEVES";"75"
"CIDADE DO CABO-RAFS";"BRANCO";"3"
"CIDADE DO CABO-RAFS";"DILMA";"24"
"CINGAPURA-CING";"AÉCIO NEVES";"106"
"CINGAPURA-CING";"BRANCO";"2"
"CINGAPURA-CING";"DILMA";"7"
"CIUDAD DEL ESTE-PARG";"AÉCIO NEVES";"1535"
"CIUDAD DEL ESTE-PARG";"BRANCO";"24"
"CIUDAD DEL ESTE-PARG";"DILMA";"426"
"CIUDAD DEL ESTE-PARG";"NULO";"37"
"CIUDAD GUAYANA-VENE";"AÉCIO NEVES";"58"
"CIUDAD GUAYANA-VENE";"DILMA";"12"
"CIUDAD GUAYANA-VENE";"NULO";"1"
"COCHABAMBA-BOLI";"AÉCIO NEVES";"88"
"COCHABAMBA-BOLI";"BRANCO";"1"
"COCHABAMBA-BOLI";"DILMA";"26"
"COCHABAMBA-BOLI";"NULO";"3"
"CONCEPCIÓN-PARG";"AÉCIO NEVES";"13"
"CONCEPCIÓN-PARG";"BRANCO";"1"
"CONCEPCIÓN-PARG";"DILMA";"4"
"COPENHAGUE-DINA";"AÉCIO NEVES";"209"
"COPENHAGUE-DINA";"BRANCO";"13"
"COPENHAGUE-DINA";"DILMA";"158"
"COPENHAGUE-DINA";"NULO";"8"
"CÓRDOBA-ARGT";"AÉCIO NEVES";"108"
"CÓRDOBA-ARGT";"BRANCO";"4"
"CÓRDOBA-ARGT";"DILMA";"123"
"CÓRDOBA-ARGT";"NULO";"2"
"DACAR-SENE";"AÉCIO NEVES";"24"
"DACAR-SENE";"BRANCO";"1"
"DACAR-SENE";"DILMA";"11"
"DILI-TIML";"AÉCIO NEVES";"27"
"DILI-TIML";"DILMA";"7"
"DILI-TIML";"NULO";"1"
"DOHA-CATA";"AÉCIO NEVES";"142"
"DOHA-CATA";"BRANCO";"4"
"DOHA-CATA";"DILMA";"23"
"DOHA-CATA";"NULO";"2"
"DUBLIN-IRLS";"AÉCIO NEVES";"188"
"DUBLIN-IRLS";"BRANCO";"4"
"DUBLIN-IRLS";"DILMA";"57"
"DUBLIN-IRLS";"NULO";"8"
"ENCARNACIÓN-PARG";"AÉCIO NEVES";"65"
"ENCARNACIÓN-PARG";"DILMA";"39"
"ENCARNACIÓN-PARG";"NULO";"3"
"ESTOCOLMO-SUEC";"AÉCIO NEVES";"440"
"ESTOCOLMO-SUEC";"BRANCO";"17"
"ESTOCOLMO-SUEC";"DILMA";"306"
"ESTOCOLMO-SUEC";"NULO";"22"
"FARO-PORT";"AÉCIO NEVES";"202"
"FARO-PORT";"BRANCO";"8"
"FARO-PORT";"DILMA";"122"
