"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACRELÂNDIA";"ALVARO DIAS";"35"
"ACRELÂNDIA";"BRANCO";"73"
"ACRELÂNDIA";"CABO DACIOLO";"18"
"ACRELÂNDIA";"CIRO GOMES";"267"
"ACRELÂNDIA";"EYMAEL";"3"
"ACRELÂNDIA";"FERNANDO HADDAD";"1130"
"ACRELÂNDIA";"GERALDO ALCKMIN";"548"
"ACRELÂNDIA";"GUILHERME BOULOS";"16"
"ACRELÂNDIA";"HENRIQUE MEIRELLES";"61"
"ACRELÂNDIA";"JAIR BOLSONARO";"4776"
"ACRELÂNDIA";"JOÃO AMOÊDO";"7"
"ACRELÂNDIA";"JOÃO GOULART FILHO";"1"
"ACRELÂNDIA";"MARINA SILVA";"33"
"ACRELÂNDIA";"NULO";"292"
"ASSIS BRASIL";"ALVARO DIAS";"5"
"ASSIS BRASIL";"BRANCO";"37"
"ASSIS BRASIL";"CABO DACIOLO";"29"
"ASSIS BRASIL";"CIRO GOMES";"98"
"ASSIS BRASIL";"EYMAEL";"4"
"ASSIS BRASIL";"FERNANDO HADDAD";"1808"
"ASSIS BRASIL";"GERALDO ALCKMIN";"345"
"ASSIS BRASIL";"GUILHERME BOULOS";"9"
"ASSIS BRASIL";"HENRIQUE MEIRELLES";"40"
"ASSIS BRASIL";"JAIR BOLSONARO";"1955"
"ASSIS BRASIL";"JOÃO AMOÊDO";"10"
"ASSIS BRASIL";"JOÃO GOULART FILHO";"2"
"ASSIS BRASIL";"MARINA SILVA";"20"
"ASSIS BRASIL";"NULO";"228"
"ASSIS BRASIL";"VERA";"2"
"BRASILÉIA";"ALVARO DIAS";"20"
"BRASILÉIA";"BRANCO";"174"
"BRASILÉIA";"CABO DACIOLO";"60"
"BRASILÉIA";"CIRO GOMES";"403"
"BRASILÉIA";"EYMAEL";"4"
"BRASILÉIA";"FERNANDO HADDAD";"3275"
"BRASILÉIA";"GERALDO ALCKMIN";"1000"
"BRASILÉIA";"GUILHERME BOULOS";"21"
"BRASILÉIA";"HENRIQUE MEIRELLES";"150"
"BRASILÉIA";"JAIR BOLSONARO";"7608"
"BRASILÉIA";"JOÃO AMOÊDO";"27"
"BRASILÉIA";"MARINA SILVA";"159"
"BRASILÉIA";"NULO";"531"
"BRASILÉIA";"VERA";"4"
"BUJARI";"ALVARO DIAS";"30"
"BUJARI";"BRANCO";"89"
"BUJARI";"CABO DACIOLO";"38"
"BUJARI";"CIRO GOMES";"301"
"BUJARI";"EYMAEL";"4"
"BUJARI";"FERNANDO HADDAD";"1134"
"BUJARI";"GERALDO ALCKMIN";"617"
"BUJARI";"GUILHERME BOULOS";"24"
"BUJARI";"HENRIQUE MEIRELLES";"131"
"BUJARI";"JAIR BOLSONARO";"4140"
"BUJARI";"JOÃO AMOÊDO";"12"
"BUJARI";"JOÃO GOULART FILHO";"1"
"BUJARI";"MARINA SILVA";"131"
"BUJARI";"NULO";"340"
"BUJARI";"VERA";"1"
"CAPIXABA";"ALVARO DIAS";"18"
"CAPIXABA";"BRANCO";"43"
"CAPIXABA";"CABO DACIOLO";"22"
"CAPIXABA";"CIRO GOMES";"236"
"CAPIXABA";"EYMAEL";"6"
"CAPIXABA";"FERNANDO HADDAD";"992"
"CAPIXABA";"GERALDO ALCKMIN";"616"
"CAPIXABA";"GUILHERME BOULOS";"29"
