"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"BRASÍLIA";"ALVARO DIAS";"11138"
"BRASÍLIA";"BRANCO";"31995"
"BRASÍLIA";"CABO DACIOLO";"26925"
"BRASÍLIA";"CIRO GOMES";"266272"
"BRASÍLIA";"EYMAEL";"822"
"BRASÍLIA";"FERNANDO HADDAD";"190508"
"BRASÍLIA";"GERALDO ALCKMIN";"53640"
"BRASÍLIA";"GUILHERME BOULOS";"13177"
"BRASÍLIA";"HENRIQUE MEIRELLES";"26939"
"BRASÍLIA";"JAIR BOLSONARO";"936494"
"BRASÍLIA";"JOÃO AMOÊDO";"44879"
"BRASÍLIA";"JOÃO GOULART FILHO";"700"
"BRASÍLIA";"MARINA SILVA";"32115"
"BRASÍLIA";"NULO";"59212"
"BRASÍLIA";"VERA";"908"
