"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABADIA DOS DOURADOS";"ALVARO DIAS";"15"
"ABADIA DOS DOURADOS";"BRANCO";"118"
"ABADIA DOS DOURADOS";"CABO DACIOLO";"4"
"ABADIA DOS DOURADOS";"CIRO GOMES";"476"
"ABADIA DOS DOURADOS";"FERNANDO HADDAD";"1347"
"ABADIA DOS DOURADOS";"GERALDO ALCKMIN";"281"
"ABADIA DOS DOURADOS";"GUILHERME BOULOS";"6"
"ABADIA DOS DOURADOS";"HENRIQUE MEIRELLES";"42"
"ABADIA DOS DOURADOS";"JAIR BOLSONARO";"1732"
"ABADIA DOS DOURADOS";"JOÃO AMOÊDO";"211"
"ABADIA DOS DOURADOS";"JOÃO GOULART FILHO";"3"
"ABADIA DOS DOURADOS";"MARINA SILVA";"10"
"ABADIA DOS DOURADOS";"NULO";"370"
"ABADIA DOS DOURADOS";"VERA";"1"
"ABAETÉ";"ALVARO DIAS";"64"
"ABAETÉ";"BRANCO";"452"
"ABAETÉ";"CABO DACIOLO";"57"
"ABAETÉ";"CIRO GOMES";"1052"
"ABAETÉ";"EYMAEL";"4"
"ABAETÉ";"FERNANDO HADDAD";"2687"
"ABAETÉ";"GERALDO ALCKMIN";"993"
"ABAETÉ";"GUILHERME BOULOS";"32"
"ABAETÉ";"HENRIQUE MEIRELLES";"119"
"ABAETÉ";"JAIR BOLSONARO";"6779"
"ABAETÉ";"JOÃO AMOÊDO";"677"
"ABAETÉ";"JOÃO GOULART FILHO";"2"
"ABAETÉ";"MARINA SILVA";"71"
"ABAETÉ";"NULO";"838"
"ABAETÉ";"VERA";"5"
"ABRE CAMPO";"ALVARO DIAS";"18"
"ABRE CAMPO";"BRANCO";"214"
"ABRE CAMPO";"CABO DACIOLO";"43"
"ABRE CAMPO";"CIRO GOMES";"650"
"ABRE CAMPO";"EYMAEL";"2"
"ABRE CAMPO";"FERNANDO HADDAD";"3489"
"ABRE CAMPO";"GERALDO ALCKMIN";"452"
"ABRE CAMPO";"GUILHERME BOULOS";"20"
"ABRE CAMPO";"HENRIQUE MEIRELLES";"66"
"ABRE CAMPO";"JAIR BOLSONARO";"2680"
"ABRE CAMPO";"JOÃO AMOÊDO";"221"
"ABRE CAMPO";"JOÃO GOULART FILHO";"1"
"ABRE CAMPO";"MARINA SILVA";"36"
"ABRE CAMPO";"NULO";"543"
"ABRE CAMPO";"VERA";"2"
"ACAIACA";"ALVARO DIAS";"3"
"ACAIACA";"BRANCO";"74"
"ACAIACA";"CABO DACIOLO";"15"
"ACAIACA";"CIRO GOMES";"212"
"ACAIACA";"EYMAEL";"2"
"ACAIACA";"FERNANDO HADDAD";"1177"
"ACAIACA";"GERALDO ALCKMIN";"147"
"ACAIACA";"GUILHERME BOULOS";"3"
"ACAIACA";"HENRIQUE MEIRELLES";"14"
"ACAIACA";"JAIR BOLSONARO";"655"
"ACAIACA";"JOÃO AMOÊDO";"22"
"ACAIACA";"MARINA SILVA";"6"
"ACAIACA";"NULO";"221"
"AGUANIL";"ALVARO DIAS";"6"
"AGUANIL";"BRANCO";"126"
"AGUANIL";"CABO DACIOLO";"10"
"AGUANIL";"CIRO GOMES";"208"
"AGUANIL";"EYMAEL";"3"
"AGUANIL";"FERNANDO HADDAD";"862"
"AGUANIL";"GERALDO ALCKMIN";"104"
"AGUANIL";"GUILHERME BOULOS";"5"
"AGUANIL";"HENRIQUE MEIRELLES";"25"
"AGUANIL";"JAIR BOLSONARO";"1240"
"AGUANIL";"JOÃO AMOÊDO";"134"
"AGUANIL";"MARINA SILVA";"11"
"AGUANIL";"NULO";"324"
"AIMORÉS";"ALVARO DIAS";"42"
"AIMORÉS";"BRANCO";"319"
"AIMORÉS";"CABO DACIOLO";"127"
"AIMORÉS";"CIRO GOMES";"747"
"AIMORÉS";"EYMAEL";"7"
"AIMORÉS";"FERNANDO HADDAD";"4033"
"AIMORÉS";"GERALDO ALCKMIN";"494"
"AIMORÉS";"GUILHERME BOULOS";"33"
"AIMORÉS";"HENRIQUE MEIRELLES";"226"
"AIMORÉS";"JAIR BOLSONARO";"7285"
"AIMORÉS";"JOÃO AMOÊDO";"229"
"AIMORÉS";"JOÃO GOULART FILHO";"20"
"AIMORÉS";"MARINA SILVA";"111"
"AIMORÉS";"NULO";"627"
"AIMORÉS";"VERA";"9"
"AIURUOCA";"ALVARO DIAS";"18"
"AIURUOCA";"BRANCO";"142"
"AIURUOCA";"CABO DACIOLO";"20"
"AIURUOCA";"CIRO GOMES";"336"
"AIURUOCA";"EYMAEL";"1"
"AIURUOCA";"FERNANDO HADDAD";"859"
"AIURUOCA";"GERALDO ALCKMIN";"317"
"AIURUOCA";"GUILHERME BOULOS";"22"
"AIURUOCA";"HENRIQUE MEIRELLES";"33"
"AIURUOCA";"JAIR BOLSONARO";"1490"
"AIURUOCA";"JOÃO AMOÊDO";"80"
"AIURUOCA";"JOÃO GOULART FILHO";"4"
"AIURUOCA";"MARINA SILVA";"20"
"AIURUOCA";"NULO";"340"
"AIURUOCA";"VERA";"5"
"ALAGOA";"ALVARO DIAS";"5"
"ALAGOA";"BRANCO";"59"
"ALAGOA";"CABO DACIOLO";"9"
"ALAGOA";"CIRO GOMES";"129"
"ALAGOA";"EYMAEL";"1"
"ALAGOA";"FERNANDO HADDAD";"269"
"ALAGOA";"GERALDO ALCKMIN";"374"
"ALAGOA";"GUILHERME BOULOS";"7"
"ALAGOA";"HENRIQUE MEIRELLES";"12"
"ALAGOA";"JAIR BOLSONARO";"904"
"ALAGOA";"JOÃO AMOÊDO";"73"
"ALAGOA";"JOÃO GOULART FILHO";"3"
"ALAGOA";"MARINA SILVA";"5"
"ALAGOA";"NULO";"74"
"ALBERTINA";"ALVARO DIAS";"4"
"ALBERTINA";"BRANCO";"55"
