"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"AGUIAR";"ALVARO DIAS";"9"
"AGUIAR";"BRANCO";"45"
"AGUIAR";"CABO DACIOLO";"3"
"AGUIAR";"CIRO GOMES";"422"
"AGUIAR";"FERNANDO HADDAD";"2398"
"AGUIAR";"GERALDO ALCKMIN";"32"
"AGUIAR";"GUILHERME BOULOS";"4"
"AGUIAR";"HENRIQUE MEIRELLES";"20"
"AGUIAR";"JAIR BOLSONARO";"410"
"AGUIAR";"JOÃO AMOÊDO";"6"
"AGUIAR";"MARINA SILVA";"8"
"AGUIAR";"NULO";"224"
"ALAGOA GRANDE";"ALVARO DIAS";"43"
"ALAGOA GRANDE";"BRANCO";"577"
"ALAGOA GRANDE";"CABO DACIOLO";"146"
"ALAGOA GRANDE";"CIRO GOMES";"2061"
"ALAGOA GRANDE";"EYMAEL";"7"
"ALAGOA GRANDE";"FERNANDO HADDAD";"8320"
"ALAGOA GRANDE";"GERALDO ALCKMIN";"279"
"ALAGOA GRANDE";"GUILHERME BOULOS";"45"
"ALAGOA GRANDE";"HENRIQUE MEIRELLES";"167"
"ALAGOA GRANDE";"JAIR BOLSONARO";"3483"
"ALAGOA GRANDE";"JOÃO AMOÊDO";"91"
"ALAGOA GRANDE";"JOÃO GOULART FILHO";"2"
"ALAGOA GRANDE";"MARINA SILVA";"34"
"ALAGOA GRANDE";"NULO";"1653"
"ALAGOA GRANDE";"VERA";"4"
"ALAGOA NOVA";"ALVARO DIAS";"25"
"ALAGOA NOVA";"BRANCO";"383"
"ALAGOA NOVA";"CABO DACIOLO";"106"
"ALAGOA NOVA";"CIRO GOMES";"2122"
"ALAGOA NOVA";"EYMAEL";"5"
"ALAGOA NOVA";"FERNANDO HADDAD";"5040"
"ALAGOA NOVA";"GERALDO ALCKMIN";"468"
"ALAGOA NOVA";"GUILHERME BOULOS";"33"
"ALAGOA NOVA";"HENRIQUE MEIRELLES";"78"
"ALAGOA NOVA";"JAIR BOLSONARO";"2144"
"ALAGOA NOVA";"JOÃO AMOÊDO";"45"
"ALAGOA NOVA";"JOÃO GOULART FILHO";"3"
"ALAGOA NOVA";"MARINA SILVA";"40"
"ALAGOA NOVA";"NULO";"1483"
"ALAGOA NOVA";"VERA";"5"
"ALAGOINHA";"ALVARO DIAS";"6"
"ALAGOINHA";"BRANCO";"286"
"ALAGOINHA";"CABO DACIOLO";"49"
"ALAGOINHA";"CIRO GOMES";"1047"
