"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABATIÁ";"ALVARO DIAS";"202"
"ABATIÁ";"BRANCO";"139"
"ABATIÁ";"CABO DACIOLO";"10"
"ABATIÁ";"CIRO GOMES";"374"
"ABATIÁ";"EYMAEL";"3"
"ABATIÁ";"FERNANDO HADDAD";"1323"
"ABATIÁ";"GERALDO ALCKMIN";"172"
"ABATIÁ";"GUILHERME BOULOS";"11"
"ABATIÁ";"HENRIQUE MEIRELLES";"63"
"ABATIÁ";"JAIR BOLSONARO";"2244"
"ABATIÁ";"JOÃO AMOÊDO";"61"
"ABATIÁ";"JOÃO GOULART FILHO";"1"
"ABATIÁ";"MARINA SILVA";"13"
"ABATIÁ";"NULO";"263"
"ABATIÁ";"VERA";"1"
"ADRIANÓPOLIS";"ALVARO DIAS";"43"
"ADRIANÓPOLIS";"BRANCO";"85"
"ADRIANÓPOLIS";"CABO DACIOLO";"20"
"ADRIANÓPOLIS";"CIRO GOMES";"146"
"ADRIANÓPOLIS";"FERNANDO HADDAD";"2062"
"ADRIANÓPOLIS";"GERALDO ALCKMIN";"203"
"ADRIANÓPOLIS";"GUILHERME BOULOS";"8"
"ADRIANÓPOLIS";"HENRIQUE MEIRELLES";"28"
"ADRIANÓPOLIS";"JAIR BOLSONARO";"1103"
"ADRIANÓPOLIS";"JOÃO AMOÊDO";"68"
"ADRIANÓPOLIS";"JOÃO GOULART FILHO";"2"
"ADRIANÓPOLIS";"MARINA SILVA";"18"
"ADRIANÓPOLIS";"NULO";"217"
"AGUDOS DO SUL";"ALVARO DIAS";"241"
"AGUDOS DO SUL";"BRANCO";"191"
"AGUDOS DO SUL";"CABO DACIOLO";"21"
"AGUDOS DO SUL";"CIRO GOMES";"231"
"AGUDOS DO SUL";"EYMAEL";"2"
"AGUDOS DO SUL";"FERNANDO HADDAD";"1250"
"AGUDOS DO SUL";"GERALDO ALCKMIN";"218"
"AGUDOS DO SUL";"GUILHERME BOULOS";"10"
"AGUDOS DO SUL";"HENRIQUE MEIRELLES";"66"
"AGUDOS DO SUL";"JAIR BOLSONARO";"3176"
"AGUDOS DO SUL";"JOÃO AMOÊDO";"74"
"AGUDOS DO SUL";"JOÃO GOULART FILHO";"1"
"AGUDOS DO SUL";"MARINA SILVA";"29"
"AGUDOS DO SUL";"NULO";"288"
"ALMIRANTE TAMANDARÉ";"ALVARO DIAS";"2761"
