"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABDON BATISTA";"ALVARO DIAS";"19"
"ABDON BATISTA";"BRANCO";"39"
"ABDON BATISTA";"CIRO GOMES";"67"
"ABDON BATISTA";"FERNANDO HADDAD";"573"
"ABDON BATISTA";"GERALDO ALCKMIN";"192"
"ABDON BATISTA";"GUILHERME BOULOS";"4"
"ABDON BATISTA";"HENRIQUE MEIRELLES";"86"
"ABDON BATISTA";"JAIR BOLSONARO";"904"
"ABDON BATISTA";"JOÃO AMOÊDO";"23"
"ABDON BATISTA";"MARINA SILVA";"3"
"ABDON BATISTA";"NULO";"64"
"ABDON BATISTA";"VERA";"2"
"ABELARDO LUZ";"ALVARO DIAS";"114"
"ABELARDO LUZ";"BRANCO";"289"
"ABELARDO LUZ";"CABO DACIOLO";"40"
"ABELARDO LUZ";"CIRO GOMES";"296"
"ABELARDO LUZ";"FERNANDO HADDAD";"3604"
"ABELARDO LUZ";"GERALDO ALCKMIN";"298"
"ABELARDO LUZ";"GUILHERME BOULOS";"41"
"ABELARDO LUZ";"HENRIQUE MEIRELLES";"99"
"ABELARDO LUZ";"JAIR BOLSONARO";"4538"
"ABELARDO LUZ";"JOÃO AMOÊDO";"102"
"ABELARDO LUZ";"JOÃO GOULART FILHO";"1"
"ABELARDO LUZ";"MARINA SILVA";"23"
"ABELARDO LUZ";"NULO";"289"
"ABELARDO LUZ";"VERA";"2"
"AGROLÂNDIA";"ALVARO DIAS";"47"
"AGROLÂNDIA";"BRANCO";"137"
"AGROLÂNDIA";"CABO DACIOLO";"17"
"AGROLÂNDIA";"CIRO GOMES";"132"
"AGROLÂNDIA";"EYMAEL";"2"
"AGROLÂNDIA";"FERNANDO HADDAD";"969"
"AGROLÂNDIA";"GERALDO ALCKMIN";"212"
"AGROLÂNDIA";"GUILHERME BOULOS";"9"
"AGROLÂNDIA";"HENRIQUE MEIRELLES";"82"
"AGROLÂNDIA";"JAIR BOLSONARO";"4508"
"AGROLÂNDIA";"JOÃO AMOÊDO";"135"
"AGROLÂNDIA";"MARINA SILVA";"18"
"AGROLÂNDIA";"NULO";"366"
"AGROLÂNDIA";"VERA";"2"
"AGRONÔMICA";"ALVARO DIAS";"27"
"AGRONÔMICA";"BRANCO";"64"
"AGRONÔMICA";"CABO DACIOLO";"9"
"AGRONÔMICA";"CIRO GOMES";"93"
"AGRONÔMICA";"FERNANDO HADDAD";"299"
"AGRONÔMICA";"GERALDO ALCKMIN";"101"
"AGRONÔMICA";"GUILHERME BOULOS";"8"
"AGRONÔMICA";"HENRIQUE MEIRELLES";"49"
"AGRONÔMICA";"JAIR BOLSONARO";"2699"
"AGRONÔMICA";"JOÃO AMOÊDO";"85"
"AGRONÔMICA";"MARINA SILVA";"9"
"AGRONÔMICA";"NULO";"152"
"AGRONÔMICA";"VERA";"1"
"ALFREDO WAGNER";"ALVARO DIAS";"45"
"ALFREDO WAGNER";"BRANCO";"178"
"ALFREDO WAGNER";"CABO DACIOLO";"9"
"ALFREDO WAGNER";"CIRO GOMES";"209"
"ALFREDO WAGNER";"EYMAEL";"2"
"ALFREDO WAGNER";"FERNANDO HADDAD";"1116"
"ALFREDO WAGNER";"GERALDO ALCKMIN";"382"
"ALFREDO WAGNER";"GUILHERME BOULOS";"21"
"ALFREDO WAGNER";"HENRIQUE MEIRELLES";"131"
"ALFREDO WAGNER";"JAIR BOLSONARO";"4048"
"ALFREDO WAGNER";"JOÃO AMOÊDO";"190"
"ALFREDO WAGNER";"MARINA SILVA";"13"
"ALFREDO WAGNER";"NULO";"248"
"ALTO BELA VISTA";"ALVARO DIAS";"33"
"ALTO BELA VISTA";"BRANCO";"21"
"ALTO BELA VISTA";"CIRO GOMES";"57"
"ALTO BELA VISTA";"FERNANDO HADDAD";"360"
"ALTO BELA VISTA";"GERALDO ALCKMIN";"58"
"ALTO BELA VISTA";"GUILHERME BOULOS";"4"
"ALTO BELA VISTA";"HENRIQUE MEIRELLES";"55"
"ALTO BELA VISTA";"JAIR BOLSONARO";"929"
"ALTO BELA VISTA";"JOÃO AMOÊDO";"35"
"ALTO BELA VISTA";"MARINA SILVA";"2"
"ALTO BELA VISTA";"NULO";"76"
"ALTO BELA VISTA";"VERA";"1"
"ANCHIETA";"ALVARO DIAS";"52"
"ANCHIETA";"BRANCO";"91"
"ANCHIETA";"CABO DACIOLO";"14"
"ANCHIETA";"CIRO GOMES";"332"
"ANCHIETA";"FERNANDO HADDAD";"1498"
"ANCHIETA";"GERALDO ALCKMIN";"121"
"ANCHIETA";"GUILHERME BOULOS";"18"
"ANCHIETA";"HENRIQUE MEIRELLES";"66"
"ANCHIETA";"JAIR BOLSONARO";"1623"
"ANCHIETA";"JOÃO AMOÊDO";"73"
"ANCHIETA";"MARINA SILVA";"13"
"ANCHIETA";"NULO";"146"
"ANCHIETA";"VERA";"2"
"ANGELINA";"ALVARO DIAS";"36"
"ANGELINA";"BRANCO";"128"
"ANGELINA";"CABO DACIOLO";"3"
"ANGELINA";"CIRO GOMES";"212"
"ANGELINA";"EYMAEL";"1"
"ANGELINA";"FERNANDO HADDAD";"1165"
"ANGELINA";"GERALDO ALCKMIN";"193"
"ANGELINA";"GUILHERME BOULOS";"16"
"ANGELINA";"HENRIQUE MEIRELLES";"82"
"ANGELINA";"JAIR BOLSONARO";"2170"
"ANGELINA";"JOÃO AMOÊDO";"148"
"ANGELINA";"JOÃO GOULART FILHO";"1"
"ANGELINA";"MARINA SILVA";"7"
"ANGELINA";"NULO";"223"
"ANITA GARIBALDI";"ALVARO DIAS";"29"
"ANITA GARIBALDI";"BRANCO";"257"
"ANITA GARIBALDI";"CABO DACIOLO";"17"
