"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ANADIA";"BRANCO";"95"
"ANADIA";"FERNANDO HADDAD";"6182"
"ANADIA";"JAIR BOLSONARO";"1711"
"ANADIA";"NULO";"470"
"ARAPIRACA";"BRANCO";"1949"
"ARAPIRACA";"FERNANDO HADDAD";"56755"
"ARAPIRACA";"JAIR BOLSONARO";"48375"
"ARAPIRACA";"NULO";"6497"
"ATALAIA";"BRANCO";"380"
"ATALAIA";"FERNANDO HADDAD";"13524"
"ATALAIA";"JAIR BOLSONARO";"6287"
"ATALAIA";"NULO";"1135"
"BARRA DE SANTO ANTÔNIO";"BRANCO";"121"
"BARRA DE SANTO ANTÔNIO";"FERNANDO HADDAD";"4923"
"BARRA DE SANTO ANTÔNIO";"JAIR BOLSONARO";"2893"
"BARRA DE SANTO ANTÔNIO";"NULO";"480"
"BARRA DE SÃO MIGUEL";"BRANCO";"78"
"BARRA DE SÃO MIGUEL";"FERNANDO HADDAD";"2346"
"BARRA DE SÃO MIGUEL";"JAIR BOLSONARO";"2400"
"BARRA DE SÃO MIGUEL";"NULO";"267"
"BATALHA";"BRANCO";"93"
"BATALHA";"FERNANDO HADDAD";"6261"
"BATALHA";"JAIR BOLSONARO";"2072"
"BATALHA";"NULO";"378"
"BELO MONTE";"BRANCO";"38"
"BELO MONTE";"FERNANDO HADDAD";"2928"
"BELO MONTE";"JAIR BOLSONARO";"486"
"BELO MONTE";"NULO";"146"
"BELÉM";"BRANCO";"68"
"BELÉM";"FERNANDO HADDAD";"2511"
"BELÉM";"JAIR BOLSONARO";"684"
"BELÉM";"NULO";"157"
"BOCA DA MATA";"BRANCO";"227"
"BOCA DA MATA";"FERNANDO HADDAD";"7788"
"BOCA DA MATA";"JAIR BOLSONARO";"4521"
"BOCA DA MATA";"NULO";"822"
"BRANQUINHA";"BRANCO";"74"
"BRANQUINHA";"FERNANDO HADDAD";"3756"
"BRANQUINHA";"JAIR BOLSONARO";"1160"
"BRANQUINHA";"NULO";"243"
"CACIMBINHAS";"BRANCO";"51"
"CACIMBINHAS";"FERNANDO HADDAD";"4166"
"CACIMBINHAS";"JAIR BOLSONARO";"1125"
"CACIMBINHAS";"NULO";"245"
"CAJUEIRO";"BRANCO";"138"
"CAJUEIRO";"FERNANDO HADDAD";"6380"
"CAJUEIRO";"JAIR BOLSONARO";"2652"
"CAJUEIRO";"NULO";"545"
"CAMPESTRE";"BRANCO";"69"
"CAMPESTRE";"FERNANDO HADDAD";"2594"
"CAMPESTRE";"JAIR BOLSONARO";"745"
"CAMPESTRE";"NULO";"209"
"CAMPO ALEGRE";"BRANCO";"233"
"CAMPO ALEGRE";"FERNANDO HADDAD";"11526"
"CAMPO ALEGRE";"JAIR BOLSONARO";"4239"
"CAMPO ALEGRE";"NULO";"897"
"CAMPO GRANDE";"BRANCO";"44"
"CAMPO GRANDE";"FERNANDO HADDAD";"5022"
"CAMPO GRANDE";"JAIR BOLSONARO";"843"
"CAMPO GRANDE";"NULO";"180"
"CANAPI";"BRANCO";"70"
"CANAPI";"FERNANDO HADDAD";"7618"
"CANAPI";"JAIR BOLSONARO";"905"
"CANAPI";"NULO";"327"
"CAPELA";"BRANCO";"110"
"CAPELA";"FERNANDO HADDAD";"5192"
"CAPELA";"JAIR BOLSONARO";"3222"
"CAPELA";"NULO";"508"
"CARNEIROS";"BRANCO";"27"
"CARNEIROS";"FERNANDO HADDAD";"3873"
"CARNEIROS";"JAIR BOLSONARO";"547"
"CARNEIROS";"NULO";"202"
"CHÃ PRETA";"BRANCO";"38"
"CHÃ PRETA";"FERNANDO HADDAD";"2994"
"CHÃ PRETA";"JAIR BOLSONARO";"788"
"CHÃ PRETA";"NULO";"256"
"COITÉ DO NÓIA";"BRANCO";"63"
"COITÉ DO NÓIA";"FERNANDO HADDAD";"5010"
"COITÉ DO NÓIA";"JAIR BOLSONARO";"964"
"COITÉ DO NÓIA";"NULO";"293"
"COLÔNIA LEOPOLDINA";"BRANCO";"118"
"COLÔNIA LEOPOLDINA";"FERNANDO HADDAD";"5582"
"COLÔNIA LEOPOLDINA";"JAIR BOLSONARO";"3559"
"COLÔNIA LEOPOLDINA";"NULO";"643"
"COQUEIRO SECO";"BRANCO";"76"
"COQUEIRO SECO";"FERNANDO HADDAD";"2016"
"COQUEIRO SECO";"JAIR BOLSONARO";"1265"
"COQUEIRO SECO";"NULO";"253"
"CORURIPE";"BRANCO";"464"
"CORURIPE";"FERNANDO HADDAD";"11098"
"CORURIPE";"JAIR BOLSONARO";"13819"
"CORURIPE";"NULO";"2239"
"CRAÍBAS";"BRANCO";"156"
"CRAÍBAS";"FERNANDO HADDAD";"11200"
"CRAÍBAS";"JAIR BOLSONARO";"2099"
"CRAÍBAS";"NULO";"584"
"DELMIRO GOUVEIA";"BRANCO";"200"
"DELMIRO GOUVEIA";"FERNANDO HADDAD";"22523"
"DELMIRO GOUVEIA";"JAIR BOLSONARO";"4009"
"DELMIRO GOUVEIA";"NULO";"1065"
"DOIS RIACHOS";"BRANCO";"53"
