"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ALVARÃES";"BRANCO";"37"
"ALVARÃES";"FERNANDO HADDAD";"5295"
"ALVARÃES";"JAIR BOLSONARO";"1380"
"ALVARÃES";"NULO";"319"
"AMATURÁ";"BRANCO";"32"
"AMATURÁ";"FERNANDO HADDAD";"3400"
"AMATURÁ";"JAIR BOLSONARO";"846"
"AMATURÁ";"NULO";"335"
"ANAMÃ";"BRANCO";"51"
"ANAMÃ";"FERNANDO HADDAD";"4077"
"ANAMÃ";"JAIR BOLSONARO";"1771"
"ANAMÃ";"NULO";"297"
"ANORI";"BRANCO";"64"
"ANORI";"FERNANDO HADDAD";"3681"
"ANORI";"JAIR BOLSONARO";"2253"
"ANORI";"NULO";"333"
"APUÍ";"BRANCO";"91"
"APUÍ";"FERNANDO HADDAD";"3046"
"APUÍ";"JAIR BOLSONARO";"3218"
"APUÍ";"NULO";"362"
"ATALAIA DO NORTE";"BRANCO";"27"
"ATALAIA DO NORTE";"FERNANDO HADDAD";"4020"
"ATALAIA DO NORTE";"JAIR BOLSONARO";"851"
"ATALAIA DO NORTE";"NULO";"266"
"AUTAZES";"BRANCO";"153"
"AUTAZES";"FERNANDO HADDAD";"12407"
"AUTAZES";"JAIR BOLSONARO";"4509"
"AUTAZES";"NULO";"1017"
"BARCELOS";"BRANCO";"58"
"BARCELOS";"FERNANDO HADDAD";"3608"
"BARCELOS";"JAIR BOLSONARO";"1913"
"BARCELOS";"NULO";"318"
"BARREIRINHA";"BRANCO";"75"
"BARREIRINHA";"FERNANDO HADDAD";"11611"
"BARREIRINHA";"JAIR BOLSONARO";"1036"
"BARREIRINHA";"NULO";"608"
"BENJAMIN CONSTANT";"BRANCO";"94"
"BENJAMIN CONSTANT";"FERNANDO HADDAD";"12275"
"BENJAMIN CONSTANT";"JAIR BOLSONARO";"2026"
"BENJAMIN CONSTANT";"NULO";"845"
"BERURI";"BRANCO";"72"
"BERURI";"FERNANDO HADDAD";"5670"
"BERURI";"JAIR BOLSONARO";"1831"
"BERURI";"NULO";"410"
"BOA VISTA DO RAMOS";"BRANCO";"48"
"BOA VISTA DO RAMOS";"FERNANDO HADDAD";"6666"
