"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABADIA DE GOIÁS";"BRANCO";"91"
"ABADIA DE GOIÁS";"FERNANDO HADDAD";"1928"
"ABADIA DE GOIÁS";"JAIR BOLSONARO";"4285"
"ABADIA DE GOIÁS";"NULO";"201"
"ABADIÂNIA";"BRANCO";"140"
"ABADIÂNIA";"FERNANDO HADDAD";"1781"
"ABADIÂNIA";"JAIR BOLSONARO";"5204"
"ABADIÂNIA";"NULO";"352"
"ACREÚNA";"BRANCO";"149"
"ACREÚNA";"FERNANDO HADDAD";"4278"
"ACREÚNA";"JAIR BOLSONARO";"6063"
"ACREÚNA";"NULO";"606"
"ADELÂNDIA";"BRANCO";"24"
"ADELÂNDIA";"FERNANDO HADDAD";"430"
"ADELÂNDIA";"JAIR BOLSONARO";"1387"
"ADELÂNDIA";"NULO";"59"
"ALEXÂNIA";"BRANCO";"307"
"ALEXÂNIA";"FERNANDO HADDAD";"3979"
"ALEXÂNIA";"JAIR BOLSONARO";"9723"
"ALEXÂNIA";"NULO";"727"
"ALOÂNDIA";"BRANCO";"45"
"ALOÂNDIA";"FERNANDO HADDAD";"506"
"ALOÂNDIA";"JAIR BOLSONARO";"801"
"ALOÂNDIA";"NULO";"92"
"ALTO HORIZONTE";"BRANCO";"39"
"ALTO HORIZONTE";"FERNANDO HADDAD";"1386"
"ALTO HORIZONTE";"JAIR BOLSONARO";"2429"
"ALTO HORIZONTE";"NULO";"125"
"ALTO PARAÍSO DE GOIÁS";"BRANCO";"40"
"ALTO PARAÍSO DE GOIÁS";"FERNANDO HADDAD";"2379"
"ALTO PARAÍSO DE GOIÁS";"JAIR BOLSONARO";"1454"
"ALTO PARAÍSO DE GOIÁS";"NULO";"209"
"ALVORADA DO NORTE";"BRANCO";"60"
"ALVORADA DO NORTE";"FERNANDO HADDAD";"2083"
"ALVORADA DO NORTE";"JAIR BOLSONARO";"2066"
"ALVORADA DO NORTE";"NULO";"202"
"AMARALINA";"BRANCO";"22"
"AMARALINA";"FERNANDO HADDAD";"1204"
"AMARALINA";"JAIR BOLSONARO";"813"
"AMARALINA";"NULO";"86"
"AMERICANO DO BRASIL";"BRANCO";"62"
"AMERICANO DO BRASIL";"FERNANDO HADDAD";"1559"
"AMERICANO DO BRASIL";"JAIR BOLSONARO";"1934"
"AMERICANO DO BRASIL";"NULO";"161"
"AMORINÓPOLIS";"BRANCO";"30"
"AMORINÓPOLIS";"FERNANDO HADDAD";"1172"
"AMORINÓPOLIS";"JAIR BOLSONARO";"1398"
"AMORINÓPOLIS";"NULO";"147"
"ANHANGÜERA";"BRANCO";"6"
"ANHANGÜERA";"FERNANDO HADDAD";"391"
"ANHANGÜERA";"JAIR BOLSONARO";"374"
"ANHANGÜERA";"NULO";"46"
"ANICUNS";"BRANCO";"167"
"ANICUNS";"FERNANDO HADDAD";"3453"
"ANICUNS";"JAIR BOLSONARO";"6906"
"ANICUNS";"NULO";"649"
"ANÁPOLIS";"BRANCO";"3507"
"ANÁPOLIS";"FERNANDO HADDAD";"39442"
"ANÁPOLIS";"JAIR BOLSONARO";"154907"
"ANÁPOLIS";"NULO";"11178"
"APARECIDA DE GOIÂNIA";"BRANCO";"4160"
"APARECIDA DE GOIÂNIA";"FERNANDO HADDAD";"71561"
"APARECIDA DE GOIÂNIA";"JAIR BOLSONARO";"145366"
"APARECIDA DE GOIÂNIA";"NULO";"12303"
"APARECIDA DO RIO DOCE";"BRANCO";"28"
"APARECIDA DO RIO DOCE";"FERNANDO HADDAD";"838"
"APARECIDA DO RIO DOCE";"JAIR BOLSONARO";"873"
"APARECIDA DO RIO DOCE";"NULO";"131"
"APORÉ";"BRANCO";"35"
"APORÉ";"FERNANDO HADDAD";"912"
"APORÉ";"JAIR BOLSONARO";"1124"
"APORÉ";"NULO";"119"
"ARAGARÇAS";"BRANCO";"123"
"ARAGARÇAS";"FERNANDO HADDAD";"3557"
"ARAGARÇAS";"JAIR BOLSONARO";"4941"
"ARAGARÇAS";"NULO";"425"
"ARAGOIÂNIA";"BRANCO";"87"
"ARAGOIÂNIA";"FERNANDO HADDAD";"2027"
"ARAGOIÂNIA";"JAIR BOLSONARO";"3509"
"ARAGOIÂNIA";"NULO";"275"
"ARAGUAPAZ";"BRANCO";"57"
"ARAGUAPAZ";"FERNANDO HADDAD";"2058"
"ARAGUAPAZ";"JAIR BOLSONARO";"1980"
"ARAGUAPAZ";"NULO";"160"
"ARAÇU";"BRANCO";"31"
"ARAÇU";"FERNANDO HADDAD";"1144"
"ARAÇU";"JAIR BOLSONARO";"1702"
