"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"AFONSO CUNHA";"BRANCO";"22"
"AFONSO CUNHA";"FERNANDO HADDAD";"4048"
"AFONSO CUNHA";"JAIR BOLSONARO";"374"
"AFONSO CUNHA";"NULO";"74"
"ALCÂNTARA";"BRANCO";"124"
"ALCÂNTARA";"FERNANDO HADDAD";"9125"
"ALCÂNTARA";"JAIR BOLSONARO";"1504"
"ALCÂNTARA";"NULO";"312"
"ALDEIAS ALTAS";"BRANCO";"92"
"ALDEIAS ALTAS";"FERNANDO HADDAD";"9719"
"ALDEIAS ALTAS";"JAIR BOLSONARO";"1899"
"ALDEIAS ALTAS";"NULO";"450"
"ALTAMIRA DO MARANHÃO";"BRANCO";"33"
"ALTAMIRA DO MARANHÃO";"FERNANDO HADDAD";"2730"
"ALTAMIRA DO MARANHÃO";"JAIR BOLSONARO";"664"
"ALTAMIRA DO MARANHÃO";"NULO";"132"
"ALTO ALEGRE DO MARANHÃO";"BRANCO";"91"
"ALTO ALEGRE DO MARANHÃO";"FERNANDO HADDAD";"10064"
"ALTO ALEGRE DO MARANHÃO";"JAIR BOLSONARO";"2010"
"ALTO ALEGRE DO MARANHÃO";"NULO";"379"
"ALTO ALEGRE DO PINDARÉ";"BRANCO";"110"
"ALTO ALEGRE DO PINDARÉ";"FERNANDO HADDAD";"11513"
"ALTO ALEGRE DO PINDARÉ";"JAIR BOLSONARO";"1741"
"ALTO ALEGRE DO PINDARÉ";"NULO";"451"
"ALTO PARNAÍBA";"BRANCO";"44"
"ALTO PARNAÍBA";"FERNANDO HADDAD";"3744"
"ALTO PARNAÍBA";"JAIR BOLSONARO";"1453"
"ALTO PARNAÍBA";"NULO";"212"
"AMAPÁ DO MARANHÃO";"BRANCO";"35"
"AMAPÁ DO MARANHÃO";"FERNANDO HADDAD";"2571"
"AMAPÁ DO MARANHÃO";"JAIR BOLSONARO";"697"
"AMAPÁ DO MARANHÃO";"NULO";"127"
"AMARANTE DO MARANHÃO";"BRANCO";"185"
"AMARANTE DO MARANHÃO";"FERNANDO HADDAD";"12451"
"AMARANTE DO MARANHÃO";"JAIR BOLSONARO";"5186"
"AMARANTE DO MARANHÃO";"NULO";"485"
"ANAJATUBA";"BRANCO";"102"
"ANAJATUBA";"FERNANDO HADDAD";"10794"
"ANAJATUBA";"JAIR BOLSONARO";"1690"
"ANAJATUBA";"NULO";"463"
"ANAPURUS";"BRANCO";"74"
"ANAPURUS";"FERNANDO HADDAD";"8094"
"ANAPURUS";"JAIR BOLSONARO";"1394"
"ANAPURUS";"NULO";"300"
"APICUM-AÇU";"BRANCO";"62"
"APICUM-AÇU";"FERNANDO HADDAD";"6014"
"APICUM-AÇU";"JAIR BOLSONARO";"1649"
"APICUM-AÇU";"NULO";"151"
"ARAGUANÃ";"BRANCO";"18"
"ARAGUANÃ";"FERNANDO HADDAD";"4315"
"ARAGUANÃ";"JAIR BOLSONARO";"580"
"ARAGUANÃ";"NULO";"116"
"ARAIOSES";"BRANCO";"253"
"ARAIOSES";"FERNANDO HADDAD";"19425"
"ARAIOSES";"JAIR BOLSONARO";"2476"
"ARAIOSES";"NULO";"768"
"ARAME";"BRANCO";"85"
"ARAME";"FERNANDO HADDAD";"11202"
"ARAME";"JAIR BOLSONARO";"3040"
"ARAME";"NULO";"359"
"ARARI";"BRANCO";"174"
"ARARI";"FERNANDO HADDAD";"12390"
"ARARI";"JAIR BOLSONARO";"3346"
"ARARI";"NULO";"550"
"AXIXÁ";"BRANCO";"70"
"AXIXÁ";"FERNANDO HADDAD";"5448"
"AXIXÁ";"JAIR BOLSONARO";"1049"
"AXIXÁ";"NULO";"180"
"AÇAILÂNDIA";"BRANCO";"812"
"AÇAILÂNDIA";"FERNANDO HADDAD";"25808"
"AÇAILÂNDIA";"JAIR BOLSONARO";"27430"
"AÇAILÂNDIA";"NULO";"1817"
"BACABAL";"BRANCO";"678"
"BACABAL";"FERNANDO HADDAD";"30586"
"BACABAL";"JAIR BOLSONARO";"15311"
"BACABAL";"NULO";"3647"
"BACABEIRA";"BRANCO";"101"
"BACABEIRA";"FERNANDO HADDAD";"8712"
"BACABEIRA";"JAIR BOLSONARO";"1618"
"BACABEIRA";"NULO";"354"
"BACURI";"BRANCO";"62"
"BACURI";"FERNANDO HADDAD";"7290"
"BACURI";"JAIR BOLSONARO";"930"
"BACURI";"NULO";"231"
"BACURITUBA";"BRANCO";"27"
"BACURITUBA";"FERNANDO HADDAD";"2728"
"BACURITUBA";"JAIR BOLSONARO";"338"
"BACURITUBA";"NULO";"50"
"BALSAS";"BRANCO";"592"
"BALSAS";"FERNANDO HADDAD";"23547"
"BALSAS";"JAIR BOLSONARO";"19170"
"BALSAS";"NULO";"1473"
"BARRA DO CORDA";"BRANCO";"385"
"BARRA DO CORDA";"FERNANDO HADDAD";"28593"
"BARRA DO CORDA";"JAIR BOLSONARO";"11710"
"BARRA DO CORDA";"NULO";"1353"
"BARREIRINHAS";"BRANCO";"252"
"BARREIRINHAS";"FERNANDO HADDAD";"26149"
"BARREIRINHAS";"JAIR BOLSONARO";"4877"
"BARREIRINHAS";"NULO";"709"
"BARÃO DE GRAJAÚ";"BRANCO";"92"
"BARÃO DE GRAJAÚ";"FERNANDO HADDAD";"9080"
"BARÃO DE GRAJAÚ";"JAIR BOLSONARO";"1110"
"BARÃO DE GRAJAÚ";"NULO";"362"
"BELA VISTA DO MARANHÃO";"BRANCO";"42"
"BELA VISTA DO MARANHÃO";"FERNANDO HADDAD";"5266"
"BELA VISTA DO MARANHÃO";"JAIR BOLSONARO";"1026"
"BELA VISTA DO MARANHÃO";"NULO";"172"
"BELÁGUA";"BRANCO";"34"
"BELÁGUA";"FERNANDO HADDAD";"4358"
"BELÁGUA";"JAIR BOLSONARO";"295"
"BELÁGUA";"NULO";"106"
"BENEDITO LEITE";"BRANCO";"16"
"BENEDITO LEITE";"FERNANDO HADDAD";"2439"
"BENEDITO LEITE";"JAIR BOLSONARO";"439"
"BENEDITO LEITE";"NULO";"87"
"BEQUIMÃO";"BRANCO";"160"
"BEQUIMÃO";"FERNANDO HADDAD";"9026"
"BEQUIMÃO";"JAIR BOLSONARO";"1519"
"BEQUIMÃO";"NULO";"411"
"BERNARDO DO MEARIM";"BRANCO";"22"
"BERNARDO DO MEARIM";"FERNANDO HADDAD";"2645"
"BERNARDO DO MEARIM";"JAIR BOLSONARO";"845"
"BERNARDO DO MEARIM";"NULO";"97"
"BOA VISTA DO GURUPI";"BRANCO";"33"
"BOA VISTA DO GURUPI";"FERNANDO HADDAD";"3038"
"BOA VISTA DO GURUPI";"JAIR BOLSONARO";"734"
"BOA VISTA DO GURUPI";"NULO";"90"
"BOM JARDIM";"BRANCO";"140"
"BOM JARDIM";"FERNANDO HADDAD";"14225"
"BOM JARDIM";"JAIR BOLSONARO";"3095"
"BOM JARDIM";"NULO";"572"
"BOM JESUS DAS SELVAS";"BRANCO";"117"
"BOM JESUS DAS SELVAS";"FERNANDO HADDAD";"9651"
"BOM JESUS DAS SELVAS";"JAIR BOLSONARO";"3412"
"BOM JESUS DAS SELVAS";"NULO";"278"
"BOM LUGAR";"BRANCO";"53"
