"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACORIZAL";"BRANCO";"34"
"ACORIZAL";"FERNANDO HADDAD";"2526"
"ACORIZAL";"JAIR BOLSONARO";"1937"
"ACORIZAL";"NULO";"81"
"ALTA FLORESTA";"BRANCO";"404"
"ALTA FLORESTA";"FERNANDO HADDAD";"7791"
"ALTA FLORESTA";"JAIR BOLSONARO";"18321"
"ALTA FLORESTA";"NULO";"1071"
"ALTO ARAGUAIA";"BRANCO";"93"
"ALTO ARAGUAIA";"FERNANDO HADDAD";"2687"
"ALTO ARAGUAIA";"JAIR BOLSONARO";"5001"
"ALTO ARAGUAIA";"NULO";"389"
"ALTO BOA VISTA";"BRANCO";"20"
"ALTO BOA VISTA";"FERNANDO HADDAD";"572"
"ALTO BOA VISTA";"JAIR BOLSONARO";"1735"
"ALTO BOA VISTA";"NULO";"65"
"ALTO GARÇAS";"BRANCO";"53"
"ALTO GARÇAS";"FERNANDO HADDAD";"1730"
"ALTO GARÇAS";"JAIR BOLSONARO";"3183"
"ALTO GARÇAS";"NULO";"248"
"ALTO PARAGUAI";"BRANCO";"52"
"ALTO PARAGUAI";"FERNANDO HADDAD";"2412"
"ALTO PARAGUAI";"JAIR BOLSONARO";"1714"
"ALTO PARAGUAI";"NULO";"158"
"ALTO TAQUARI";"BRANCO";"54"
"ALTO TAQUARI";"FERNANDO HADDAD";"1197"
"ALTO TAQUARI";"JAIR BOLSONARO";"3139"
"ALTO TAQUARI";"NULO";"181"
"APIACÁS";"BRANCO";"33"
"APIACÁS";"FERNANDO HADDAD";"1366"
"APIACÁS";"JAIR BOLSONARO";"2071"
"APIACÁS";"NULO";"126"
"ARAGUAIANA";"BRANCO";"14"
"ARAGUAIANA";"FERNANDO HADDAD";"859"
"ARAGUAIANA";"JAIR BOLSONARO";"1008"
"ARAGUAIANA";"NULO";"104"
"ARAGUAINHA";"BRANCO";"20"
"ARAGUAINHA";"FERNANDO HADDAD";"296"
"ARAGUAINHA";"JAIR BOLSONARO";"329"
"ARAGUAINHA";"NULO";"35"
"ARAPUTANGA";"BRANCO";"104"
"ARAPUTANGA";"FERNANDO HADDAD";"2172"
"ARAPUTANGA";"JAIR BOLSONARO";"5860"
"ARAPUTANGA";"NULO";"377"
"ARENÁPOLIS";"BRANCO";"79"
"ARENÁPOLIS";"FERNANDO HADDAD";"1908"
"ARENÁPOLIS";"JAIR BOLSONARO";"3187"
"ARENÁPOLIS";"NULO";"195"
"ARIPUANÃ";"BRANCO";"96"
"ARIPUANÃ";"FERNANDO HADDAD";"2325"
"ARIPUANÃ";"JAIR BOLSONARO";"5148"
"ARIPUANÃ";"NULO";"205"
"BARRA DO BUGRES";"BRANCO";"192"
"BARRA DO BUGRES";"FERNANDO HADDAD";"7636"
"BARRA DO BUGRES";"JAIR BOLSONARO";"8047"
"BARRA DO BUGRES";"NULO";"648"
"BARRA DO GARÇAS";"BRANCO";"484"
"BARRA DO GARÇAS";"FERNANDO HADDAD";"10350"
"BARRA DO GARÇAS";"JAIR BOLSONARO";"18236"
"BARRA DO GARÇAS";"NULO";"1268"
"BARÃO DE MELGAÇO";"BRANCO";"30"
"BARÃO DE MELGAÇO";"FERNANDO HADDAD";"2618"
"BARÃO DE MELGAÇO";"JAIR BOLSONARO";"1225"
"BARÃO DE MELGAÇO";"NULO";"129"
"BOM JESUS DO ARAGUAIA";"BRANCO";"27"
"BOM JESUS DO ARAGUAIA";"FERNANDO HADDAD";"1321"
"BOM JESUS DO ARAGUAIA";"JAIR BOLSONARO";"1523"
"BOM JESUS DO ARAGUAIA";"NULO";"85"
"BRASNORTE";"BRANCO";"96"
"BRASNORTE";"FERNANDO HADDAD";"2371"
"BRASNORTE";"JAIR BOLSONARO";"5097"
"BRASNORTE";"NULO";"216"
"CAMPINÁPOLIS";"BRANCO";"72"
"CAMPINÁPOLIS";"FERNANDO HADDAD";"3739"
"CAMPINÁPOLIS";"JAIR BOLSONARO";"2528"
"CAMPINÁPOLIS";"NULO";"170"
"CAMPO NOVO DO PARECIS";"BRANCO";"222"
"CAMPO NOVO DO PARECIS";"FERNANDO HADDAD";"4549"
"CAMPO NOVO DO PARECIS";"JAIR BOLSONARO";"10513"
"CAMPO NOVO DO PARECIS";"NULO";"466"
"CAMPO VERDE";"BRANCO";"248"
"CAMPO VERDE";"FERNANDO HADDAD";"5577"
"CAMPO VERDE";"JAIR BOLSONARO";"14839"
"CAMPO VERDE";"NULO";"653"
"CAMPOS DE JÚLIO";"BRANCO";"32"
"CAMPOS DE JÚLIO";"FERNANDO HADDAD";"792"
"CAMPOS DE JÚLIO";"JAIR BOLSONARO";"2210"
"CAMPOS DE JÚLIO";"NULO";"79"
"CANABRAVA DO NORTE";"BRANCO";"31"
"CANABRAVA DO NORTE";"FERNANDO HADDAD";"814"
"CANABRAVA DO NORTE";"JAIR BOLSONARO";"1580"
"CANABRAVA DO NORTE";"NULO";"62"
"CANARANA";"BRANCO";"116"
"CANARANA";"FERNANDO HADDAD";"2286"
"CANARANA";"JAIR BOLSONARO";"7452"
"CANARANA";"NULO";"211"
"CARLINDA";"BRANCO";"75"
"CARLINDA";"FERNANDO HADDAD";"2350"
"CARLINDA";"JAIR BOLSONARO";"2685"
"CARLINDA";"NULO";"183"
"CASTANHEIRA";"BRANCO";"48"
"CASTANHEIRA";"FERNANDO HADDAD";"1520"
"CASTANHEIRA";"JAIR BOLSONARO";"2366"
"CASTANHEIRA";"NULO";"154"
"CHAPADA DOS GUIMARÃES";"BRANCO";"126"
"CHAPADA DOS GUIMARÃES";"FERNANDO HADDAD";"5091"
"CHAPADA DOS GUIMARÃES";"JAIR BOLSONARO";"5438"
"CHAPADA DOS GUIMARÃES";"NULO";"355"
"CLÁUDIA";"BRANCO";"66"
"CLÁUDIA";"FERNANDO HADDAD";"1360"
"CLÁUDIA";"JAIR BOLSONARO";"3850"
"CLÁUDIA";"NULO";"200"
"COCALINHO";"BRANCO";"19"
"COCALINHO";"FERNANDO HADDAD";"1174"
"COCALINHO";"JAIR BOLSONARO";"1333"
"COCALINHO";"NULO";"69"
"COLNIZA";"BRANCO";"166"
"COLNIZA";"FERNANDO HADDAD";"3498"
"COLNIZA";"JAIR BOLSONARO";"7570"
"COLNIZA";"NULO";"380"
"COLÍDER";"BRANCO";"241"
"COLÍDER";"FERNANDO HADDAD";"2741"
"COLÍDER";"JAIR BOLSONARO";"13051"
"COLÍDER";"NULO";"530"
"COMODORO";"BRANCO";"114"
"COMODORO";"FERNANDO HADDAD";"2855"
"COMODORO";"JAIR BOLSONARO";"5947"
"COMODORO";"NULO";"285"
"CONFRESA";"BRANCO";"181"
"CONFRESA";"FERNANDO HADDAD";"4172"
"CONFRESA";"JAIR BOLSONARO";"8181"
"CONFRESA";"NULO";"379"
"CONQUISTA D'OESTE";"BRANCO";"23"
"CONQUISTA D'OESTE";"FERNANDO HADDAD";"541"
"CONQUISTA D'OESTE";"JAIR BOLSONARO";"1307"
"CONQUISTA D'OESTE";"NULO";"60"
"COTRIGUAÇU";"BRANCO";"91"
"COTRIGUAÇU";"FERNANDO HADDAD";"2114"
"COTRIGUAÇU";"JAIR BOLSONARO";"3342"
"COTRIGUAÇU";"NULO";"214"
"CUIABÁ";"BRANCO";"5139"
"CUIABÁ";"FERNANDO HADDAD";"109681"
"CUIABÁ";"JAIR BOLSONARO";"222077"
"CUIABÁ";"NULO";"14659"
"CURVELÂNDIA";"BRANCO";"34"
"CURVELÂNDIA";"FERNANDO HADDAD";"985"
"CURVELÂNDIA";"JAIR BOLSONARO";"1755"
"CURVELÂNDIA";"NULO";"91"
"CÁCERES";"BRANCO";"614"
"CÁCERES";"FERNANDO HADDAD";"19254"
"CÁCERES";"JAIR BOLSONARO";"22961"
"CÁCERES";"NULO";"1075"
"DENISE";"BRANCO";"50"
"DENISE";"FERNANDO HADDAD";"1641"
"DENISE";"JAIR BOLSONARO";"2144"
"DENISE";"NULO";"180"
"DIAMANTINO";"BRANCO";"147"
"DIAMANTINO";"FERNANDO HADDAD";"3687"
"DIAMANTINO";"JAIR BOLSONARO";"6984"
"DIAMANTINO";"NULO";"263"
"DOM AQUINO";"BRANCO";"39"
"DOM AQUINO";"FERNANDO HADDAD";"1660"
"DOM AQUINO";"JAIR BOLSONARO";"2586"
"DOM AQUINO";"NULO";"182"
"FELIZ NATAL";"BRANCO";"38"
"FELIZ NATAL";"FERNANDO HADDAD";"1475"
"FELIZ NATAL";"JAIR BOLSONARO";"2536"
"FELIZ NATAL";"NULO";"109"
"FIGUEIRÓPOLIS D'OESTE";"BRANCO";"37"
"FIGUEIRÓPOLIS D'OESTE";"FERNANDO HADDAD";"441"
"FIGUEIRÓPOLIS D'OESTE";"JAIR BOLSONARO";"1581"
"FIGUEIRÓPOLIS D'OESTE";"NULO";"106"
"GAÚCHA DO NORTE";"BRANCO";"28"
"GAÚCHA DO NORTE";"FERNANDO HADDAD";"1094"
"GAÚCHA DO NORTE";"JAIR BOLSONARO";"2173"
"GAÚCHA DO NORTE";"NULO";"69"
"GENERAL CARNEIRO";"BRANCO";"16"
