"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABAETETUBA";"BRANCO";"1120"
"ABAETETUBA";"FERNANDO HADDAD";"61646"
"ABAETETUBA";"JAIR BOLSONARO";"19896"
"ABAETETUBA";"NULO";"4994"
"ABEL FIGUEIREDO";"BRANCO";"35"
"ABEL FIGUEIREDO";"FERNANDO HADDAD";"2491"
"ABEL FIGUEIREDO";"JAIR BOLSONARO";"1371"
"ABEL FIGUEIREDO";"NULO";"299"
"ACARÁ";"BRANCO";"393"
"ACARÁ";"FERNANDO HADDAD";"22544"
"ACARÁ";"JAIR BOLSONARO";"7548"
"ACARÁ";"NULO";"2579"
"AFUÁ";"BRANCO";"166"
"AFUÁ";"FERNANDO HADDAD";"11169"
"AFUÁ";"JAIR BOLSONARO";"5684"
"AFUÁ";"NULO";"951"
"ALENQUER";"BRANCO";"255"
"ALENQUER";"FERNANDO HADDAD";"14397"
"ALENQUER";"JAIR BOLSONARO";"12988"
"ALENQUER";"NULO";"1847"
"ALMEIRIM";"BRANCO";"145"
"ALMEIRIM";"FERNANDO HADDAD";"10213"
"ALMEIRIM";"JAIR BOLSONARO";"3882"
"ALMEIRIM";"NULO";"779"
"ALTAMIRA";"BRANCO";"861"
"ALTAMIRA";"FERNANDO HADDAD";"19466"
"ALTAMIRA";"JAIR BOLSONARO";"33549"
"ALTAMIRA";"NULO";"3914"
"ANAJÁS";"BRANCO";"71"
"ANAJÁS";"FERNANDO HADDAD";"6951"
"ANAJÁS";"JAIR BOLSONARO";"4300"
"ANAJÁS";"NULO";"924"
"ANANINDEUA";"BRANCO";"5188"
"ANANINDEUA";"FERNANDO HADDAD";"109713"
"ANANINDEUA";"JAIR BOLSONARO";"132590"
"ANANINDEUA";"NULO";"21935"
"ANAPU";"BRANCO";"165"
"ANAPU";"FERNANDO HADDAD";"5203"
"ANAPU";"JAIR BOLSONARO";"5979"
"ANAPU";"NULO";"730"
"AUGUSTO CORRÊA";"BRANCO";"257"
"AUGUSTO CORRÊA";"FERNANDO HADDAD";"17073"
"AUGUSTO CORRÊA";"JAIR BOLSONARO";"5673"
"AUGUSTO CORRÊA";"NULO";"2072"
"AURORA DO PARÁ";"BRANCO";"103"
"AURORA DO PARÁ";"FERNANDO HADDAD";"8146"
"AURORA DO PARÁ";"JAIR BOLSONARO";"3357"
"AURORA DO PARÁ";"NULO";"895"
"AVEIRO";"BRANCO";"55"
"AVEIRO";"FERNANDO HADDAD";"4000"
"AVEIRO";"JAIR BOLSONARO";"1926"
"AVEIRO";"NULO";"321"
"BAGRE";"BRANCO";"53"
"BAGRE";"FERNANDO HADDAD";"6342"
"BAGRE";"JAIR BOLSONARO";"1430"
"BAGRE";"NULO";"422"
"BAIÃO";"BRANCO";"226"
"BAIÃO";"FERNANDO HADDAD";"12183"
"BAIÃO";"JAIR BOLSONARO";"4044"
"BAIÃO";"NULO";"1043"
"BANNACH";"BRANCO";"19"
"BANNACH";"FERNANDO HADDAD";"744"
"BANNACH";"JAIR BOLSONARO";"1050"
"BANNACH";"NULO";"107"
"BARCARENA";"BRANCO";"988"
"BARCARENA";"FERNANDO HADDAD";"41225"
"BARCARENA";"JAIR BOLSONARO";"20998"
"BARCARENA";"NULO";"4714"
"BELTERRA";"BRANCO";"113"
"BELTERRA";"FERNANDO HADDAD";"5497"
"BELTERRA";"JAIR BOLSONARO";"4663"
