"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACAUÃ";"BRANCO";"46"
"ACAUÃ";"FERNANDO HADDAD";"4196"
"ACAUÃ";"JAIR BOLSONARO";"428"
"ACAUÃ";"NULO";"183"
"AGRICOLÂNDIA";"BRANCO";"47"
"AGRICOLÂNDIA";"FERNANDO HADDAD";"2963"
"AGRICOLÂNDIA";"JAIR BOLSONARO";"623"
"AGRICOLÂNDIA";"NULO";"166"
"ALAGOINHA DO PIAUÍ";"BRANCO";"57"
"ALAGOINHA DO PIAUÍ";"FERNANDO HADDAD";"3735"
"ALAGOINHA DO PIAUÍ";"JAIR BOLSONARO";"924"
"ALAGOINHA DO PIAUÍ";"NULO";"203"
"ALEGRETE DO PIAUÍ";"BRANCO";"17"
"ALEGRETE DO PIAUÍ";"FERNANDO HADDAD";"2687"
"ALEGRETE DO PIAUÍ";"JAIR BOLSONARO";"498"
"ALEGRETE DO PIAUÍ";"NULO";"99"
"ALTO LONGÁ";"BRANCO";"56"
"ALTO LONGÁ";"FERNANDO HADDAD";"7351"
"ALTO LONGÁ";"JAIR BOLSONARO";"1445"
"ALTO LONGÁ";"NULO";"395"
"ALTOS";"BRANCO";"251"
"ALTOS";"FERNANDO HADDAD";"20732"
"ALTOS";"JAIR BOLSONARO";"4338"
"ALTOS";"NULO";"1091"
"ALVORADA DO GURGUÉIA";"BRANCO";"26"
"ALVORADA DO GURGUÉIA";"FERNANDO HADDAD";"2572"
"ALVORADA DO GURGUÉIA";"JAIR BOLSONARO";"379"
"ALVORADA DO GURGUÉIA";"NULO";"100"
"AMARANTE";"BRANCO";"114"
"AMARANTE";"FERNANDO HADDAD";"9036"
"AMARANTE";"JAIR BOLSONARO";"1419"
"AMARANTE";"NULO";"397"
"ANGICAL DO PIAUÍ";"BRANCO";"42"
"ANGICAL DO PIAUÍ";"FERNANDO HADDAD";"3734"
"ANGICAL DO PIAUÍ";"JAIR BOLSONARO";"869"
"ANGICAL DO PIAUÍ";"NULO";"208"
"ANTÔNIO ALMEIDA";"BRANCO";"27"
"ANTÔNIO ALMEIDA";"FERNANDO HADDAD";"1389"
"ANTÔNIO ALMEIDA";"JAIR BOLSONARO";"586"
"ANTÔNIO ALMEIDA";"NULO";"69"
"ANÍSIO DE ABREU";"BRANCO";"42"
"ANÍSIO DE ABREU";"FERNANDO HADDAD";"4455"
"ANÍSIO DE ABREU";"JAIR BOLSONARO";"605"
"ANÍSIO DE ABREU";"NULO";"183"
"AROAZES";"BRANCO";"20"
"AROAZES";"FERNANDO HADDAD";"3330"
"AROAZES";"JAIR BOLSONARO";"436"
"AROAZES";"NULO";"158"
"AROEIRAS DO ITAIM";"BRANCO";"22"
"AROEIRAS DO ITAIM";"FERNANDO HADDAD";"2414"
