"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ANGRA DOS REIS";"BRANCO";"1942"
"ANGRA DOS REIS";"FERNANDO HADDAD";"21829"
"ANGRA DOS REIS";"JAIR BOLSONARO";"63148"
"ANGRA DOS REIS";"NULO";"7426"
"APERIBÉ";"BRANCO";"128"
"APERIBÉ";"FERNANDO HADDAD";"1794"
"APERIBÉ";"JAIR BOLSONARO";"4925"
"APERIBÉ";"NULO";"636"
"ARARUAMA";"BRANCO";"1552"
"ARARUAMA";"FERNANDO HADDAD";"13961"
"ARARUAMA";"JAIR BOLSONARO";"47767"
"ARARUAMA";"NULO";"6119"
"AREAL";"BRANCO";"203"
"AREAL";"FERNANDO HADDAD";"2090"
"AREAL";"JAIR BOLSONARO";"4434"
"AREAL";"NULO";"812"
"ARMAÇÃO DOS BÚZIOS";"BRANCO";"444"
"ARMAÇÃO DOS BÚZIOS";"FERNANDO HADDAD";"4869"
"ARMAÇÃO DOS BÚZIOS";"JAIR BOLSONARO";"13938"
"ARMAÇÃO DOS BÚZIOS";"NULO";"1356"
"ARRAIAL DO CABO";"BRANCO";"436"
"ARRAIAL DO CABO";"FERNANDO HADDAD";"4751"
"ARRAIAL DO CABO";"JAIR BOLSONARO";"14047"
"ARRAIAL DO CABO";"NULO";"1375"
"BARRA DO PIRAÍ";"BRANCO";"1350"
"BARRA DO PIRAÍ";"FERNANDO HADDAD";"16806"
"BARRA DO PIRAÍ";"JAIR BOLSONARO";"30218"
"BARRA DO PIRAÍ";"NULO";"5050"
"BARRA MANSA";"BRANCO";"2544"
"BARRA MANSA";"FERNANDO HADDAD";"31110"
"BARRA MANSA";"JAIR BOLSONARO";"62358"
"BARRA MANSA";"NULO";"10251"
"BELFORD ROXO";"BRANCO";"5868"
"BELFORD ROXO";"FERNANDO HADDAD";"69174"
"BELFORD ROXO";"JAIR BOLSONARO";"153078"
"BELFORD ROXO";"NULO";"23903"
"BOM JARDIM";"BRANCO";"492"
"BOM JARDIM";"FERNANDO HADDAD";"4304"
"BOM JARDIM";"JAIR BOLSONARO";"9457"
"BOM JARDIM";"NULO";"2305"
"BOM JESUS DO ITABAPOANA";"BRANCO";"379"
"BOM JESUS DO ITABAPOANA";"FERNANDO HADDAD";"6634"
"BOM JESUS DO ITABAPOANA";"JAIR BOLSONARO";"12540"
"BOM JESUS DO ITABAPOANA";"NULO";"1693"
"CABO FRIO";"BRANCO";"2471"
"CABO FRIO";"FERNANDO HADDAD";"23520"
"CABO FRIO";"JAIR BOLSONARO";"74772"
"CABO FRIO";"NULO";"8797"
"CACHOEIRAS DE MACACU";"BRANCO";"861"
"CACHOEIRAS DE MACACU";"FERNANDO HADDAD";"9565"
"CACHOEIRAS DE MACACU";"JAIR BOLSONARO";"20042"
"CACHOEIRAS DE MACACU";"NULO";"3267"
"CAMBUCI";"BRANCO";"155"
"CAMBUCI";"FERNANDO HADDAD";"3299"
"CAMBUCI";"JAIR BOLSONARO";"4917"
"CAMBUCI";"NULO";"767"
"CAMPOS DOS GOYTACAZES";"BRANCO";"7577"
"CAMPOS DOS GOYTACAZES";"FERNANDO HADDAD";"79838"
"CAMPOS DOS GOYTACAZES";"JAIR BOLSONARO";"147437"
"CAMPOS DOS GOYTACAZES";"NULO";"32881"
"CANTAGALO";"BRANCO";"295"
"CANTAGALO";"FERNANDO HADDAD";"3332"
"CANTAGALO";"JAIR BOLSONARO";"6886"
"CANTAGALO";"NULO";"1380"
"CARAPEBUS";"BRANCO";"211"
"CARAPEBUS";"FERNANDO HADDAD";"2635"
"CARAPEBUS";"JAIR BOLSONARO";"5059"
"CARAPEBUS";"NULO";"830"
"CARDOSO MOREIRA";"BRANCO";"183"
"CARDOSO MOREIRA";"FERNANDO HADDAD";"2511"
"CARDOSO MOREIRA";"JAIR BOLSONARO";"4894"
"CARDOSO MOREIRA";"NULO";"672"
"CARMO";"BRANCO";"205"
"CARMO";"FERNANDO HADDAD";"4536"
"CARMO";"JAIR BOLSONARO";"5185"
"CARMO";"NULO";"1021"
"CASIMIRO DE ABREU";"BRANCO";"421"
"CASIMIRO DE ABREU";"FERNANDO HADDAD";"5101"
"CASIMIRO DE ABREU";"JAIR BOLSONARO";"15731"
"CASIMIRO DE ABREU";"NULO";"1971"
"COMENDADOR LEVY GASPARIAN";"BRANCO";"161"
"COMENDADOR LEVY GASPARIAN";"FERNANDO HADDAD";"2692"
"COMENDADOR LEVY GASPARIAN";"JAIR BOLSONARO";"2609"
"COMENDADOR LEVY GASPARIAN";"NULO";"636"
"CONCEIÇÃO DE MACABU";"BRANCO";"343"
"CONCEIÇÃO DE MACABU";"FERNANDO HADDAD";"4246"
"CONCEIÇÃO DE MACABU";"JAIR BOLSONARO";"6552"
"CONCEIÇÃO DE MACABU";"NULO";"1500"
"CORDEIRO";"BRANCO";"278"
"CORDEIRO";"FERNANDO HADDAD";"3478"
"CORDEIRO";"JAIR BOLSONARO";"7339"
"CORDEIRO";"NULO";"1314"
"DUAS BARRAS";"BRANCO";"196"
"DUAS BARRAS";"FERNANDO HADDAD";"2528"
"DUAS BARRAS";"JAIR BOLSONARO";"3871"
"DUAS BARRAS";"NULO";"865"
"DUQUE DE CAXIAS";"BRANCO";"11319"
"DUQUE DE CAXIAS";"FERNANDO HADDAD";"136240"
"DUQUE DE CAXIAS";"JAIR BOLSONARO";"300227"
"DUQUE DE CAXIAS";"NULO";"47821"
"ENGENHEIRO PAULO DE FRONTIN";"BRANCO";"196"
"ENGENHEIRO PAULO DE FRONTIN";"FERNANDO HADDAD";"2713"
"ENGENHEIRO PAULO DE FRONTIN";"JAIR BOLSONARO";"4670"
"ENGENHEIRO PAULO DE FRONTIN";"NULO";"817"
"GUAPIMIRIM";"BRANCO";"699"
"GUAPIMIRIM";"FERNANDO HADDAD";"8525"
"GUAPIMIRIM";"JAIR BOLSONARO";"17709"
"GUAPIMIRIM";"NULO";"2451"
"IGUABA GRANDE";"BRANCO";"280"
"IGUABA GRANDE";"FERNANDO HADDAD";"3300"
"IGUABA GRANDE";"JAIR BOLSONARO";"12008"
"IGUABA GRANDE";"NULO";"1037"
"ITABORAÍ";"BRANCO";"3307"
"ITABORAÍ";"FERNANDO HADDAD";"38886"
"ITABORAÍ";"JAIR BOLSONARO";"75544"
