"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACARI";"BRANCO";"109"
"ACARI";"FERNANDO HADDAD";"4000"
"ACARI";"JAIR BOLSONARO";"2282"
"ACARI";"NULO";"641"
"AFONSO BEZERRA";"BRANCO";"93"
"AFONSO BEZERRA";"FERNANDO HADDAD";"4917"
"AFONSO BEZERRA";"JAIR BOLSONARO";"1363"
"AFONSO BEZERRA";"NULO";"373"
"ALEXANDRIA";"BRANCO";"80"
"ALEXANDRIA";"FERNANDO HADDAD";"6767"
"ALEXANDRIA";"JAIR BOLSONARO";"1145"
"ALEXANDRIA";"NULO";"383"
"ALMINO AFONSO";"BRANCO";"55"
"ALMINO AFONSO";"FERNANDO HADDAD";"2883"
"ALMINO AFONSO";"JAIR BOLSONARO";"587"
"ALMINO AFONSO";"NULO";"134"
"ALTO DO RODRIGUES";"BRANCO";"85"
"ALTO DO RODRIGUES";"FERNANDO HADDAD";"6587"
"ALTO DO RODRIGUES";"JAIR BOLSONARO";"1554"
"ALTO DO RODRIGUES";"NULO";"470"
"ANGICOS";"BRANCO";"112"
"ANGICOS";"FERNANDO HADDAD";"4434"
"ANGICOS";"JAIR BOLSONARO";"2328"
"ANGICOS";"NULO";"466"
"ANTÔNIO MARTINS";"BRANCO";"75"
"ANTÔNIO MARTINS";"FERNANDO HADDAD";"3569"
"ANTÔNIO MARTINS";"JAIR BOLSONARO";"598"
"ANTÔNIO MARTINS";"NULO";"187"
"APODI";"BRANCO";"376"
"APODI";"FERNANDO HADDAD";"16465"
"APODI";"JAIR BOLSONARO";"4994"
"APODI";"NULO";"1344"
"AREIA BRANCA";"BRANCO";"208"
"AREIA BRANCA";"FERNANDO HADDAD";"9365"
"AREIA BRANCA";"JAIR BOLSONARO";"5315"
"AREIA BRANCA";"NULO";"1314"
"ARÊS";"BRANCO";"141"
"ARÊS";"FERNANDO HADDAD";"5814"
"ARÊS";"JAIR BOLSONARO";"2369"
"ARÊS";"NULO";"680"
"ASSÚ";"BRANCO";"477"
"ASSÚ";"FERNANDO HADDAD";"24008"
"ASSÚ";"JAIR BOLSONARO";"7100"
"ASSÚ";"NULO";"1825"
"BARAÚNA";"BRANCO";"267"
"BARAÚNA";"FERNANDO HADDAD";"9527"
"BARAÚNA";"JAIR BOLSONARO";"4458"
"BARAÚNA";"NULO";"1114"
"BARCELONA";"BRANCO";"38"
"BARCELONA";"FERNANDO HADDAD";"2028"
"BARCELONA";"JAIR BOLSONARO";"1093"
"BARCELONA";"NULO";"207"
"BAÍA FORMOSA";"BRANCO";"101"
"BAÍA FORMOSA";"FERNANDO HADDAD";"3279"
"BAÍA FORMOSA";"JAIR BOLSONARO";"1554"
"BAÍA FORMOSA";"NULO";"375"
"BENTO FERNANDES";"BRANCO";"34"
"BENTO FERNANDES";"FERNANDO HADDAD";"2940"
"BENTO FERNANDES";"JAIR BOLSONARO";"553"
"BENTO FERNANDES";"NULO";"152"
"BOA SAÚDE";"BRANCO";"94"
"BOA SAÚDE";"FERNANDO HADDAD";"3532"
"BOA SAÚDE";"JAIR BOLSONARO";"1482"
"BOA SAÚDE";"NULO";"481"
"BODÓ";"BRANCO";"24"
"BODÓ";"FERNANDO HADDAD";"1842"
"BODÓ";"JAIR BOLSONARO";"365"
"BODÓ";"NULO";"156"
"BOM JESUS";"BRANCO";"65"
"BOM JESUS";"FERNANDO HADDAD";"3855"
"BOM JESUS";"JAIR BOLSONARO";"1755"
"BOM JESUS";"NULO";"368"
"BREJINHO";"BRANCO";"136"
"BREJINHO";"FERNANDO HADDAD";"4675"
"BREJINHO";"JAIR BOLSONARO";"2391"
"BREJINHO";"NULO";"612"
"CAICÓ";"BRANCO";"569"
"CAICÓ";"FERNANDO HADDAD";"20999"
"CAICÓ";"JAIR BOLSONARO";"11374"
"CAICÓ";"NULO";"2346"
"CAIÇARA DO NORTE";"BRANCO";"50"
"CAIÇARA DO NORTE";"FERNANDO HADDAD";"2343"
"CAIÇARA DO NORTE";"JAIR BOLSONARO";"1011"
"CAIÇARA DO NORTE";"NULO";"215"
"CAIÇARA DO RIO DO VENTO";"BRANCO";"31"
"CAIÇARA DO RIO DO VENTO";"FERNANDO HADDAD";"1890"
"CAIÇARA DO RIO DO VENTO";"JAIR BOLSONARO";"577"
"CAIÇARA DO RIO DO VENTO";"NULO";"162"
"CAMPO GRANDE";"BRANCO";"100"
"CAMPO GRANDE";"FERNANDO HADDAD";"4427"
"CAMPO GRANDE";"JAIR BOLSONARO";"1464"
"CAMPO GRANDE";"NULO";"328"
"CAMPO REDONDO";"BRANCO";"89"
"CAMPO REDONDO";"FERNANDO HADDAD";"4819"
"CAMPO REDONDO";"JAIR BOLSONARO";"810"
"CAMPO REDONDO";"NULO";"371"
"CANGUARETAMA";"BRANCO";"218"
"CANGUARETAMA";"FERNANDO HADDAD";"13388"
"CANGUARETAMA";"JAIR BOLSONARO";"3874"
"CANGUARETAMA";"NULO";"1080"
"CARAÚBAS";"BRANCO";"204"
"CARAÚBAS";"FERNANDO HADDAD";"10842"
"CARAÚBAS";"JAIR BOLSONARO";"2664"
"CARAÚBAS";"NULO";"684"
"CARNAUBAIS";"BRANCO";"78"
"CARNAUBAIS";"FERNANDO HADDAD";"5059"
"CARNAUBAIS";"JAIR BOLSONARO";"1298"
"CARNAUBAIS";"NULO";"416"
"CARNAÚBA DOS DANTAS";"BRANCO";"119"
"CARNAÚBA DOS DANTAS";"FERNANDO HADDAD";"2061"
"CARNAÚBA DOS DANTAS";"JAIR BOLSONARO";"2071"
"CARNAÚBA DOS DANTAS";"NULO";"670"
"CEARÁ-MIRIM";"BRANCO";"625"
"CEARÁ-MIRIM";"FERNANDO HADDAD";"29424"
"CEARÁ-MIRIM";"JAIR BOLSONARO";"9970"
"CEARÁ-MIRIM";"NULO";"2494"
"CERRO CORÁ";"BRANCO";"69"
"CERRO CORÁ";"FERNANDO HADDAD";"4835"
"CERRO CORÁ";"JAIR BOLSONARO";"1328"
"CERRO CORÁ";"NULO";"500"
"CORONEL EZEQUIEL";"BRANCO";"51"
"CORONEL EZEQUIEL";"FERNANDO HADDAD";"2602"
"CORONEL EZEQUIEL";"JAIR BOLSONARO";"598"
"CORONEL EZEQUIEL";"NULO";"263"
"CORONEL JOÃO PESSOA";"BRANCO";"24"
"CORONEL JOÃO PESSOA";"FERNANDO HADDAD";"2409"
"CORONEL JOÃO PESSOA";"JAIR BOLSONARO";"363"
"CORONEL JOÃO PESSOA";"NULO";"166"
"CRUZETA";"BRANCO";"90"
"CRUZETA";"FERNANDO HADDAD";"3462"
"CRUZETA";"JAIR BOLSONARO";"1286"
"CRUZETA";"NULO";"378"
"CURRAIS NOVOS";"BRANCO";"432"
"CURRAIS NOVOS";"FERNANDO HADDAD";"13427"
"CURRAIS NOVOS";"JAIR BOLSONARO";"8524"
"CURRAIS NOVOS";"NULO";"1789"
"DOUTOR SEVERIANO";"BRANCO";"39"
"DOUTOR SEVERIANO";"FERNANDO HADDAD";"3665"
"DOUTOR SEVERIANO";"JAIR BOLSONARO";"491"
"DOUTOR SEVERIANO";"NULO";"212"
"ENCANTO";"BRANCO";"33"
"ENCANTO";"FERNANDO HADDAD";"2999"
"ENCANTO";"JAIR BOLSONARO";"410"
"ENCANTO";"NULO";"144"
"EQUADOR";"BRANCO";"70"
"EQUADOR";"FERNANDO HADDAD";"2189"
"EQUADOR";"JAIR BOLSONARO";"1030"
"EQUADOR";"NULO";"294"
