"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ALTO ALEGRE";"BRANCO";"68"
"ALTO ALEGRE";"FERNANDO HADDAD";"2877"
"ALTO ALEGRE";"JAIR BOLSONARO";"4354"
"ALTO ALEGRE";"NULO";"341"
"AMAJARI";"BRANCO";"39"
"AMAJARI";"FERNANDO HADDAD";"1844"
"AMAJARI";"JAIR BOLSONARO";"2648"
"AMAJARI";"NULO";"154"
"BOA VISTA";"BRANCO";"2865"
"BOA VISTA";"FERNANDO HADDAD";"36021"
"BOA VISTA";"JAIR BOLSONARO";"132361"
"BOA VISTA";"NULO";"6849"
"BONFIM";"BRANCO";"59"
"BONFIM";"FERNANDO HADDAD";"2797"
"BONFIM";"JAIR BOLSONARO";"3778"
"BONFIM";"NULO";"272"
"CANTÁ";"BRANCO";"109"
"CANTÁ";"FERNANDO HADDAD";"3556"
"CANTÁ";"JAIR BOLSONARO";"4991"
"CANTÁ";"NULO";"381"
"CARACARAÍ";"BRANCO";"88"
"CARACARAÍ";"FERNANDO HADDAD";"3248"
"CARACARAÍ";"JAIR BOLSONARO";"5631"
"CARACARAÍ";"NULO";"401"
"CAROEBE";"BRANCO";"57"
"CAROEBE";"FERNANDO HADDAD";"1296"
"CAROEBE";"JAIR BOLSONARO";"3120"
"CAROEBE";"NULO";"224"
"IRACEMA";"BRANCO";"24"
"IRACEMA";"FERNANDO HADDAD";"1450"
"IRACEMA";"JAIR BOLSONARO";"2234"
"IRACEMA";"NULO";"219"
"MUCAJAÍ";"BRANCO";"83"
"MUCAJAÍ";"FERNANDO HADDAD";"2641"
"MUCAJAÍ";"JAIR BOLSONARO";"5715"
"MUCAJAÍ";"NULO";"455"
"NORMANDIA";"BRANCO";"35"
"NORMANDIA";"FERNANDO HADDAD";"3594"
"NORMANDIA";"JAIR BOLSONARO";"1833"
"NORMANDIA";"NULO";"179"
"PACARAIMA";"BRANCO";"44"
"PACARAIMA";"FERNANDO HADDAD";"3028"
"PACARAIMA";"JAIR BOLSONARO";"2841"
"PACARAIMA";"NULO";"216"
"RORAINÓPOLIS";"BRANCO";"131"
"RORAINÓPOLIS";"FERNANDO HADDAD";"4455"
"RORAINÓPOLIS";"JAIR BOLSONARO";"8597"
"RORAINÓPOLIS";"NULO";"592"
"SÃO JOÃO DA BALIZA";"BRANCO";"45"
"SÃO JOÃO DA BALIZA";"FERNANDO HADDAD";"1217"
"SÃO JOÃO DA BALIZA";"JAIR BOLSONARO";"2048"
"SÃO JOÃO DA BALIZA";"NULO";"148"
"SÃO LUIZ";"BRANCO";"36"
"SÃO LUIZ";"FERNANDO HADDAD";"1205"
"SÃO LUIZ";"JAIR BOLSONARO";"2230"
"SÃO LUIZ";"NULO";"160"
"UIRAMUTÃ";"BRANCO";"17"
"UIRAMUTÃ";"FERNANDO HADDAD";"3643"
"UIRAMUTÃ";"JAIR BOLSONARO";"887"
"UIRAMUTÃ";"NULO";"220"
