"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"AMPARO DE SÃO FRANCISCO";"BRANCO";"23"
"AMPARO DE SÃO FRANCISCO";"FERNANDO HADDAD";"1282"
"AMPARO DE SÃO FRANCISCO";"JAIR BOLSONARO";"447"
"AMPARO DE SÃO FRANCISCO";"NULO";"142"
"AQUIDABÃ";"BRANCO";"151"
"AQUIDABÃ";"FERNANDO HADDAD";"8619"
"AQUIDABÃ";"JAIR BOLSONARO";"2193"
"AQUIDABÃ";"NULO";"1039"
"ARACAJU";"BRANCO";"6303"
"ARACAJU";"FERNANDO HADDAD";"155892"
"ARACAJU";"JAIR BOLSONARO";"139603"
"ARACAJU";"NULO";"30568"
"ARAUÁ";"BRANCO";"96"
"ARAUÁ";"FERNANDO HADDAD";"5115"
"ARAUÁ";"JAIR BOLSONARO";"1256"
"ARAUÁ";"NULO";"621"
"AREIA BRANCA";"BRANCO";"207"
"AREIA BRANCA";"FERNANDO HADDAD";"6638"
"AREIA BRANCA";"JAIR BOLSONARO";"2678"
"AREIA BRANCA";"NULO";"1196"
"BARRA DOS COQUEIROS";"BRANCO";"289"
"BARRA DOS COQUEIROS";"FERNANDO HADDAD";"8149"
"BARRA DOS COQUEIROS";"JAIR BOLSONARO";"5914"
"BARRA DOS COQUEIROS";"NULO";"1483"
"BOQUIM";"BRANCO";"260"
"BOQUIM";"FERNANDO HADDAD";"10488"
"BOQUIM";"JAIR BOLSONARO";"3847"
"BOQUIM";"NULO";"1520"
"BREJO GRANDE";"BRANCO";"67"
"BREJO GRANDE";"FERNANDO HADDAD";"3536"
"BREJO GRANDE";"JAIR BOLSONARO";"797"
"BREJO GRANDE";"NULO";"350"
"CAMPO DO BRITO";"BRANCO";"181"
"CAMPO DO BRITO";"FERNANDO HADDAD";"7539"
"CAMPO DO BRITO";"JAIR BOLSONARO";"2211"
"CAMPO DO BRITO";"NULO";"1083"
"CANHOBA";"BRANCO";"31"
"CANHOBA";"FERNANDO HADDAD";"2565"
"CANHOBA";"JAIR BOLSONARO";"500"
"CANHOBA";"NULO";"232"
"CANINDÉ DE SÃO FRANCISCO";"BRANCO";"176"
"CANINDÉ DE SÃO FRANCISCO";"FERNANDO HADDAD";"12679"
"CANINDÉ DE SÃO FRANCISCO";"JAIR BOLSONARO";"2788"
"CANINDÉ DE SÃO FRANCISCO";"NULO";"1363"
"CAPELA";"BRANCO";"413"
"CAPELA";"FERNANDO HADDAD";"11271"
"CAPELA";"JAIR BOLSONARO";"4454"
"CAPELA";"NULO";"2231"
"CARIRA";"BRANCO";"150"
"CARIRA";"FERNANDO HADDAD";"9381"
"CARIRA";"JAIR BOLSONARO";"2225"
"CARIRA";"NULO";"1152"
"CARMÓPOLIS";"BRANCO";"176"
"CARMÓPOLIS";"FERNANDO HADDAD";"5601"
"CARMÓPOLIS";"JAIR BOLSONARO";"3028"
"CARMÓPOLIS";"NULO";"1177"
"CEDRO DE SÃO JOÃO";"BRANCO";"39"
"CEDRO DE SÃO JOÃO";"FERNANDO HADDAD";"2530"
"CEDRO DE SÃO JOÃO";"JAIR BOLSONARO";"985"
"CEDRO DE SÃO JOÃO";"NULO";"279"
"CRISTINÁPOLIS";"BRANCO";"118"
"CRISTINÁPOLIS";"FERNANDO HADDAD";"7394"
"CRISTINÁPOLIS";"JAIR BOLSONARO";"1488"
"CRISTINÁPOLIS";"NULO";"657"
"CUMBE";"BRANCO";"47"
"CUMBE";"FERNANDO HADDAD";"1908"
"CUMBE";"JAIR BOLSONARO";"840"
"CUMBE";"NULO";"290"
"DIVINA PASTORA";"BRANCO";"35"
"DIVINA PASTORA";"FERNANDO HADDAD";"2125"
"DIVINA PASTORA";"JAIR BOLSONARO";"510"
"DIVINA PASTORA";"NULO";"214"
"ESTÂNCIA";"BRANCO";"637"
"ESTÂNCIA";"FERNANDO HADDAD";"24515"
"ESTÂNCIA";"JAIR BOLSONARO";"8590"
"ESTÂNCIA";"NULO";"3550"
"FEIRA NOVA";"BRANCO";"46"
"FEIRA NOVA";"FERNANDO HADDAD";"3222"
"FEIRA NOVA";"JAIR BOLSONARO";"792"
"FEIRA NOVA";"NULO";"320"
"FREI PAULO";"BRANCO";"148"
"FREI PAULO";"FERNANDO HADDAD";"5505"
"FREI PAULO";"JAIR BOLSONARO";"3475"
"FREI PAULO";"NULO";"796"
"GARARU";"BRANCO";"93"
"GARARU";"FERNANDO HADDAD";"5632"
"GARARU";"JAIR BOLSONARO";"839"
"GARARU";"NULO";"509"
"GENERAL MAYNARD";"BRANCO";"31"
"GENERAL MAYNARD";"FERNANDO HADDAD";"1402"
"GENERAL MAYNARD";"JAIR BOLSONARO";"490"
"GENERAL MAYNARD";"NULO";"203"
"GRACCHO CARDOSO";"BRANCO";"58"
"GRACCHO CARDOSO";"FERNANDO HADDAD";"3465"
"GRACCHO CARDOSO";"JAIR BOLSONARO";"683"
"GRACCHO CARDOSO";"NULO";"269"
"ILHA DAS FLORES";"BRANCO";"78"
"ILHA DAS FLORES";"FERNANDO HADDAD";"3539"
"ILHA DAS FLORES";"JAIR BOLSONARO";"990"
"ILHA DAS FLORES";"NULO";"434"
"INDIAROBA";"BRANCO";"101"
"INDIAROBA";"FERNANDO HADDAD";"6795"
"INDIAROBA";"JAIR BOLSONARO";"1240"
"INDIAROBA";"NULO";"792"
"ITABAIANA";"BRANCO";"939"
"ITABAIANA";"FERNANDO HADDAD";"31846"
"ITABAIANA";"JAIR BOLSONARO";"16608"
"ITABAIANA";"NULO";"5712"
"ITABAIANINHA";"BRANCO";"382"
"ITABAIANINHA";"FERNANDO HADDAD";"14754"
"ITABAIANINHA";"JAIR BOLSONARO";"6270"
"ITABAIANINHA";"NULO";"2057"
"ITABI";"BRANCO";"49"
"ITABI";"FERNANDO HADDAD";"2332"
"ITABI";"JAIR BOLSONARO";"800"
"ITABI";"NULO";"269"
"ITAPORANGA D'AJUDA";"BRANCO";"323"
"ITAPORANGA D'AJUDA";"FERNANDO HADDAD";"13186"
"ITAPORANGA D'AJUDA";"JAIR BOLSONARO";"4872"
"ITAPORANGA D'AJUDA";"NULO";"2211"
"JAPARATUBA";"BRANCO";"147"
"JAPARATUBA";"FERNANDO HADDAD";"7201"
"JAPARATUBA";"JAIR BOLSONARO";"2508"
"JAPARATUBA";"NULO";"926"
"JAPOATÃ";"BRANCO";"118"
"JAPOATÃ";"FERNANDO HADDAD";"6036"
"JAPOATÃ";"JAIR BOLSONARO";"1315"
"JAPOATÃ";"NULO";"634"
"LAGARTO";"BRANCO";"857"
"LAGARTO";"FERNANDO HADDAD";"38486"
"LAGARTO";"JAIR BOLSONARO";"13887"
"LAGARTO";"NULO";"6094"
"LARANJEIRAS";"BRANCO";"321"
"LARANJEIRAS";"FERNANDO HADDAD";"10434"
"LARANJEIRAS";"JAIR BOLSONARO";"4663"
"LARANJEIRAS";"NULO";"1876"
"MACAMBIRA";"BRANCO";"77"
"MACAMBIRA";"FERNANDO HADDAD";"3124"
"MACAMBIRA";"JAIR BOLSONARO";"1239"
