"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACRELÂNDIA";"ALVARO DIAS";"35"
"ACRELÂNDIA";"BRANCO";"51"
"ACRELÂNDIA";"CABO DACIOLO";"18"
"ACRELÂNDIA";"CIRO GOMES";"267"
"ACRELÂNDIA";"EYMAEL";"3"
"ACRELÂNDIA";"FERNANDO HADDAD";"791"
"ACRELÂNDIA";"GERALDO ALCKMIN";"548"
"ACRELÂNDIA";"GUILHERME BOULOS";"16"
"ACRELÂNDIA";"HENRIQUE MEIRELLES";"61"
"ACRELÂNDIA";"JAIR BOLSONARO";"5225"
"ACRELÂNDIA";"JOÃO AMOÊDO";"7"
"ACRELÂNDIA";"JOÃO GOULART FILHO";"1"
"ACRELÂNDIA";"MARINA SILVA";"33"
"ACRELÂNDIA";"NULO";"204"
"ASSIS BRASIL";"ALVARO DIAS";"5"
"ASSIS BRASIL";"BRANCO";"26"
"ASSIS BRASIL";"CABO DACIOLO";"29"
"ASSIS BRASIL";"CIRO GOMES";"98"
"ASSIS BRASIL";"EYMAEL";"4"
"ASSIS BRASIL";"FERNANDO HADDAD";"1266"
"ASSIS BRASIL";"GERALDO ALCKMIN";"345"
"ASSIS BRASIL";"GUILHERME BOULOS";"9"
"ASSIS BRASIL";"HENRIQUE MEIRELLES";"40"
"ASSIS BRASIL";"JAIR BOLSONARO";"2576"
"ASSIS BRASIL";"JOÃO AMOÊDO";"10"
"ASSIS BRASIL";"JOÃO GOULART FILHO";"2"
"ASSIS BRASIL";"MARINA SILVA";"20"
"ASSIS BRASIL";"NULO";"160"
"ASSIS BRASIL";"VERA";"2"
"BRASILÉIA";"ALVARO DIAS";"20"
"BRASILÉIA";"BRANCO";"122"
"BRASILÉIA";"CABO DACIOLO";"60"
"BRASILÉIA";"CIRO GOMES";"403"
"BRASILÉIA";"EYMAEL";"4"
"BRASILÉIA";"FERNANDO HADDAD";"2293"
"BRASILÉIA";"GERALDO ALCKMIN";"1000"
"BRASILÉIA";"GUILHERME BOULOS";"21"
"BRASILÉIA";"HENRIQUE MEIRELLES";"150"
"BRASILÉIA";"JAIR BOLSONARO";"8801"
"BRASILÉIA";"JOÃO AMOÊDO";"27"
"BRASILÉIA";"MARINA SILVA";"159"
"BRASILÉIA";"NULO";"372"
"BRASILÉIA";"VERA";"4"
"BUJARI";"ALVARO DIAS";"30"
"BUJARI";"BRANCO";"62"
"BUJARI";"CABO DACIOLO";"38"
"BUJARI";"CIRO GOMES";"301"
"BUJARI";"EYMAEL";"4"
"BUJARI";"FERNANDO HADDAD";"794"
"BUJARI";"GERALDO ALCKMIN";"617"
"BUJARI";"GUILHERME BOULOS";"24"
"BUJARI";"HENRIQUE MEIRELLES";"131"
"BUJARI";"JAIR BOLSONARO";"4609"
"BUJARI";"JOÃO AMOÊDO";"12"
"BUJARI";"JOÃO GOULART FILHO";"1"
"BUJARI";"MARINA SILVA";"131"
"BUJARI";"NULO";"238"
"BUJARI";"VERA";"1"
"CAPIXABA";"ALVARO DIAS";"18"
"CAPIXABA";"BRANCO";"30"
"CAPIXABA";"CABO DACIOLO";"22"
"CAPIXABA";"CIRO GOMES";"236"
"CAPIXABA";"EYMAEL";"6"
"CAPIXABA";"FERNANDO HADDAD";"694"
"CAPIXABA";"GERALDO ALCKMIN";"616"
"CAPIXABA";"GUILHERME BOULOS";"29"
"CAPIXABA";"HENRIQUE MEIRELLES";"104"
"CAPIXABA";"JAIR BOLSONARO";"3861"
"CAPIXABA";"JOÃO AMOÊDO";"2"
"CAPIXABA";"JOÃO GOULART FILHO";"2"
"CAPIXABA";"MARINA SILVA";"77"
"CAPIXABA";"NULO";"154"
"CRUZEIRO DO SUL";"ALVARO DIAS";"132"
"CRUZEIRO DO SUL";"BRANCO";"426"
"CRUZEIRO DO SUL";"CABO DACIOLO";"262"
"CRUZEIRO DO SUL";"CIRO GOMES";"2433"
"CRUZEIRO DO SUL";"EYMAEL";"7"
"CRUZEIRO DO SUL";"FERNANDO HADDAD";"4518"
"CRUZEIRO DO SUL";"GERALDO ALCKMIN";"4087"
"CRUZEIRO DO SUL";"GUILHERME BOULOS";"128"
"CRUZEIRO DO SUL";"HENRIQUE MEIRELLES";"1455"
"CRUZEIRO DO SUL";"JAIR BOLSONARO";"30120"
"CRUZEIRO DO SUL";"JOÃO AMOÊDO";"120"
"CRUZEIRO DO SUL";"JOÃO GOULART FILHO";"11"
"CRUZEIRO DO SUL";"MARINA SILVA";"601"
"CRUZEIRO DO SUL";"NULO";"1275"
"CRUZEIRO DO SUL";"VERA";"12"
"EPITACIOLÂNDIA";"ALVARO DIAS";"22"
"EPITACIOLÂNDIA";"BRANCO";"106"
"EPITACIOLÂNDIA";"CABO DACIOLO";"43"
"EPITACIOLÂNDIA";"CIRO GOMES";"319"
"EPITACIOLÂNDIA";"FERNANDO HADDAD";"1344"
"EPITACIOLÂNDIA";"GERALDO ALCKMIN";"600"
"EPITACIOLÂNDIA";"GUILHERME BOULOS";"25"
"EPITACIOLÂNDIA";"HENRIQUE MEIRELLES";"92"
"EPITACIOLÂNDIA";"JAIR BOLSONARO";"6299"
"EPITACIOLÂNDIA";"JOÃO AMOÊDO";"25"
"EPITACIOLÂNDIA";"JOÃO GOULART FILHO";"3"
"EPITACIOLÂNDIA";"MARINA SILVA";"111"
"EPITACIOLÂNDIA";"NULO";"258"
"EPITACIOLÂNDIA";"VERA";"2"
"FEIJÓ";"ALVARO DIAS";"20"
"FEIJÓ";"BRANCO";"104"
"FEIJÓ";"CABO DACIOLO";"43"
"FEIJÓ";"CIRO GOMES";"405"
"FEIJÓ";"EYMAEL";"10"
"FEIJÓ";"FERNANDO HADDAD";"4492"
"FEIJÓ";"GERALDO ALCKMIN";"1081"
"FEIJÓ";"GUILHERME BOULOS";"48"
"FEIJÓ";"HENRIQUE MEIRELLES";"75"
"FEIJÓ";"JAIR BOLSONARO";"7706"
"FEIJÓ";"JOÃO AMOÊDO";"12"
"FEIJÓ";"JOÃO GOULART FILHO";"4"
"FEIJÓ";"MARINA SILVA";"161"
"FEIJÓ";"NULO";"410"
"FEIJÓ";"VERA";"3"
"JORDÃO";"ALVARO DIAS";"15"
