"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ANADIA";"ALVARO DIAS";"20"
"ANADIA";"BRANCO";"150"
"ANADIA";"CABO DACIOLO";"54"
"ANADIA";"CIRO GOMES";"506"
"ANADIA";"EYMAEL";"4"
"ANADIA";"FERNANDO HADDAD";"3653"
"ANADIA";"GERALDO ALCKMIN";"181"
"ANADIA";"GUILHERME BOULOS";"23"
"ANADIA";"HENRIQUE MEIRELLES";"311"
"ANADIA";"JAIR BOLSONARO";"3432"
"ANADIA";"JOÃO AMOÊDO";"20"
"ANADIA";"JOÃO GOULART FILHO";"3"
"ANADIA";"MARINA SILVA";"27"
"ANADIA";"NULO";"445"
"ARAPIRACA";"ALVARO DIAS";"414"
"ARAPIRACA";"BRANCO";"2157"
"ARAPIRACA";"CABO DACIOLO";"835"
"ARAPIRACA";"CIRO GOMES";"17291"
"ARAPIRACA";"EYMAEL";"32"
"ARAPIRACA";"FERNANDO HADDAD";"25666"
"ARAPIRACA";"GERALDO ALCKMIN";"4659"
"ARAPIRACA";"GUILHERME BOULOS";"467"
"ARAPIRACA";"HENRIQUE MEIRELLES";"2858"
"ARAPIRACA";"JAIR BOLSONARO";"55006"
"ARAPIRACA";"JOÃO AMOÊDO";"964"
"ARAPIRACA";"JOÃO GOULART FILHO";"18"
"ARAPIRACA";"MARINA SILVA";"871"
"ARAPIRACA";"NULO";"4432"
"ARAPIRACA";"VERA";"41"
"ATALAIA";"ALVARO DIAS";"50"
"ATALAIA";"BRANCO";"519"
"ATALAIA";"CABO DACIOLO";"274"
"ATALAIA";"CIRO GOMES";"1502"
"ATALAIA";"EYMAEL";"2"
"ATALAIA";"FERNANDO HADDAD";"7703"
"ATALAIA";"GERALDO ALCKMIN";"1051"
"ATALAIA";"GUILHERME BOULOS";"159"
"ATALAIA";"HENRIQUE MEIRELLES";"745"
"ATALAIA";"JAIR BOLSONARO";"9629"
"ATALAIA";"JOÃO AMOÊDO";"59"
"ATALAIA";"JOÃO GOULART FILHO";"9"
"ATALAIA";"MARINA SILVA";"113"
"ATALAIA";"NULO";"944"
"ATALAIA";"VERA";"8"
"BARRA DE SANTO ANTÔNIO";"ALVARO DIAS";"21"
"BARRA DE SANTO ANTÔNIO";"BRANCO";"228"
"BARRA DE SANTO ANTÔNIO";"CABO DACIOLO";"121"
"BARRA DE SANTO ANTÔNIO";"CIRO GOMES";"429"
"BARRA DE SANTO ANTÔNIO";"EYMAEL";"1"
"BARRA DE SANTO ANTÔNIO";"FERNANDO HADDAD";"2825"
"BARRA DE SANTO ANTÔNIO";"GERALDO ALCKMIN";"312"
"BARRA DE SANTO ANTÔNIO";"GUILHERME BOULOS";"38"
"BARRA DE SANTO ANTÔNIO";"HENRIQUE MEIRELLES";"215"
"BARRA DE SANTO ANTÔNIO";"JAIR BOLSONARO";"4095"
"BARRA DE SANTO ANTÔNIO";"JOÃO AMOÊDO";"31"
"BARRA DE SANTO ANTÔNIO";"JOÃO GOULART FILHO";"3"
"BARRA DE SANTO ANTÔNIO";"MARINA SILVA";"57"
"BARRA DE SANTO ANTÔNIO";"NULO";"417"
"BARRA DE SANTO ANTÔNIO";"VERA";"2"
"BARRA DE SÃO MIGUEL";"ALVARO DIAS";"34"
"BARRA DE SÃO MIGUEL";"BRANCO";"87"
"BARRA DE SÃO MIGUEL";"CABO DACIOLO";"70"
"BARRA DE SÃO MIGUEL";"CIRO GOMES";"388"
"BARRA DE SÃO MIGUEL";"EYMAEL";"2"
"BARRA DE SÃO MIGUEL";"FERNANDO HADDAD";"1257"
"BARRA DE SÃO MIGUEL";"GERALDO ALCKMIN";"270"
"BARRA DE SÃO MIGUEL";"GUILHERME BOULOS";"37"
"BARRA DE SÃO MIGUEL";"HENRIQUE MEIRELLES";"117"
"BARRA DE SÃO MIGUEL";"JAIR BOLSONARO";"2778"
"BARRA DE SÃO MIGUEL";"JOÃO AMOÊDO";"25"
"BARRA DE SÃO MIGUEL";"JOÃO GOULART FILHO";"3"
"BARRA DE SÃO MIGUEL";"MARINA SILVA";"57"
"BARRA DE SÃO MIGUEL";"NULO";"225"
"BATALHA";"ALVARO DIAS";"29"
"BATALHA";"BRANCO";"89"
"BATALHA";"CABO DACIOLO";"29"
"BATALHA";"CIRO GOMES";"619"
"BATALHA";"EYMAEL";"5"
"BATALHA";"FERNANDO HADDAD";"3835"
"BATALHA";"GERALDO ALCKMIN";"189"
"BATALHA";"GUILHERME BOULOS";"26"
"BATALHA";"HENRIQUE MEIRELLES";"206"
"BATALHA";"JAIR BOLSONARO";"3771"
"BATALHA";"JOÃO AMOÊDO";"43"
"BATALHA";"MARINA SILVA";"21"
"BATALHA";"NULO";"365"
"BATALHA";"VERA";"5"
"BELO MONTE";"ALVARO DIAS";"5"
"BELO MONTE";"BRANCO";"33"
"BELO MONTE";"CABO DACIOLO";"32"
"BELO MONTE";"CIRO GOMES";"164"
"BELO MONTE";"EYMAEL";"1"
"BELO MONTE";"FERNANDO HADDAD";"1921"
"BELO MONTE";"GERALDO ALCKMIN";"73"
"BELO MONTE";"GUILHERME BOULOS";"13"
"BELO MONTE";"HENRIQUE MEIRELLES";"125"
"BELO MONTE";"JAIR BOLSONARO";"1329"
"BELO MONTE";"JOÃO AMOÊDO";"13"
"BELO MONTE";"MARINA SILVA";"24"
"BELO MONTE";"NULO";"97"
"BELO MONTE";"VERA";"1"
"BELÉM";"ALVARO DIAS";"4"
"BELÉM";"BRANCO";"82"
"BELÉM";"CABO DACIOLO";"25"
"BELÉM";"CIRO GOMES";"164"
"BELÉM";"EYMAEL";"2"
"BELÉM";"FERNANDO HADDAD";"1486"
"BELÉM";"GERALDO ALCKMIN";"110"
"BELÉM";"GUILHERME BOULOS";"15"
"BELÉM";"HENRIQUE MEIRELLES";"160"
"BELÉM";"JAIR BOLSONARO";"1412"
"BELÉM";"JOÃO AMOÊDO";"17"
"BELÉM";"MARINA SILVA";"33"
"BELÉM";"NULO";"160"
"BOCA DA MATA";"ALVARO DIAS";"61"
"BOCA DA MATA";"BRANCO";"316"
