"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ALVARÃES";"ALVARO DIAS";"19"
"ALVARÃES";"BRANCO";"25"
"ALVARÃES";"CABO DACIOLO";"7"
"ALVARÃES";"CIRO GOMES";"450"
"ALVARÃES";"FERNANDO HADDAD";"3519"
"ALVARÃES";"GERALDO ALCKMIN";"99"
"ALVARÃES";"GUILHERME BOULOS";"37"
"ALVARÃES";"HENRIQUE MEIRELLES";"34"
"ALVARÃES";"JAIR BOLSONARO";"2818"
"ALVARÃES";"JOÃO AMOÊDO";"24"
"ALVARÃES";"MARINA SILVA";"56"
"ALVARÃES";"NULO";"152"
"ALVARÃES";"VERA";"4"
"AMATURÁ";"ALVARO DIAS";"13"
"AMATURÁ";"BRANCO";"26"
"AMATURÁ";"CABO DACIOLO";"54"
"AMATURÁ";"CIRO GOMES";"243"
"AMATURÁ";"EYMAEL";"1"
"AMATURÁ";"FERNANDO HADDAD";"2205"
"AMATURÁ";"GERALDO ALCKMIN";"113"
"AMATURÁ";"GUILHERME BOULOS";"22"
"AMATURÁ";"HENRIQUE MEIRELLES";"40"
"AMATURÁ";"JAIR BOLSONARO";"1764"
"AMATURÁ";"JOÃO AMOÊDO";"10"
"AMATURÁ";"JOÃO GOULART FILHO";"1"
"AMATURÁ";"MARINA SILVA";"32"
"AMATURÁ";"NULO";"150"
"ANAMÃ";"ALVARO DIAS";"18"
"ANAMÃ";"BRANCO";"16"
"ANAMÃ";"CABO DACIOLO";"30"
"ANAMÃ";"CIRO GOMES";"306"
"ANAMÃ";"EYMAEL";"5"
"ANAMÃ";"FERNANDO HADDAD";"2372"
"ANAMÃ";"GERALDO ALCKMIN";"141"
"ANAMÃ";"GUILHERME BOULOS";"4"
"ANAMÃ";"HENRIQUE MEIRELLES";"53"
"ANAMÃ";"JAIR BOLSONARO";"2440"
"ANAMÃ";"JOÃO AMOÊDO";"12"
"ANAMÃ";"JOÃO GOULART FILHO";"1"
"ANAMÃ";"MARINA SILVA";"60"
"ANAMÃ";"NULO";"99"
"ANAMÃ";"VERA";"2"
"ANORI";"ALVARO DIAS";"36"
"ANORI";"BRANCO";"35"
"ANORI";"CABO DACIOLO";"44"
"ANORI";"CIRO GOMES";"329"
"ANORI";"EYMAEL";"2"
"ANORI";"FERNANDO HADDAD";"2769"
"ANORI";"GERALDO ALCKMIN";"106"
"ANORI";"GUILHERME BOULOS";"11"
"ANORI";"HENRIQUE MEIRELLES";"60"
"ANORI";"JAIR BOLSONARO";"3569"
"ANORI";"JOÃO AMOÊDO";"88"
"ANORI";"JOÃO GOULART FILHO";"2"
"ANORI";"MARINA SILVA";"51"
"ANORI";"NULO";"165"
"ANORI";"VERA";"1"
"APUÍ";"ALVARO DIAS";"42"
"APUÍ";"BRANCO";"73"
"APUÍ";"CABO DACIOLO";"34"
"APUÍ";"CIRO GOMES";"362"
"APUÍ";"EYMAEL";"7"
"APUÍ";"FERNANDO HADDAD";"1987"
"APUÍ";"GERALDO ALCKMIN";"149"
"APUÍ";"GUILHERME BOULOS";"18"
"APUÍ";"HENRIQUE MEIRELLES";"60"
"APUÍ";"JAIR BOLSONARO";"4034"
"APUÍ";"JOÃO AMOÊDO";"7"
"APUÍ";"MARINA SILVA";"30"
"APUÍ";"NULO";"173"
"APUÍ";"VERA";"3"
"ATALAIA DO NORTE";"ALVARO DIAS";"4"
"ATALAIA DO NORTE";"BRANCO";"13"
