"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABARÉ";"ALVARO DIAS";"27"
"ABARÉ";"BRANCO";"69"
"ABARÉ";"CABO DACIOLO";"97"
"ABARÉ";"CIRO GOMES";"627"
"ABARÉ";"EYMAEL";"1"
"ABARÉ";"FERNANDO HADDAD";"4826"
"ABARÉ";"GERALDO ALCKMIN";"132"
"ABARÉ";"GUILHERME BOULOS";"7"
"ABARÉ";"HENRIQUE MEIRELLES";"35"
"ABARÉ";"JAIR BOLSONARO";"3993"
"ABARÉ";"JOÃO AMOÊDO";"13"
"ABARÉ";"JOÃO GOULART FILHO";"2"
"ABARÉ";"MARINA SILVA";"36"
"ABARÉ";"NULO";"453"
"ABARÉ";"VERA";"1"
"ABAÍRA";"ALVARO DIAS";"7"
"ABAÍRA";"BRANCO";"80"
"ABAÍRA";"CABO DACIOLO";"10"
"ABAÍRA";"CIRO GOMES";"353"
"ABAÍRA";"EYMAEL";"2"
"ABAÍRA";"FERNANDO HADDAD";"1616"
"ABAÍRA";"GERALDO ALCKMIN";"411"
"ABAÍRA";"GUILHERME BOULOS";"16"
"ABAÍRA";"HENRIQUE MEIRELLES";"15"
"ABAÍRA";"JAIR BOLSONARO";"2069"
"ABAÍRA";"JOÃO AMOÊDO";"32"
"ABAÍRA";"JOÃO GOULART FILHO";"4"
"ABAÍRA";"MARINA SILVA";"14"
"ABAÍRA";"NULO";"455"
"ABAÍRA";"VERA";"1"
"ACAJUTIBA";"ALVARO DIAS";"25"
"ACAJUTIBA";"BRANCO";"114"
"ACAJUTIBA";"CABO DACIOLO";"121"
"ACAJUTIBA";"CIRO GOMES";"581"
"ACAJUTIBA";"FERNANDO HADDAD";"3562"
"ACAJUTIBA";"GERALDO ALCKMIN";"263"
"ACAJUTIBA";"GUILHERME BOULOS";"31"
"ACAJUTIBA";"HENRIQUE MEIRELLES";"47"
"ACAJUTIBA";"JAIR BOLSONARO";"2959"
"ACAJUTIBA";"JOÃO AMOÊDO";"22"
"ACAJUTIBA";"JOÃO GOULART FILHO";"4"
"ACAJUTIBA";"MARINA SILVA";"37"
