"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABAIARA";"ALVARO DIAS";"1"
"ABAIARA";"BRANCO";"99"
"ABAIARA";"CABO DACIOLO";"15"
"ABAIARA";"CIRO GOMES";"1178"
"ABAIARA";"FERNANDO HADDAD";"2302"
"ABAIARA";"GERALDO ALCKMIN";"29"
"ABAIARA";"GUILHERME BOULOS";"2"
"ABAIARA";"HENRIQUE MEIRELLES";"41"
"ABAIARA";"JAIR BOLSONARO";"1593"
"ABAIARA";"JOÃO AMOÊDO";"3"
"ABAIARA";"JOÃO GOULART FILHO";"1"
"ABAIARA";"MARINA SILVA";"6"
"ABAIARA";"NULO";"188"
"ABAIARA";"VERA";"1"
"ACARAPE";"ALVARO DIAS";"15"
"ACARAPE";"BRANCO";"190"
"ACARAPE";"CABO DACIOLO";"79"
"ACARAPE";"CIRO GOMES";"2327"
"ACARAPE";"FERNANDO HADDAD";"2570"
"ACARAPE";"GERALDO ALCKMIN";"169"
"ACARAPE";"GUILHERME BOULOS";"22"
"ACARAPE";"HENRIQUE MEIRELLES";"62"
"ACARAPE";"JAIR BOLSONARO";"3668"
"ACARAPE";"JOÃO AMOÊDO";"24"
"ACARAPE";"JOÃO GOULART FILHO";"6"
"ACARAPE";"MARINA SILVA";"47"
"ACARAPE";"NULO";"324"
"ACARAPE";"VERA";"2"
"ACARAÚ";"ALVARO DIAS";"33"
"ACARAÚ";"BRANCO";"509"
"ACARAÚ";"CABO DACIOLO";"290"
"ACARAÚ";"CIRO GOMES";"12521"
"ACARAÚ";"EYMAEL";"12"
"ACARAÚ";"FERNANDO HADDAD";"8343"
"ACARAÚ";"GERALDO ALCKMIN";"299"
"ACARAÚ";"GUILHERME BOULOS";"55"
"ACARAÚ";"HENRIQUE MEIRELLES";"210"
"ACARAÚ";"JAIR BOLSONARO";"8777"
"ACARAÚ";"JOÃO AMOÊDO";"81"
"ACARAÚ";"JOÃO GOULART FILHO";"5"
"ACARAÚ";"MARINA SILVA";"76"
"ACARAÚ";"NULO";"1035"
"ACARAÚ";"VERA";"4"
"ACOPIARA";"ALVARO DIAS";"24"
"ACOPIARA";"BRANCO";"536"
"ACOPIARA";"CABO DACIOLO";"81"
"ACOPIARA";"CIRO GOMES";"9816"
"ACOPIARA";"EYMAEL";"9"
"ACOPIARA";"FERNANDO HADDAD";"10011"
"ACOPIARA";"GERALDO ALCKMIN";"242"
"ACOPIARA";"GUILHERME BOULOS";"45"
"ACOPIARA";"HENRIQUE MEIRELLES";"208"
"ACOPIARA";"JAIR BOLSONARO";"7110"
"ACOPIARA";"JOÃO AMOÊDO";"33"
"ACOPIARA";"JOÃO GOULART FILHO";"1"
"ACOPIARA";"MARINA SILVA";"44"
"ACOPIARA";"NULO";"1018"
"ACOPIARA";"VERA";"4"
"AIUABA";"ALVARO DIAS";"3"
"AIUABA";"BRANCO";"66"
"AIUABA";"CABO DACIOLO";"17"
"AIUABA";"CIRO GOMES";"2886"
"AIUABA";"FERNANDO HADDAD";"2959"
"AIUABA";"GERALDO ALCKMIN";"36"
"AIUABA";"GUILHERME BOULOS";"12"
"AIUABA";"HENRIQUE MEIRELLES";"52"
"AIUABA";"JAIR BOLSONARO";"1825"
"AIUABA";"JOÃO AMOÊDO";"5"
"AIUABA";"MARINA SILVA";"9"
"AIUABA";"NULO";"309"
"AIUABA";"VERA";"1"
"ALCÂNTARAS";"ALVARO DIAS";"7"
"ALCÂNTARAS";"BRANCO";"123"
"ALCÂNTARAS";"CABO DACIOLO";"35"
"ALCÂNTARAS";"CIRO GOMES";"4340"
"ALCÂNTARAS";"EYMAEL";"1"
"ALCÂNTARAS";"FERNANDO HADDAD";"1168"
"ALCÂNTARAS";"GERALDO ALCKMIN";"27"
"ALCÂNTARAS";"GUILHERME BOULOS";"16"
"ALCÂNTARAS";"HENRIQUE MEIRELLES";"48"
"ALCÂNTARAS";"JAIR BOLSONARO";"1107"
"ALCÂNTARAS";"JOÃO AMOÊDO";"7"
"ALCÂNTARAS";"MARINA SILVA";"10"
"ALCÂNTARAS";"NULO";"184"
"ALTANEIRA";"ALVARO DIAS";"7"
"ALTANEIRA";"BRANCO";"39"
"ALTANEIRA";"CABO DACIOLO";"9"
"ALTANEIRA";"CIRO GOMES";"1468"
"ALTANEIRA";"FERNANDO HADDAD";"1809"
"ALTANEIRA";"GERALDO ALCKMIN";"25"
"ALTANEIRA";"GUILHERME BOULOS";"8"
"ALTANEIRA";"HENRIQUE MEIRELLES";"34"
"ALTANEIRA";"JAIR BOLSONARO";"1117"
"ALTANEIRA";"JOÃO AMOÊDO";"6"
"ALTANEIRA";"MARINA SILVA";"4"
"ALTANEIRA";"NULO";"137"
"ALTANEIRA";"VERA";"1"
"ALTO SANTO";"ALVARO DIAS";"8"
"ALTO SANTO";"BRANCO";"104"
"ALTO SANTO";"CABO DACIOLO";"75"
"ALTO SANTO";"CIRO GOMES";"4150"
"ALTO SANTO";"EYMAEL";"3"
"ALTO SANTO";"FERNANDO HADDAD";"2415"
"ALTO SANTO";"GERALDO ALCKMIN";"49"
"ALTO SANTO";"GUILHERME BOULOS";"7"
"ALTO SANTO";"HENRIQUE MEIRELLES";"42"
"ALTO SANTO";"JAIR BOLSONARO";"2071"
"ALTO SANTO";"JOÃO AMOÊDO";"15"
"ALTO SANTO";"MARINA SILVA";"4"
"ALTO SANTO";"NULO";"229"
"ALTO SANTO";"VERA";"1"
"AMONTADA";"ALVARO DIAS";"14"
"AMONTADA";"BRANCO";"272"
"AMONTADA";"CABO DACIOLO";"176"
"AMONTADA";"CIRO GOMES";"7224"
"AMONTADA";"EYMAEL";"1"
"AMONTADA";"FERNANDO HADDAD";"8688"
"AMONTADA";"GERALDO ALCKMIN";"204"
"AMONTADA";"GUILHERME BOULOS";"42"
"AMONTADA";"HENRIQUE MEIRELLES";"104"
"AMONTADA";"JAIR BOLSONARO";"7116"
"AMONTADA";"JOÃO AMOÊDO";"29"
"AMONTADA";"MARINA SILVA";"45"
"AMONTADA";"NULO";"692"
"AMONTADA";"VERA";"8"
"ANTONINA DO NORTE";"ALVARO DIAS";"2"
"ANTONINA DO NORTE";"BRANCO";"53"
"ANTONINA DO NORTE";"CABO DACIOLO";"18"
"ANTONINA DO NORTE";"CIRO GOMES";"1663"
"ANTONINA DO NORTE";"FERNANDO HADDAD";"1551"
