"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"BRASÍLIA";"ALVARO DIAS";"11138"
"BRASÍLIA";"BRANCO";"22397"
"BRASÍLIA";"CABO DACIOLO";"26925"
"BRASÍLIA";"CIRO GOMES";"266272"
"BRASÍLIA";"EYMAEL";"822"
"BRASÍLIA";"FERNANDO HADDAD";"133356"
"BRASÍLIA";"GERALDO ALCKMIN";"53640"
"BRASÍLIA";"GUILHERME BOULOS";"13177"
"BRASÍLIA";"HENRIQUE MEIRELLES";"26939"
"BRASÍLIA";"JAIR BOLSONARO";"1021008"
"BRASÍLIA";"JOÃO AMOÊDO";"44879"
"BRASÍLIA";"JOÃO GOULART FILHO";"700"
"BRASÍLIA";"MARINA SILVA";"32115"
"BRASÍLIA";"NULO";"41448"
"BRASÍLIA";"VERA";"908"
