"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"AFONSO CLÁUDIO";"ALVARO DIAS";"153"
"AFONSO CLÁUDIO";"BRANCO";"380"
"AFONSO CLÁUDIO";"CABO DACIOLO";"123"
"AFONSO CLÁUDIO";"CIRO GOMES";"1227"
"AFONSO CLÁUDIO";"EYMAEL";"2"
"AFONSO CLÁUDIO";"FERNANDO HADDAD";"3067"
"AFONSO CLÁUDIO";"GERALDO ALCKMIN";"1182"
"AFONSO CLÁUDIO";"GUILHERME BOULOS";"68"
"AFONSO CLÁUDIO";"HENRIQUE MEIRELLES";"210"
"AFONSO CLÁUDIO";"JAIR BOLSONARO";"10836"
"AFONSO CLÁUDIO";"JOÃO AMOÊDO";"226"
"AFONSO CLÁUDIO";"JOÃO GOULART FILHO";"1"
"AFONSO CLÁUDIO";"MARINA SILVA";"191"
"AFONSO CLÁUDIO";"NULO";"836"
"AFONSO CLÁUDIO";"VERA";"5"
"ALEGRE";"ALVARO DIAS";"80"
"ALEGRE";"BRANCO";"356"
"ALEGRE";"CABO DACIOLO";"174"
"ALEGRE";"CIRO GOMES";"2077"
"ALEGRE";"EYMAEL";"19"
"ALEGRE";"FERNANDO HADDAD";"2901"
"ALEGRE";"GERALDO ALCKMIN";"847"
"ALEGRE";"GUILHERME BOULOS";"40"
"ALEGRE";"HENRIQUE MEIRELLES";"128"
"ALEGRE";"JAIR BOLSONARO";"10271"
"ALEGRE";"JOÃO AMOÊDO";"250"
"ALEGRE";"JOÃO GOULART FILHO";"5"
"ALEGRE";"MARINA SILVA";"153"
"ALEGRE";"NULO";"668"
"ALEGRE";"VERA";"2"
"ALFREDO CHAVES";"ALVARO DIAS";"31"
"ALFREDO CHAVES";"BRANCO";"229"
"ALFREDO CHAVES";"CABO DACIOLO";"41"
"ALFREDO CHAVES";"CIRO GOMES";"737"
"ALFREDO CHAVES";"EYMAEL";"2"
"ALFREDO CHAVES";"FERNANDO HADDAD";"829"
"ALFREDO CHAVES";"GERALDO ALCKMIN";"516"
"ALFREDO CHAVES";"GUILHERME BOULOS";"26"
"ALFREDO CHAVES";"HENRIQUE MEIRELLES";"85"
"ALFREDO CHAVES";"JAIR BOLSONARO";"6429"
"ALFREDO CHAVES";"JOÃO AMOÊDO";"188"
"ALFREDO CHAVES";"JOÃO GOULART FILHO";"2"
"ALFREDO CHAVES";"MARINA SILVA";"52"
"ALFREDO CHAVES";"NULO";"427"
"ALFREDO CHAVES";"VERA";"4"
"ALTO RIO NOVO";"ALVARO DIAS";"18"
"ALTO RIO NOVO";"BRANCO";"68"
"ALTO RIO NOVO";"CABO DACIOLO";"105"
"ALTO RIO NOVO";"CIRO GOMES";"206"
"ALTO RIO NOVO";"EYMAEL";"2"
"ALTO RIO NOVO";"FERNANDO HADDAD";"1413"
"ALTO RIO NOVO";"GERALDO ALCKMIN";"104"
"ALTO RIO NOVO";"GUILHERME BOULOS";"17"
"ALTO RIO NOVO";"HENRIQUE MEIRELLES";"38"
"ALTO RIO NOVO";"JAIR BOLSONARO";"2458"
"ALTO RIO NOVO";"JOÃO AMOÊDO";"75"
"ALTO RIO NOVO";"JOÃO GOULART FILHO";"1"
"ALTO RIO NOVO";"MARINA SILVA";"33"
"ALTO RIO NOVO";"NULO";"195"
"ANCHIETA";"ALVARO DIAS";"59"
"ANCHIETA";"BRANCO";"342"
"ANCHIETA";"CABO DACIOLO";"240"
"ANCHIETA";"CIRO GOMES";"1303"
"ANCHIETA";"EYMAEL";"1"
"ANCHIETA";"FERNANDO HADDAD";"2836"
