"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABADIA DE GOIÁS";"ALVARO DIAS";"28"
"ABADIA DE GOIÁS";"BRANCO";"82"
"ABADIA DE GOIÁS";"CABO DACIOLO";"76"
"ABADIA DE GOIÁS";"CIRO GOMES";"441"
"ABADIA DE GOIÁS";"EYMAEL";"4"
"ABADIA DE GOIÁS";"FERNANDO HADDAD";"872"
"ABADIA DE GOIÁS";"GERALDO ALCKMIN";"228"
"ABADIA DE GOIÁS";"GUILHERME BOULOS";"35"
"ABADIA DE GOIÁS";"HENRIQUE MEIRELLES";"182"
"ABADIA DE GOIÁS";"JAIR BOLSONARO";"4394"
"ABADIA DE GOIÁS";"JOÃO AMOÊDO";"61"
"ABADIA DE GOIÁS";"MARINA SILVA";"44"
"ABADIA DE GOIÁS";"NULO";"211"
"ABADIA DE GOIÁS";"VERA";"2"
"ABADIÂNIA";"ALVARO DIAS";"44"
"ABADIÂNIA";"BRANCO";"148"
"ABADIÂNIA";"CABO DACIOLO";"36"
"ABADIÂNIA";"CIRO GOMES";"360"
"ABADIÂNIA";"EYMAEL";"2"
"ABADIÂNIA";"FERNANDO HADDAD";"795"
"ABADIÂNIA";"GERALDO ALCKMIN";"464"
"ABADIÂNIA";"GUILHERME BOULOS";"28"
"ABADIÂNIA";"HENRIQUE MEIRELLES";"151"
"ABADIÂNIA";"JAIR BOLSONARO";"5133"
"ABADIÂNIA";"JOÃO AMOÊDO";"44"
"ABADIÂNIA";"JOÃO GOULART FILHO";"4"
"ABADIÂNIA";"MARINA SILVA";"43"
"ABADIÂNIA";"NULO";"315"
"ABADIÂNIA";"VERA";"4"
"ACREÚNA";"ALVARO DIAS";"44"
"ACREÚNA";"BRANCO";"169"
"ACREÚNA";"CABO DACIOLO";"53"
"ACREÚNA";"CIRO GOMES";"468"
"ACREÚNA";"EYMAEL";"1"
"ACREÚNA";"FERNANDO HADDAD";"2243"
"ACREÚNA";"GERALDO ALCKMIN";"459"
"ACREÚNA";"GUILHERME BOULOS";"13"
"ACREÚNA";"HENRIQUE MEIRELLES";"179"
"ACREÚNA";"JAIR BOLSONARO";"6742"
"ACREÚNA";"JOÃO AMOÊDO";"334"
