"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"AFONSO CUNHA";"ALVARO DIAS";"6"
"AFONSO CUNHA";"BRANCO";"21"
"AFONSO CUNHA";"CABO DACIOLO";"2"
"AFONSO CUNHA";"CIRO GOMES";"110"
"AFONSO CUNHA";"FERNANDO HADDAD";"2766"
"AFONSO CUNHA";"GERALDO ALCKMIN";"15"
"AFONSO CUNHA";"GUILHERME BOULOS";"9"
"AFONSO CUNHA";"HENRIQUE MEIRELLES";"108"
"AFONSO CUNHA";"JAIR BOLSONARO";"1638"
"AFONSO CUNHA";"JOÃO AMOÊDO";"2"
"AFONSO CUNHA";"JOÃO GOULART FILHO";"2"
"AFONSO CUNHA";"MARINA SILVA";"9"
"AFONSO CUNHA";"NULO";"118"
"AFONSO CUNHA";"VERA";"3"
"ALCÂNTARA";"ALVARO DIAS";"22"
"ALCÂNTARA";"BRANCO";"200"
"ALCÂNTARA";"CABO DACIOLO";"154"
"ALCÂNTARA";"CIRO GOMES";"429"
"ALCÂNTARA";"FERNANDO HADDAD";"6421"
"ALCÂNTARA";"GERALDO ALCKMIN";"151"
"ALCÂNTARA";"GUILHERME BOULOS";"46"
"ALCÂNTARA";"HENRIQUE MEIRELLES";"171"
"ALCÂNTARA";"JAIR BOLSONARO";"4592"
"ALCÂNTARA";"JOÃO AMOÊDO";"9"
"ALCÂNTARA";"JOÃO GOULART FILHO";"2"
"ALCÂNTARA";"MARINA SILVA";"80"
"ALCÂNTARA";"NULO";"360"
"ALCÂNTARA";"VERA";"16"
"ALDEIAS ALTAS";"ALVARO DIAS";"15"
"ALDEIAS ALTAS";"BRANCO";"113"
"ALDEIAS ALTAS";"CABO DACIOLO";"37"
"ALDEIAS ALTAS";"CIRO GOMES";"537"
"ALDEIAS ALTAS";"FERNANDO HADDAD";"5931"
"ALDEIAS ALTAS";"GERALDO ALCKMIN";"115"
"ALDEIAS ALTAS";"GUILHERME BOULOS";"31"
"ALDEIAS ALTAS";"HENRIQUE MEIRELLES";"143"
