"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABADIA DOS DOURADOS";"ALVARO DIAS";"15"
"ABADIA DOS DOURADOS";"BRANCO";"83"
"ABADIA DOS DOURADOS";"CABO DACIOLO";"4"
"ABADIA DOS DOURADOS";"CIRO GOMES";"476"
"ABADIA DOS DOURADOS";"FERNANDO HADDAD";"943"
"ABADIA DOS DOURADOS";"GERALDO ALCKMIN";"281"
"ABADIA DOS DOURADOS";"GUILHERME BOULOS";"6"
"ABADIA DOS DOURADOS";"HENRIQUE MEIRELLES";"42"
"ABADIA DOS DOURADOS";"JAIR BOLSONARO";"2282"
"ABADIA DOS DOURADOS";"JOÃO AMOÊDO";"211"
"ABADIA DOS DOURADOS";"JOÃO GOULART FILHO";"3"
"ABADIA DOS DOURADOS";"MARINA SILVA";"10"
"ABADIA DOS DOURADOS";"NULO";"259"
"ABADIA DOS DOURADOS";"VERA";"1"
"ABAETÉ";"ALVARO DIAS";"64"
"ABAETÉ";"BRANCO";"316"
"ABAETÉ";"CABO DACIOLO";"57"
"ABAETÉ";"CIRO GOMES";"1052"
"ABAETÉ";"EYMAEL";"4"
"ABAETÉ";"FERNANDO HADDAD";"1881"
"ABAETÉ";"GERALDO ALCKMIN";"993"
"ABAETÉ";"GUILHERME BOULOS";"32"
"ABAETÉ";"HENRIQUE MEIRELLES";"119"
"ABAETÉ";"JAIR BOLSONARO";"7972"
"ABAETÉ";"JOÃO AMOÊDO";"677"
"ABAETÉ";"JOÃO GOULART FILHO";"2"
"ABAETÉ";"MARINA SILVA";"71"
"ABAETÉ";"NULO";"587"
"ABAETÉ";"VERA";"5"
"ABRE CAMPO";"ALVARO DIAS";"18"
"ABRE CAMPO";"BRANCO";"150"
"ABRE CAMPO";"CABO DACIOLO";"43"
"ABRE CAMPO";"CIRO GOMES";"650"
"ABRE CAMPO";"EYMAEL";"2"
"ABRE CAMPO";"FERNANDO HADDAD";"2442"
"ABRE CAMPO";"GERALDO ALCKMIN";"452"
"ABRE CAMPO";"GUILHERME BOULOS";"20"
"ABRE CAMPO";"HENRIQUE MEIRELLES";"66"
"ABRE CAMPO";"JAIR BOLSONARO";"3954"
"ABRE CAMPO";"JOÃO AMOÊDO";"221"
"ABRE CAMPO";"JOÃO GOULART FILHO";"1"
"ABRE CAMPO";"MARINA SILVA";"36"
"ABRE CAMPO";"NULO";"380"
"ABRE CAMPO";"VERA";"2"
"ACAIACA";"ALVARO DIAS";"3"
"ACAIACA";"BRANCO";"52"
"ACAIACA";"CABO DACIOLO";"15"
"ACAIACA";"CIRO GOMES";"212"
"ACAIACA";"EYMAEL";"2"
"ACAIACA";"FERNANDO HADDAD";"824"
"ACAIACA";"GERALDO ALCKMIN";"147"
"ACAIACA";"GUILHERME BOULOS";"3"
"ACAIACA";"HENRIQUE MEIRELLES";"14"
"ACAIACA";"JAIR BOLSONARO";"1096"
"ACAIACA";"JOÃO AMOÊDO";"22"
"ACAIACA";"MARINA SILVA";"6"
"ACAIACA";"NULO";"155"
"AGUANIL";"ALVARO DIAS";"6"
"AGUANIL";"BRANCO";"88"
"AGUANIL";"CABO DACIOLO";"10"
"AGUANIL";"CIRO GOMES";"208"
"AGUANIL";"EYMAEL";"3"
"AGUANIL";"FERNANDO HADDAD";"604"
"AGUANIL";"GERALDO ALCKMIN";"104"
"AGUANIL";"GUILHERME BOULOS";"5"
"AGUANIL";"HENRIQUE MEIRELLES";"25"
