"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ALCINÓPOLIS";"ALVARO DIAS";"37"
"ALCINÓPOLIS";"BRANCO";"20"
"ALCINÓPOLIS";"CABO DACIOLO";"11"
"ALCINÓPOLIS";"CIRO GOMES";"163"
"ALCINÓPOLIS";"FERNANDO HADDAD";"603"
"ALCINÓPOLIS";"GERALDO ALCKMIN";"276"
"ALCINÓPOLIS";"GUILHERME BOULOS";"4"
"ALCINÓPOLIS";"HENRIQUE MEIRELLES";"39"
"ALCINÓPOLIS";"JAIR BOLSONARO";"1314"
"ALCINÓPOLIS";"JOÃO AMOÊDO";"90"
"ALCINÓPOLIS";"MARINA SILVA";"8"
"ALCINÓPOLIS";"NULO";"49"
"AMAMBAI";"ALVARO DIAS";"155"
"AMAMBAI";"BRANCO";"204"
"AMAMBAI";"CABO DACIOLO";"73"
"AMAMBAI";"CIRO GOMES";"875"
"AMAMBAI";"EYMAEL";"2"
"AMAMBAI";"FERNANDO HADDAD";"4633"
"AMAMBAI";"GERALDO ALCKMIN";"1126"
"AMAMBAI";"GUILHERME BOULOS";"34"
"AMAMBAI";"HENRIQUE MEIRELLES";"107"
"AMAMBAI";"JAIR BOLSONARO";"11330"
"AMAMBAI";"JOÃO AMOÊDO";"127"
"AMAMBAI";"JOÃO GOULART FILHO";"2"
"AMAMBAI";"MARINA SILVA";"69"
"AMAMBAI";"NULO";"304"
"AMAMBAI";"VERA";"1"
"ANASTÁCIO";"ALVARO DIAS";"88"
"ANASTÁCIO";"BRANCO";"139"
"ANASTÁCIO";"CABO DACIOLO";"162"
"ANASTÁCIO";"CIRO GOMES";"927"
"ANASTÁCIO";"EYMAEL";"5"
"ANASTÁCIO";"FERNANDO HADDAD";"2855"
"ANASTÁCIO";"GERALDO ALCKMIN";"773"
"ANASTÁCIO";"GUILHERME BOULOS";"31"
"ANASTÁCIO";"HENRIQUE MEIRELLES";"102"
"ANASTÁCIO";"JAIR BOLSONARO";"7812"
"ANASTÁCIO";"JOÃO AMOÊDO";"53"
"ANASTÁCIO";"JOÃO GOULART FILHO";"5"
"ANASTÁCIO";"MARINA SILVA";"81"
"ANASTÁCIO";"NULO";"243"
"ANASTÁCIO";"VERA";"6"
"ANAURILÂNDIA";"ALVARO DIAS";"47"
"ANAURILÂNDIA";"BRANCO";"36"
"ANAURILÂNDIA";"CABO DACIOLO";"31"
"ANAURILÂNDIA";"CIRO GOMES";"324"
"ANAURILÂNDIA";"FERNANDO HADDAD";"1028"
"ANAURILÂNDIA";"GERALDO ALCKMIN";"478"
"ANAURILÂNDIA";"GUILHERME BOULOS";"11"
"ANAURILÂNDIA";"HENRIQUE MEIRELLES";"45"
"ANAURILÂNDIA";"JAIR BOLSONARO";"2249"
"ANAURILÂNDIA";"JOÃO AMOÊDO";"46"
"ANAURILÂNDIA";"MARINA SILVA";"18"
"ANAURILÂNDIA";"NULO";"111"
"ANGÉLICA";"ALVARO DIAS";"49"
"ANGÉLICA";"BRANCO";"73"
"ANGÉLICA";"CABO DACIOLO";"42"
"ANGÉLICA";"CIRO GOMES";"604"
"ANGÉLICA";"EYMAEL";"1"
"ANGÉLICA";"FERNANDO HADDAD";"1439"
"ANGÉLICA";"GERALDO ALCKMIN";"428"
"ANGÉLICA";"GUILHERME BOULOS";"16"
"ANGÉLICA";"HENRIQUE MEIRELLES";"45"
"ANGÉLICA";"JAIR BOLSONARO";"3276"
"ANGÉLICA";"JOÃO AMOÊDO";"77"
"ANGÉLICA";"JOÃO GOULART FILHO";"1"
"ANGÉLICA";"MARINA SILVA";"31"
"ANGÉLICA";"NULO";"199"
"ANTÔNIO JOÃO";"ALVARO DIAS";"29"
"ANTÔNIO JOÃO";"BRANCO";"33"
"ANTÔNIO JOÃO";"CABO DACIOLO";"21"
"ANTÔNIO JOÃO";"CIRO GOMES";"363"
"ANTÔNIO JOÃO";"EYMAEL";"1"
"ANTÔNIO JOÃO";"FERNANDO HADDAD";"1275"
"ANTÔNIO JOÃO";"GERALDO ALCKMIN";"366"
"ANTÔNIO JOÃO";"GUILHERME BOULOS";"12"
"ANTÔNIO JOÃO";"HENRIQUE MEIRELLES";"59"
"ANTÔNIO JOÃO";"JAIR BOLSONARO";"2903"
"ANTÔNIO JOÃO";"JOÃO AMOÊDO";"96"
"ANTÔNIO JOÃO";"JOÃO GOULART FILHO";"1"
"ANTÔNIO JOÃO";"MARINA SILVA";"22"
"ANTÔNIO JOÃO";"NULO";"83"
"ANTÔNIO JOÃO";"VERA";"1"
"APARECIDA DO TABOADO";"ALVARO DIAS";"84"
"APARECIDA DO TABOADO";"BRANCO";"256"
"APARECIDA DO TABOADO";"CABO DACIOLO";"57"
"APARECIDA DO TABOADO";"CIRO GOMES";"864"
"APARECIDA DO TABOADO";"EYMAEL";"1"
"APARECIDA DO TABOADO";"FERNANDO HADDAD";"1679"
"APARECIDA DO TABOADO";"GERALDO ALCKMIN";"931"
"APARECIDA DO TABOADO";"GUILHERME BOULOS";"16"
