"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACORIZAL";"ALVARO DIAS";"12"
"ACORIZAL";"BRANCO";"30"
"ACORIZAL";"CABO DACIOLO";"13"
"ACORIZAL";"CIRO GOMES";"160"
"ACORIZAL";"FERNANDO HADDAD";"1719"
"ACORIZAL";"GERALDO ALCKMIN";"123"
"ACORIZAL";"GUILHERME BOULOS";"15"
"ACORIZAL";"HENRIQUE MEIRELLES";"39"
"ACORIZAL";"JAIR BOLSONARO";"2680"
"ACORIZAL";"JOÃO AMOÊDO";"33"
"ACORIZAL";"MARINA SILVA";"18"
"ACORIZAL";"NULO";"130"
"ACORIZAL";"VERA";"1"
"ALTA FLORESTA";"ALVARO DIAS";"374"
"ALTA FLORESTA";"BRANCO";"406"
"ALTA FLORESTA";"CABO DACIOLO";"166"
"ALTA FLORESTA";"CIRO GOMES";"1494"
"ALTA FLORESTA";"EYMAEL";"7"
"ALTA FLORESTA";"FERNANDO HADDAD";"3809"
"ALTA FLORESTA";"GERALDO ALCKMIN";"1436"
"ALTA FLORESTA";"GUILHERME BOULOS";"107"
"ALTA FLORESTA";"HENRIQUE MEIRELLES";"242"
"ALTA FLORESTA";"JAIR BOLSONARO";"18397"
"ALTA FLORESTA";"JOÃO AMOÊDO";"328"
"ALTA FLORESTA";"JOÃO GOULART FILHO";"12"
"ALTA FLORESTA";"MARINA SILVA";"117"
"ALTA FLORESTA";"NULO";"1084"
"ALTA FLORESTA";"VERA";"6"
"ALTO ARAGUAIA";"ALVARO DIAS";"30"
"ALTO ARAGUAIA";"BRANCO";"122"
"ALTO ARAGUAIA";"CABO DACIOLO";"75"
"ALTO ARAGUAIA";"CIRO GOMES";"661"
"ALTO ARAGUAIA";"EYMAEL";"3"
"ALTO ARAGUAIA";"FERNANDO HADDAD";"1289"
"ALTO ARAGUAIA";"GERALDO ALCKMIN";"282"
"ALTO ARAGUAIA";"GUILHERME BOULOS";"32"
"ALTO ARAGUAIA";"HENRIQUE MEIRELLES";"57"
"ALTO ARAGUAIA";"JAIR BOLSONARO";"5327"
"ALTO ARAGUAIA";"JOÃO AMOÊDO";"205"
"ALTO ARAGUAIA";"JOÃO GOULART FILHO";"2"
"ALTO ARAGUAIA";"MARINA SILVA";"48"
"ALTO ARAGUAIA";"NULO";"431"
"ALTO ARAGUAIA";"VERA";"4"
"ALTO BOA VISTA";"ALVARO DIAS";"13"
"ALTO BOA VISTA";"BRANCO";"18"
"ALTO BOA VISTA";"CABO DACIOLO";"10"
"ALTO BOA VISTA";"CIRO GOMES";"62"
"ALTO BOA VISTA";"FERNANDO HADDAD";"325"
"ALTO BOA VISTA";"GERALDO ALCKMIN";"122"
"ALTO BOA VISTA";"GUILHERME BOULOS";"1"
"ALTO BOA VISTA";"HENRIQUE MEIRELLES";"22"
"ALTO BOA VISTA";"JAIR BOLSONARO";"1871"
"ALTO BOA VISTA";"JOÃO AMOÊDO";"6"
"ALTO BOA VISTA";"MARINA SILVA";"4"
"ALTO BOA VISTA";"NULO";"90"
"ALTO GARÇAS";"ALVARO DIAS";"24"
"ALTO GARÇAS";"BRANCO";"73"
"ALTO GARÇAS";"CABO DACIOLO";"11"
"ALTO GARÇAS";"CIRO GOMES";"224"
