"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABAETETUBA";"ALVARO DIAS";"104"
"ABAETETUBA";"BRANCO";"743"
"ABAETETUBA";"CABO DACIOLO";"655"
"ABAETETUBA";"CIRO GOMES";"7250"
"ABAETETUBA";"EYMAEL";"12"
"ABAETETUBA";"FERNANDO HADDAD";"38901"
"ABAETETUBA";"GERALDO ALCKMIN";"4425"
"ABAETETUBA";"GUILHERME BOULOS";"556"
"ABAETETUBA";"HENRIQUE MEIRELLES";"1673"
"ABAETETUBA";"JAIR BOLSONARO";"33942"
"ABAETETUBA";"JOÃO AMOÊDO";"174"
"ABAETETUBA";"JOÃO GOULART FILHO";"7"
"ABAETETUBA";"MARINA SILVA";"682"
"ABAETETUBA";"NULO";"1477"
"ABAETETUBA";"VERA";"28"
"ABEL FIGUEIREDO";"ALVARO DIAS";"16"
"ABEL FIGUEIREDO";"BRANCO";"25"
"ABEL FIGUEIREDO";"CABO DACIOLO";"17"
"ABEL FIGUEIREDO";"CIRO GOMES";"134"
"ABEL FIGUEIREDO";"EYMAEL";"1"
"ABEL FIGUEIREDO";"FERNANDO HADDAD";"1675"
"ABEL FIGUEIREDO";"GERALDO ALCKMIN";"182"
"ABEL FIGUEIREDO";"GUILHERME BOULOS";"15"
"ABEL FIGUEIREDO";"HENRIQUE MEIRELLES";"57"
"ABEL FIGUEIREDO";"JAIR BOLSONARO";"1981"
"ABEL FIGUEIREDO";"JOÃO AMOÊDO";"34"
"ABEL FIGUEIREDO";"JOÃO GOULART FILHO";"1"
"ABEL FIGUEIREDO";"MARINA SILVA";"10"
"ABEL FIGUEIREDO";"NULO";"137"
"ACARÁ";"ALVARO DIAS";"61"
"ACARÁ";"BRANCO";"205"
"ACARÁ";"CABO DACIOLO";"303"
"ACARÁ";"CIRO GOMES";"1535"
"ACARÁ";"EYMAEL";"5"
"ACARÁ";"FERNANDO HADDAD";"14462"
"ACARÁ";"GERALDO ALCKMIN";"3545"
"ACARÁ";"GUILHERME BOULOS";"184"
"ACARÁ";"HENRIQUE MEIRELLES";"942"
"ACARÁ";"JAIR BOLSONARO";"12096"
"ACARÁ";"JOÃO AMOÊDO";"45"
"ACARÁ";"JOÃO GOULART FILHO";"9"
"ACARÁ";"MARINA SILVA";"432"
"ACARÁ";"NULO";"752"
"ACARÁ";"VERA";"14"
"AFUÁ";"ALVARO DIAS";"8"
"AFUÁ";"BRANCO";"73"
"AFUÁ";"CABO DACIOLO";"50"
"AFUÁ";"CIRO GOMES";"717"
"AFUÁ";"EYMAEL";"1"
"AFUÁ";"FERNANDO HADDAD";"6382"
"AFUÁ";"GERALDO ALCKMIN";"4156"
"AFUÁ";"GUILHERME BOULOS";"31"
"AFUÁ";"HENRIQUE MEIRELLES";"311"
"AFUÁ";"JAIR BOLSONARO";"6515"
"AFUÁ";"JOÃO AMOÊDO";"38"
"AFUÁ";"JOÃO GOULART FILHO";"4"
"AFUÁ";"MARINA SILVA";"42"
"AFUÁ";"NULO";"454"
"AFUÁ";"VERA";"4"
"ALENQUER";"ALVARO DIAS";"97"
"ALENQUER";"BRANCO";"164"
"ALENQUER";"CABO DACIOLO";"86"
"ALENQUER";"CIRO GOMES";"1922"
"ALENQUER";"EYMAEL";"3"
"ALENQUER";"FERNANDO HADDAD";"8709"
"ALENQUER";"GERALDO ALCKMIN";"3170"
"ALENQUER";"GUILHERME BOULOS";"133"
"ALENQUER";"HENRIQUE MEIRELLES";"612"
"ALENQUER";"JAIR BOLSONARO";"14854"
"ALENQUER";"JOÃO AMOÊDO";"69"
"ALENQUER";"JOÃO GOULART FILHO";"5"
"ALENQUER";"MARINA SILVA";"189"
"ALENQUER";"NULO";"713"
"ALENQUER";"VERA";"14"
"ALMEIRIM";"ALVARO DIAS";"16"
"ALMEIRIM";"BRANCO";"120"
"ALMEIRIM";"CABO DACIOLO";"68"
"ALMEIRIM";"CIRO GOMES";"758"
"ALMEIRIM";"EYMAEL";"1"
"ALMEIRIM";"FERNANDO HADDAD";"7231"
"ALMEIRIM";"GERALDO ALCKMIN";"403"
"ALMEIRIM";"GUILHERME BOULOS";"72"
"ALMEIRIM";"HENRIQUE MEIRELLES";"314"
"ALMEIRIM";"JAIR BOLSONARO";"7040"
"ALMEIRIM";"JOÃO AMOÊDO";"35"
"ALMEIRIM";"JOÃO GOULART FILHO";"2"
