"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"AGUIAR";"ALVARO DIAS";"9"
"AGUIAR";"BRANCO";"32"
"AGUIAR";"CABO DACIOLO";"3"
"AGUIAR";"CIRO GOMES";"422"
"AGUIAR";"FERNANDO HADDAD";"1679"
"AGUIAR";"GERALDO ALCKMIN";"32"
"AGUIAR";"GUILHERME BOULOS";"4"
"AGUIAR";"HENRIQUE MEIRELLES";"20"
"AGUIAR";"JAIR BOLSONARO";"1209"
"AGUIAR";"JOÃO AMOÊDO";"6"
"AGUIAR";"MARINA SILVA";"8"
"AGUIAR";"NULO";"157"
"ALAGOA GRANDE";"ALVARO DIAS";"43"
"ALAGOA GRANDE";"BRANCO";"404"
"ALAGOA GRANDE";"CABO DACIOLO";"146"
"ALAGOA GRANDE";"CIRO GOMES";"2061"
"ALAGOA GRANDE";"EYMAEL";"7"
"ALAGOA GRANDE";"FERNANDO HADDAD";"5824"
"ALAGOA GRANDE";"GERALDO ALCKMIN";"279"
"ALAGOA GRANDE";"GUILHERME BOULOS";"45"
"ALAGOA GRANDE";"HENRIQUE MEIRELLES";"167"
"ALAGOA GRANDE";"JAIR BOLSONARO";"6648"
"ALAGOA GRANDE";"JOÃO AMOÊDO";"91"
"ALAGOA GRANDE";"JOÃO GOULART FILHO";"2"
"ALAGOA GRANDE";"MARINA SILVA";"34"
"ALAGOA GRANDE";"NULO";"1157"
"ALAGOA GRANDE";"VERA";"4"
"ALAGOA NOVA";"ALVARO DIAS";"25"
"ALAGOA NOVA";"BRANCO";"268"
"ALAGOA NOVA";"CABO DACIOLO";"106"
"ALAGOA NOVA";"CIRO GOMES";"2122"
"ALAGOA NOVA";"EYMAEL";"5"
"ALAGOA NOVA";"FERNANDO HADDAD";"3528"
"ALAGOA NOVA";"GERALDO ALCKMIN";"468"
"ALAGOA NOVA";"GUILHERME BOULOS";"33"
"ALAGOA NOVA";"HENRIQUE MEIRELLES";"78"
"ALAGOA NOVA";"JAIR BOLSONARO";"4216"
"ALAGOA NOVA";"JOÃO AMOÊDO";"45"
"ALAGOA NOVA";"JOÃO GOULART FILHO";"3"
"ALAGOA NOVA";"MARINA SILVA";"40"
"ALAGOA NOVA";"NULO";"1038"
"ALAGOA NOVA";"VERA";"5"
"ALAGOINHA";"ALVARO DIAS";"6"
"ALAGOINHA";"BRANCO";"200"
"ALAGOINHA";"CABO DACIOLO";"49"
"ALAGOINHA";"CIRO GOMES";"1047"
"ALAGOINHA";"EYMAEL";"1"
"ALAGOINHA";"FERNANDO HADDAD";"3688"
"ALAGOINHA";"GERALDO ALCKMIN";"160"
"ALAGOINHA";"GUILHERME BOULOS";"8"
"ALAGOINHA";"HENRIQUE MEIRELLES";"57"
"ALAGOINHA";"JAIR BOLSONARO";"3109"
"ALAGOINHA";"JOÃO AMOÊDO";"11"
"ALAGOINHA";"MARINA SILVA";"17"
"ALAGOINHA";"NULO";"496"
"ALCANTIL";"ALVARO DIAS";"9"
"ALCANTIL";"BRANCO";"82"
"ALCANTIL";"CABO DACIOLO";"18"
"ALCANTIL";"CIRO GOMES";"712"
"ALCANTIL";"FERNANDO HADDAD";"876"
"ALCANTIL";"GERALDO ALCKMIN";"151"
"ALCANTIL";"GUILHERME BOULOS";"9"
"ALCANTIL";"HENRIQUE MEIRELLES";"29"
"ALCANTIL";"JAIR BOLSONARO";"1510"
"ALCANTIL";"JOÃO AMOÊDO";"9"
"ALCANTIL";"MARINA SILVA";"18"
"ALCANTIL";"NULO";"285"
"ALCANTIL";"VERA";"1"
"ALGODÃO DE JANDAÍRA";"ALVARO DIAS";"9"
