"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABREU E LIMA";"ALVARO DIAS";"109"
"ABREU E LIMA";"BRANCO";"1433"
"ABREU E LIMA";"CABO DACIOLO";"1531"
"ABREU E LIMA";"CIRO GOMES";"6033"
"ABREU E LIMA";"EYMAEL";"16"
"ABREU E LIMA";"FERNANDO HADDAD";"17892"
"ABREU E LIMA";"GERALDO ALCKMIN";"827"
"ABREU E LIMA";"GUILHERME BOULOS";"291"
"ABREU E LIMA";"HENRIQUE MEIRELLES";"471"
"ABREU E LIMA";"JAIR BOLSONARO";"32801"
"ABREU E LIMA";"JOÃO AMOÊDO";"442"
"ABREU E LIMA";"JOÃO GOULART FILHO";"11"
"ABREU E LIMA";"MARINA SILVA";"751"
"ABREU E LIMA";"NULO";"4456"
"ABREU E LIMA";"VERA";"36"
"AFOGADOS DA INGAZEIRA";"ALVARO DIAS";"13"
"AFOGADOS DA INGAZEIRA";"BRANCO";"370"
"AFOGADOS DA INGAZEIRA";"CABO DACIOLO";"66"
"AFOGADOS DA INGAZEIRA";"CIRO GOMES";"1918"
"AFOGADOS DA INGAZEIRA";"EYMAEL";"4"
"AFOGADOS DA INGAZEIRA";"FERNANDO HADDAD";"8172"
"AFOGADOS DA INGAZEIRA";"GERALDO ALCKMIN";"205"
"AFOGADOS DA INGAZEIRA";"GUILHERME BOULOS";"43"
"AFOGADOS DA INGAZEIRA";"HENRIQUE MEIRELLES";"109"
"AFOGADOS DA INGAZEIRA";"JAIR BOLSONARO";"8173"
"AFOGADOS DA INGAZEIRA";"JOÃO AMOÊDO";"180"
"AFOGADOS DA INGAZEIRA";"JOÃO GOULART FILHO";"3"
"AFOGADOS DA INGAZEIRA";"MARINA SILVA";"62"
"AFOGADOS DA INGAZEIRA";"NULO";"1242"
"AFOGADOS DA INGAZEIRA";"VERA";"8"
"AFRÂNIO";"ALVARO DIAS";"35"
"AFRÂNIO";"BRANCO";"211"
"AFRÂNIO";"CABO DACIOLO";"116"
"AFRÂNIO";"CIRO GOMES";"1421"
"AFRÂNIO";"EYMAEL";"4"
"AFRÂNIO";"FERNANDO HADDAD";"5089"
"AFRÂNIO";"GERALDO ALCKMIN";"116"
"AFRÂNIO";"GUILHERME BOULOS";"17"
"AFRÂNIO";"HENRIQUE MEIRELLES";"60"
"AFRÂNIO";"JAIR BOLSONARO";"4584"
"AFRÂNIO";"JOÃO AMOÊDO";"61"
"AFRÂNIO";"JOÃO GOULART FILHO";"2"
"AFRÂNIO";"MARINA SILVA";"201"
"AFRÂNIO";"NULO";"956"
"AFRÂNIO";"VERA";"11"
"AGRESTINA";"ALVARO DIAS";"17"
"AGRESTINA";"BRANCO";"278"
"AGRESTINA";"CABO DACIOLO";"124"
"AGRESTINA";"CIRO GOMES";"2296"
"AGRESTINA";"EYMAEL";"2"
"AGRESTINA";"FERNANDO HADDAD";"5319"
"AGRESTINA";"GERALDO ALCKMIN";"181"
"AGRESTINA";"GUILHERME BOULOS";"43"
"AGRESTINA";"HENRIQUE MEIRELLES";"63"
"AGRESTINA";"JAIR BOLSONARO";"5235"
"AGRESTINA";"JOÃO AMOÊDO";"61"
"AGRESTINA";"MARINA SILVA";"69"
"AGRESTINA";"NULO";"1299"
"AGRESTINA";"VERA";"6"
"ALAGOINHA";"ALVARO DIAS";"8"
"ALAGOINHA";"BRANCO";"153"
"ALAGOINHA";"CABO DACIOLO";"58"
"ALAGOINHA";"CIRO GOMES";"1766"
"ALAGOINHA";"FERNANDO HADDAD";"3743"
"ALAGOINHA";"GERALDO ALCKMIN";"60"
"ALAGOINHA";"GUILHERME BOULOS";"28"
"ALAGOINHA";"HENRIQUE MEIRELLES";"62"
"ALAGOINHA";"JAIR BOLSONARO";"2704"
"ALAGOINHA";"JOÃO AMOÊDO";"20"
"ALAGOINHA";"JOÃO GOULART FILHO";"2"
"ALAGOINHA";"MARINA SILVA";"13"
"ALAGOINHA";"NULO";"605"
"ALAGOINHA";"VERA";"2"
"ALIANÇA";"ALVARO DIAS";"32"
"ALIANÇA";"BRANCO";"424"
"ALIANÇA";"CABO DACIOLO";"352"
"ALIANÇA";"CIRO GOMES";"1461"
"ALIANÇA";"EYMAEL";"1"
"ALIANÇA";"FERNANDO HADDAD";"7932"
"ALIANÇA";"GERALDO ALCKMIN";"312"
"ALIANÇA";"GUILHERME BOULOS";"20"
"ALIANÇA";"HENRIQUE MEIRELLES";"125"
"ALIANÇA";"JAIR BOLSONARO";"8661"
"ALIANÇA";"JOÃO AMOÊDO";"96"
"ALIANÇA";"JOÃO GOULART FILHO";"2"
"ALIANÇA";"MARINA SILVA";"87"
"ALIANÇA";"NULO";"1481"
"ALIANÇA";"VERA";"4"
"ALTINHO";"ALVARO DIAS";"23"
"ALTINHO";"BRANCO";"317"
"ALTINHO";"CABO DACIOLO";"70"
"ALTINHO";"CIRO GOMES";"1653"
"ALTINHO";"EYMAEL";"2"
"ALTINHO";"FERNANDO HADDAD";"4666"
"ALTINHO";"GERALDO ALCKMIN";"204"
"ALTINHO";"GUILHERME BOULOS";"33"
"ALTINHO";"HENRIQUE MEIRELLES";"67"
"ALTINHO";"JAIR BOLSONARO";"4794"
"ALTINHO";"JOÃO AMOÊDO";"73"
"ALTINHO";"JOÃO GOULART FILHO";"1"
"ALTINHO";"MARINA SILVA";"52"
"ALTINHO";"NULO";"1177"
"AMARAJI";"ALVARO DIAS";"16"
"AMARAJI";"BRANCO";"283"
"AMARAJI";"CABO DACIOLO";"442"
"AMARAJI";"CIRO GOMES";"1429"
"AMARAJI";"FERNANDO HADDAD";"4441"
"AMARAJI";"GERALDO ALCKMIN";"190"
"AMARAJI";"GUILHERME BOULOS";"18"
"AMARAJI";"HENRIQUE MEIRELLES";"51"
"AMARAJI";"JAIR BOLSONARO";"5074"
"AMARAJI";"JOÃO AMOÊDO";"50"
"AMARAJI";"JOÃO GOULART FILHO";"2"
"AMARAJI";"MARINA SILVA";"57"
"AMARAJI";"NULO";"905"
"AMARAJI";"VERA";"2"
"ANGELIM";"ALVARO DIAS";"10"
"ANGELIM";"BRANCO";"94"
"ANGELIM";"CABO DACIOLO";"44"
"ANGELIM";"CIRO GOMES";"656"
"ANGELIM";"EYMAEL";"1"
"ANGELIM";"FERNANDO HADDAD";"2657"
"ANGELIM";"GERALDO ALCKMIN";"205"
"ANGELIM";"GUILHERME BOULOS";"11"
"ANGELIM";"HENRIQUE MEIRELLES";"21"
"ANGELIM";"JAIR BOLSONARO";"2415"
"ANGELIM";"JOÃO AMOÊDO";"13"
"ANGELIM";"JOÃO GOULART FILHO";"1"
"ANGELIM";"MARINA SILVA";"34"
"ANGELIM";"NULO";"423"
"ARARIPINA";"ALVARO DIAS";"52"
"ARARIPINA";"BRANCO";"612"
"ARARIPINA";"CABO DACIOLO";"221"
"ARARIPINA";"CIRO GOMES";"6536"
"ARARIPINA";"EYMAEL";"3"
"ARARIPINA";"FERNANDO HADDAD";"17388"
"ARARIPINA";"GERALDO ALCKMIN";"385"
"ARARIPINA";"GUILHERME BOULOS";"65"
"ARARIPINA";"HENRIQUE MEIRELLES";"225"
"ARARIPINA";"JAIR BOLSONARO";"14724"
"ARARIPINA";"JOÃO AMOÊDO";"223"
"ARARIPINA";"JOÃO GOULART FILHO";"5"
"ARARIPINA";"MARINA SILVA";"113"
"ARARIPINA";"NULO";"2848"
"ARARIPINA";"VERA";"15"
"ARAÇOIABA";"ALVARO DIAS";"25"
"ARAÇOIABA";"BRANCO";"237"
"ARAÇOIABA";"CABO DACIOLO";"362"
"ARAÇOIABA";"CIRO GOMES";"768"
"ARAÇOIABA";"EYMAEL";"3"
"ARAÇOIABA";"FERNANDO HADDAD";"4978"
"ARAÇOIABA";"GERALDO ALCKMIN";"146"
"ARAÇOIABA";"GUILHERME BOULOS";"27"
"ARAÇOIABA";"HENRIQUE MEIRELLES";"73"
"ARAÇOIABA";"JAIR BOLSONARO";"5247"
"ARAÇOIABA";"JOÃO AMOÊDO";"34"
"ARAÇOIABA";"JOÃO GOULART FILHO";"2"
"ARAÇOIABA";"MARINA SILVA";"90"
"ARAÇOIABA";"NULO";"813"
"ARAÇOIABA";"VERA";"3"
"ARCOVERDE";"ALVARO DIAS";"63"
"ARCOVERDE";"BRANCO";"581"
"ARCOVERDE";"CABO DACIOLO";"231"
"ARCOVERDE";"CIRO GOMES";"6341"
"ARCOVERDE";"EYMAEL";"3"
"ARCOVERDE";"FERNANDO HADDAD";"12365"
"ARCOVERDE";"GERALDO ALCKMIN";"387"
"ARCOVERDE";"GUILHERME BOULOS";"109"
"ARCOVERDE";"HENRIQUE MEIRELLES";"184"
"ARCOVERDE";"JAIR BOLSONARO";"14792"
"ARCOVERDE";"JOÃO AMOÊDO";"275"
"ARCOVERDE";"JOÃO GOULART FILHO";"4"
"ARCOVERDE";"MARINA SILVA";"131"
"ARCOVERDE";"NULO";"2233"
