"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACAUÃ";"ALVARO DIAS";"6"
"ACAUÃ";"BRANCO";"57"
"ACAUÃ";"CABO DACIOLO";"22"
"ACAUÃ";"CIRO GOMES";"498"
"ACAUÃ";"EYMAEL";"2"
"ACAUÃ";"FERNANDO HADDAD";"2654"
"ACAUÃ";"GERALDO ALCKMIN";"32"
"ACAUÃ";"GUILHERME BOULOS";"13"
"ACAUÃ";"HENRIQUE MEIRELLES";"25"
"ACAUÃ";"JAIR BOLSONARO";"1523"
"ACAUÃ";"JOÃO AMOÊDO";"10"
"ACAUÃ";"JOÃO GOULART FILHO";"1"
"ACAUÃ";"MARINA SILVA";"10"
"ACAUÃ";"NULO";"191"
"ACAUÃ";"VERA";"1"
"AGRICOLÂNDIA";"ALVARO DIAS";"11"
"AGRICOLÂNDIA";"BRANCO";"55"
"AGRICOLÂNDIA";"CABO DACIOLO";"7"
"AGRICOLÂNDIA";"CIRO GOMES";"275"
"AGRICOLÂNDIA";"FERNANDO HADDAD";"1956"
"AGRICOLÂNDIA";"GERALDO ALCKMIN";"65"
"AGRICOLÂNDIA";"GUILHERME BOULOS";"5"
"AGRICOLÂNDIA";"HENRIQUE MEIRELLES";"29"
"AGRICOLÂNDIA";"JAIR BOLSONARO";"1444"
"AGRICOLÂNDIA";"JOÃO AMOÊDO";"17"
"AGRICOLÂNDIA";"MARINA SILVA";"24"
"AGRICOLÂNDIA";"NULO";"184"
"AGRICOLÂNDIA";"VERA";"1"
"ALAGOINHA DO PIAUÍ";"ALVARO DIAS";"5"
"ALAGOINHA DO PIAUÍ";"BRANCO";"59"
"ALAGOINHA DO PIAUÍ";"CABO DACIOLO";"15"
"ALAGOINHA DO PIAUÍ";"CIRO GOMES";"718"
"ALAGOINHA DO PIAUÍ";"FERNANDO HADDAD";"2163"
"ALAGOINHA DO PIAUÍ";"GERALDO ALCKMIN";"120"
"ALAGOINHA DO PIAUÍ";"GUILHERME BOULOS";"16"
"ALAGOINHA DO PIAUÍ";"HENRIQUE MEIRELLES";"39"
"ALAGOINHA DO PIAUÍ";"JAIR BOLSONARO";"1615"
"ALAGOINHA DO PIAUÍ";"JOÃO AMOÊDO";"8"
"ALAGOINHA DO PIAUÍ";"JOÃO GOULART FILHO";"1"
"ALAGOINHA DO PIAUÍ";"MARINA SILVA";"12"
"ALAGOINHA DO PIAUÍ";"NULO";"234"
"ALAGOINHA DO PIAUÍ";"VERA";"4"
"ALEGRETE DO PIAUÍ";"ALVARO DIAS";"3"
"ALEGRETE DO PIAUÍ";"BRANCO";"15"
"ALEGRETE DO PIAUÍ";"CABO DACIOLO";"5"
"ALEGRETE DO PIAUÍ";"CIRO GOMES";"649"
"ALEGRETE DO PIAUÍ";"EYMAEL";"1"
"ALEGRETE DO PIAUÍ";"FERNANDO HADDAD";"1557"
"ALEGRETE DO PIAUÍ";"GERALDO ALCKMIN";"61"
"ALEGRETE DO PIAUÍ";"GUILHERME BOULOS";"2"
"ALEGRETE DO PIAUÍ";"HENRIQUE MEIRELLES";"29"
"ALEGRETE DO PIAUÍ";"JAIR BOLSONARO";"1075"
"ALEGRETE DO PIAUÍ";"JOÃO AMOÊDO";"10"
"ALEGRETE DO PIAUÍ";"JOÃO GOULART FILHO";"1"
"ALEGRETE DO PIAUÍ";"MARINA SILVA";"9"
"ALEGRETE DO PIAUÍ";"NULO";"90"
"ALEGRETE DO PIAUÍ";"VERA";"1"
"ALTO LONGÁ";"ALVARO DIAS";"17"
"ALTO LONGÁ";"BRANCO";"81"
"ALTO LONGÁ";"CABO DACIOLO";"22"
"ALTO LONGÁ";"CIRO GOMES";"858"
"ALTO LONGÁ";"EYMAEL";"2"
"ALTO LONGÁ";"FERNANDO HADDAD";"4652"
"ALTO LONGÁ";"GERALDO ALCKMIN";"225"
"ALTO LONGÁ";"GUILHERME BOULOS";"28"
"ALTO LONGÁ";"HENRIQUE MEIRELLES";"75"
"ALTO LONGÁ";"JAIR BOLSONARO";"3495"
"ALTO LONGÁ";"JOÃO AMOÊDO";"45"
"ALTO LONGÁ";"MARINA SILVA";"36"
"ALTO LONGÁ";"NULO";"431"
"ALTOS";"ALVARO DIAS";"72"
"ALTOS";"BRANCO";"350"
"ALTOS";"CABO DACIOLO";"120"
"ALTOS";"CIRO GOMES";"1878"
"ALTOS";"EYMAEL";"6"
"ALTOS";"FERNANDO HADDAD";"12614"
"ALTOS";"GERALDO ALCKMIN";"418"
"ALTOS";"GUILHERME BOULOS";"62"
"ALTOS";"HENRIQUE MEIRELLES";"233"
"ALTOS";"JAIR BOLSONARO";"9583"
"ALTOS";"JOÃO AMOÊDO";"115"
"ALTOS";"JOÃO GOULART FILHO";"5"
"ALTOS";"MARINA SILVA";"159"
"ALTOS";"NULO";"1065"
"ALTOS";"VERA";"8"
"ALVORADA DO GURGUÉIA";"ALVARO DIAS";"3"
"ALVORADA DO GURGUÉIA";"BRANCO";"29"
"ALVORADA DO GURGUÉIA";"CABO DACIOLO";"56"
"ALVORADA DO GURGUÉIA";"CIRO GOMES";"130"
"ALVORADA DO GURGUÉIA";"FERNANDO HADDAD";"1613"
"ALVORADA DO GURGUÉIA";"GERALDO ALCKMIN";"29"
"ALVORADA DO GURGUÉIA";"GUILHERME BOULOS";"7"
"ALVORADA DO GURGUÉIA";"HENRIQUE MEIRELLES";"20"
"ALVORADA DO GURGUÉIA";"JAIR BOLSONARO";"1102"
"ALVORADA DO GURGUÉIA";"JOÃO AMOÊDO";"4"
"ALVORADA DO GURGUÉIA";"MARINA SILVA";"13"
"ALVORADA DO GURGUÉIA";"NULO";"135"
"AMARANTE";"ALVARO DIAS";"12"
"AMARANTE";"BRANCO";"117"
"AMARANTE";"CABO DACIOLO";"50"
"AMARANTE";"CIRO GOMES";"633"
"AMARANTE";"EYMAEL";"7"
"AMARANTE";"FERNANDO HADDAD";"5902"
"AMARANTE";"GERALDO ALCKMIN";"146"
"AMARANTE";"GUILHERME BOULOS";"33"
"AMARANTE";"HENRIQUE MEIRELLES";"92"
"AMARANTE";"JAIR BOLSONARO";"4059"
"AMARANTE";"JOÃO AMOÊDO";"99"
"AMARANTE";"MARINA SILVA";"56"
"AMARANTE";"NULO";"465"
"AMARANTE";"VERA";"4"
"ANGICAL DO PIAUÍ";"ALVARO DIAS";"10"
"ANGICAL DO PIAUÍ";"BRANCO";"53"
"ANGICAL DO PIAUÍ";"CABO DACIOLO";"36"
"ANGICAL DO PIAUÍ";"CIRO GOMES";"413"
"ANGICAL DO PIAUÍ";"EYMAEL";"1"
"ANGICAL DO PIAUÍ";"FERNANDO HADDAD";"2358"
"ANGICAL DO PIAUÍ";"GERALDO ALCKMIN";"74"
"ANGICAL DO PIAUÍ";"GUILHERME BOULOS";"16"
"ANGICAL DO PIAUÍ";"HENRIQUE MEIRELLES";"32"
"ANGICAL DO PIAUÍ";"JAIR BOLSONARO";"1893"
"ANGICAL DO PIAUÍ";"JOÃO AMOÊDO";"46"
"ANGICAL DO PIAUÍ";"MARINA SILVA";"19"
"ANGICAL DO PIAUÍ";"NULO";"258"
"ANTÔNIO ALMEIDA";"ALVARO DIAS";"6"
"ANTÔNIO ALMEIDA";"BRANCO";"24"
"ANTÔNIO ALMEIDA";"CABO DACIOLO";"12"
"ANTÔNIO ALMEIDA";"CIRO GOMES";"138"
"ANTÔNIO ALMEIDA";"EYMAEL";"1"
"ANTÔNIO ALMEIDA";"FERNANDO HADDAD";"796"
"ANTÔNIO ALMEIDA";"GERALDO ALCKMIN";"60"
"ANTÔNIO ALMEIDA";"GUILHERME BOULOS";"6"
"ANTÔNIO ALMEIDA";"HENRIQUE MEIRELLES";"15"
"ANTÔNIO ALMEIDA";"JAIR BOLSONARO";"978"
"ANTÔNIO ALMEIDA";"JOÃO AMOÊDO";"18"
"ANTÔNIO ALMEIDA";"MARINA SILVA";"16"
"ANTÔNIO ALMEIDA";"NULO";"104"
"ANÍSIO DE ABREU";"ALVARO DIAS";"9"
"ANÍSIO DE ABREU";"BRANCO";"33"
"ANÍSIO DE ABREU";"CABO DACIOLO";"16"
"ANÍSIO DE ABREU";"CIRO GOMES";"459"
"ANÍSIO DE ABREU";"EYMAEL";"1"
"ANÍSIO DE ABREU";"FERNANDO HADDAD";"2787"
"ANÍSIO DE ABREU";"GERALDO ALCKMIN";"86"
"ANÍSIO DE ABREU";"GUILHERME BOULOS";"5"
"ANÍSIO DE ABREU";"HENRIQUE MEIRELLES";"47"
"ANÍSIO DE ABREU";"JAIR BOLSONARO";"1715"
"ANÍSIO DE ABREU";"JOÃO AMOÊDO";"14"
"ANÍSIO DE ABREU";"JOÃO GOULART FILHO";"1"
"ANÍSIO DE ABREU";"MARINA SILVA";"3"
"ANÍSIO DE ABREU";"NULO";"164"
"ANÍSIO DE ABREU";"VERA";"2"
"AROAZES";"ALVARO DIAS";"6"
"AROAZES";"BRANCO";"27"
"AROAZES";"CABO DACIOLO";"2"
"AROAZES";"CIRO GOMES";"255"
"AROAZES";"EYMAEL";"1"
"AROAZES";"FERNANDO HADDAD";"2239"
"AROAZES";"GERALDO ALCKMIN";"27"
"AROAZES";"GUILHERME BOULOS";"6"
"AROAZES";"HENRIQUE MEIRELLES";"34"
"AROAZES";"JAIR BOLSONARO";"1506"
"AROAZES";"JOÃO AMOÊDO";"9"
"AROAZES";"JOÃO GOULART FILHO";"1"
