"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACARI";"ALVARO DIAS";"21"
"ACARI";"BRANCO";"89"
"ACARI";"CABO DACIOLO";"27"
"ACARI";"CIRO GOMES";"2356"
"ACARI";"EYMAEL";"2"
"ACARI";"FERNANDO HADDAD";"1342"
"ACARI";"GERALDO ALCKMIN";"146"
"ACARI";"GUILHERME BOULOS";"15"
"ACARI";"HENRIQUE MEIRELLES";"45"
"ACARI";"JAIR BOLSONARO";"2594"
"ACARI";"JOÃO AMOÊDO";"52"
"ACARI";"JOÃO GOULART FILHO";"2"
"ACARI";"MARINA SILVA";"46"
"ACARI";"NULO";"447"
"ACARI";"VERA";"3"
"AFONSO BEZERRA";"ALVARO DIAS";"26"
"AFONSO BEZERRA";"BRANCO";"97"
"AFONSO BEZERRA";"CABO DACIOLO";"47"
"AFONSO BEZERRA";"CIRO GOMES";"1405"
"AFONSO BEZERRA";"FERNANDO HADDAD";"2832"
"AFONSO BEZERRA";"GERALDO ALCKMIN";"144"
"AFONSO BEZERRA";"GUILHERME BOULOS";"9"
"AFONSO BEZERRA";"HENRIQUE MEIRELLES";"62"
"AFONSO BEZERRA";"JAIR BOLSONARO";"2623"
"AFONSO BEZERRA";"JOÃO AMOÊDO";"45"
"AFONSO BEZERRA";"JOÃO GOULART FILHO";"1"
"AFONSO BEZERRA";"MARINA SILVA";"22"
"AFONSO BEZERRA";"NULO";"261"
"AFONSO BEZERRA";"VERA";"2"
"ALEXANDRIA";"ALVARO DIAS";"4"
"ALEXANDRIA";"BRANCO";"62"
"ALEXANDRIA";"CABO DACIOLO";"41"
"ALEXANDRIA";"CIRO GOMES";"1714"
"ALEXANDRIA";"FERNANDO HADDAD";"3654"
"ALEXANDRIA";"GERALDO ALCKMIN";"85"
"ALEXANDRIA";"GUILHERME BOULOS";"9"
"ALEXANDRIA";"HENRIQUE MEIRELLES";"25"
"ALEXANDRIA";"JAIR BOLSONARO";"2557"
"ALEXANDRIA";"JOÃO AMOÊDO";"25"
"ALEXANDRIA";"JOÃO GOULART FILHO";"13"
"ALEXANDRIA";"MARINA SILVA";"16"
"ALEXANDRIA";"NULO";"314"
"ALEXANDRIA";"VERA";"2"
"ALMINO AFONSO";"ALVARO DIAS";"8"
"ALMINO AFONSO";"BRANCO";"71"
"ALMINO AFONSO";"CABO DACIOLO";"19"
"ALMINO AFONSO";"CIRO GOMES";"694"
"ALMINO AFONSO";"FERNANDO HADDAD";"1705"
"ALMINO AFONSO";"GERALDO ALCKMIN";"28"
"ALMINO AFONSO";"GUILHERME BOULOS";"7"
"ALMINO AFONSO";"HENRIQUE MEIRELLES";"18"
"ALMINO AFONSO";"JAIR BOLSONARO";"1350"
"ALMINO AFONSO";"JOÃO AMOÊDO";"21"
"ALMINO AFONSO";"MARINA SILVA";"10"
"ALMINO AFONSO";"NULO";"126"
"ALMINO AFONSO";"VERA";"2"
"ALTO DO RODRIGUES";"ALVARO DIAS";"23"
"ALTO DO RODRIGUES";"BRANCO";"95"
"ALTO DO RODRIGUES";"CABO DACIOLO";"87"
"ALTO DO RODRIGUES";"CIRO GOMES";"1964"
"ALTO DO RODRIGUES";"EYMAEL";"1"
"ALTO DO RODRIGUES";"FERNANDO HADDAD";"3277"
"ALTO DO RODRIGUES";"GERALDO ALCKMIN";"65"
"ALTO DO RODRIGUES";"GUILHERME BOULOS";"10"
"ALTO DO RODRIGUES";"HENRIQUE MEIRELLES";"37"
"ALTO DO RODRIGUES";"JAIR BOLSONARO";"2834"
"ALTO DO RODRIGUES";"JOÃO AMOÊDO";"35"
"ALTO DO RODRIGUES";"MARINA SILVA";"20"
"ALTO DO RODRIGUES";"NULO";"336"
"ALTO DO RODRIGUES";"VERA";"1"
"ANGICOS";"ALVARO DIAS";"20"
"ANGICOS";"BRANCO";"97"
"ANGICOS";"CABO DACIOLO";"46"
"ANGICOS";"CIRO GOMES";"2294"
"ANGICOS";"FERNANDO HADDAD";"1798"
"ANGICOS";"GERALDO ALCKMIN";"106"
"ANGICOS";"GUILHERME BOULOS";"18"
"ANGICOS";"HENRIQUE MEIRELLES";"44"
"ANGICOS";"JAIR BOLSONARO";"2841"
"ANGICOS";"JOÃO AMOÊDO";"69"
"ANGICOS";"JOÃO GOULART FILHO";"1"
"ANGICOS";"MARINA SILVA";"16"
"ANGICOS";"NULO";"287"
"ANGICOS";"VERA";"5"
"ANTÔNIO MARTINS";"ALVARO DIAS";"16"
"ANTÔNIO MARTINS";"BRANCO";"78"
"ANTÔNIO MARTINS";"CABO DACIOLO";"43"
"ANTÔNIO MARTINS";"CIRO GOMES";"763"
"ANTÔNIO MARTINS";"FERNANDO HADDAD";"2030"
"ANTÔNIO MARTINS";"GERALDO ALCKMIN";"48"
"ANTÔNIO MARTINS";"GUILHERME BOULOS";"4"
"ANTÔNIO MARTINS";"HENRIQUE MEIRELLES";"18"
"ANTÔNIO MARTINS";"JAIR BOLSONARO";"1447"
"ANTÔNIO MARTINS";"JOÃO AMOÊDO";"5"
"ANTÔNIO MARTINS";"JOÃO GOULART FILHO";"1"
"ANTÔNIO MARTINS";"MARINA SILVA";"7"
"ANTÔNIO MARTINS";"NULO";"197"
"ANTÔNIO MARTINS";"VERA";"2"
"APODI";"ALVARO DIAS";"49"
"APODI";"BRANCO";"342"
"APODI";"CABO DACIOLO";"191"
"APODI";"CIRO GOMES";"6864"
"APODI";"EYMAEL";"1"
"APODI";"FERNANDO HADDAD";"7154"
"APODI";"GERALDO ALCKMIN";"113"
"APODI";"GUILHERME BOULOS";"30"
"APODI";"HENRIQUE MEIRELLES";"146"
"APODI";"JAIR BOLSONARO";"7265"
"APODI";"JOÃO AMOÊDO";"106"
"APODI";"JOÃO GOULART FILHO";"5"
"APODI";"MARINA SILVA";"71"
"APODI";"NULO";"777"
"APODI";"VERA";"4"
"AREIA BRANCA";"ALVARO DIAS";"23"
"AREIA BRANCA";"BRANCO";"269"
"AREIA BRANCA";"CABO DACIOLO";"182"
"AREIA BRANCA";"CIRO GOMES";"4305"
"AREIA BRANCA";"EYMAEL";"6"
"AREIA BRANCA";"FERNANDO HADDAD";"3393"
"AREIA BRANCA";"GERALDO ALCKMIN";"265"
"AREIA BRANCA";"GUILHERME BOULOS";"53"
"AREIA BRANCA";"HENRIQUE MEIRELLES";"56"
"AREIA BRANCA";"JAIR BOLSONARO";"6667"
"AREIA BRANCA";"JOÃO AMOÊDO";"78"
"AREIA BRANCA";"JOÃO GOULART FILHO";"4"
"AREIA BRANCA";"MARINA SILVA";"81"
"AREIA BRANCA";"NULO";"1064"
"AREIA BRANCA";"VERA";"10"
"ARÊS";"ALVARO DIAS";"11"
"ARÊS";"BRANCO";"164"
"ARÊS";"CABO DACIOLO";"125"
"ARÊS";"CIRO GOMES";"1211"
"ARÊS";"EYMAEL";"1"
"ARÊS";"FERNANDO HADDAD";"3058"
"ARÊS";"GERALDO ALCKMIN";"172"
"ARÊS";"GUILHERME BOULOS";"16"
"ARÊS";"HENRIQUE MEIRELLES";"49"
"ARÊS";"JAIR BOLSONARO";"3521"
"ARÊS";"JOÃO AMOÊDO";"14"
"ARÊS";"JOÃO GOULART FILHO";"1"
"ARÊS";"MARINA SILVA";"39"
"ARÊS";"NULO";"548"
"ARÊS";"VERA";"2"
"ASSÚ";"ALVARO DIAS";"87"
"ASSÚ";"BRANCO";"523"
"ASSÚ";"CABO DACIOLO";"564"
"ASSÚ";"CIRO GOMES";"8010"
"ASSÚ";"EYMAEL";"6"
"ASSÚ";"FERNANDO HADDAD";"11263"
"ASSÚ";"GERALDO ALCKMIN";"280"
"ASSÚ";"GUILHERME BOULOS";"32"
"ASSÚ";"HENRIQUE MEIRELLES";"131"
"ASSÚ";"JAIR BOLSONARO";"11631"
"ASSÚ";"JOÃO AMOÊDO";"290"
"ASSÚ";"JOÃO GOULART FILHO";"11"
"ASSÚ";"MARINA SILVA";"104"
"ASSÚ";"NULO";"1447"
"ASSÚ";"VERA";"8"
"BARAÚNA";"ALVARO DIAS";"32"
"BARAÚNA";"BRANCO";"286"
"BARAÚNA";"CABO DACIOLO";"128"
"BARAÚNA";"CIRO GOMES";"3137"
"BARAÚNA";"EYMAEL";"1"
"BARAÚNA";"FERNANDO HADDAD";"4546"
"BARAÚNA";"GERALDO ALCKMIN";"157"
"BARAÚNA";"GUILHERME BOULOS";"30"
"BARAÚNA";"HENRIQUE MEIRELLES";"49"
"BARAÚNA";"JAIR BOLSONARO";"6009"
"BARAÚNA";"JOÃO AMOÊDO";"77"
"BARAÚNA";"JOÃO GOULART FILHO";"3"
"BARAÚNA";"MARINA SILVA";"34"
"BARAÚNA";"NULO";"816"
"BARAÚNA";"VERA";"8"
"BARCELONA";"ALVARO DIAS";"7"
"BARCELONA";"BRANCO";"43"
"BARCELONA";"CABO DACIOLO";"13"
"BARCELONA";"CIRO GOMES";"590"
"BARCELONA";"EYMAEL";"1"
"BARCELONA";"FERNANDO HADDAD";"1087"
"BARCELONA";"GERALDO ALCKMIN";"183"
"BARCELONA";"GUILHERME BOULOS";"12"
"BARCELONA";"HENRIQUE MEIRELLES";"17"
