"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ALTA FLORESTA DO OESTE";"ALVARO DIAS";"195"
"ALTA FLORESTA DO OESTE";"BRANCO";"160"
"ALTA FLORESTA DO OESTE";"CABO DACIOLO";"62"
"ALTA FLORESTA DO OESTE";"CIRO GOMES";"486"
"ALTA FLORESTA DO OESTE";"EYMAEL";"4"
"ALTA FLORESTA DO OESTE";"FERNANDO HADDAD";"2201"
"ALTA FLORESTA DO OESTE";"GERALDO ALCKMIN";"672"
"ALTA FLORESTA DO OESTE";"GUILHERME BOULOS";"81"
"ALTA FLORESTA DO OESTE";"HENRIQUE MEIRELLES";"184"
"ALTA FLORESTA DO OESTE";"JAIR BOLSONARO";"8783"
"ALTA FLORESTA DO OESTE";"JOÃO AMOÊDO";"185"
"ALTA FLORESTA DO OESTE";"JOÃO GOULART FILHO";"2"
"ALTA FLORESTA DO OESTE";"MARINA SILVA";"55"
"ALTA FLORESTA DO OESTE";"NULO";"361"
"ALTA FLORESTA DO OESTE";"VERA";"4"
"ALTO ALEGRE DOS PARECIS";"ALVARO DIAS";"85"
"ALTO ALEGRE DOS PARECIS";"BRANCO";"86"
"ALTO ALEGRE DOS PARECIS";"CABO DACIOLO";"29"
"ALTO ALEGRE DOS PARECIS";"CIRO GOMES";"337"
"ALTO ALEGRE DOS PARECIS";"FERNANDO HADDAD";"1355"
"ALTO ALEGRE DOS PARECIS";"GERALDO ALCKMIN";"418"
"ALTO ALEGRE DOS PARECIS";"GUILHERME BOULOS";"28"
"ALTO ALEGRE DOS PARECIS";"HENRIQUE MEIRELLES";"87"
"ALTO ALEGRE DOS PARECIS";"JAIR BOLSONARO";"4011"
"ALTO ALEGRE DOS PARECIS";"JOÃO AMOÊDO";"47"
"ALTO ALEGRE DOS PARECIS";"JOÃO GOULART FILHO";"2"
"ALTO ALEGRE DOS PARECIS";"MARINA SILVA";"29"
"ALTO ALEGRE DOS PARECIS";"NULO";"199"
"ALTO ALEGRE DOS PARECIS";"VERA";"2"
"ALTO PARAÍSO";"ALVARO DIAS";"53"
"ALTO PARAÍSO";"BRANCO";"125"
"ALTO PARAÍSO";"CABO DACIOLO";"22"
"ALTO PARAÍSO";"CIRO GOMES";"288"
"ALTO PARAÍSO";"EYMAEL";"2"
"ALTO PARAÍSO";"FERNANDO HADDAD";"1411"
"ALTO PARAÍSO";"GERALDO ALCKMIN";"451"
"ALTO PARAÍSO";"GUILHERME BOULOS";"33"
"ALTO PARAÍSO";"HENRIQUE MEIRELLES";"139"
"ALTO PARAÍSO";"JAIR BOLSONARO";"6109"
"ALTO PARAÍSO";"JOÃO AMOÊDO";"58"
"ALTO PARAÍSO";"MARINA SILVA";"41"
"ALTO PARAÍSO";"NULO";"243"
"ALTO PARAÍSO";"VERA";"3"
"ALVORADA DO OESTE";"ALVARO DIAS";"120"
"ALVORADA DO OESTE";"BRANCO";"119"
"ALVORADA DO OESTE";"CABO DACIOLO";"33"
"ALVORADA DO OESTE";"CIRO GOMES";"444"
"ALVORADA DO OESTE";"EYMAEL";"1"
"ALVORADA DO OESTE";"FERNANDO HADDAD";"1627"
"ALVORADA DO OESTE";"GERALDO ALCKMIN";"464"
"ALVORADA DO OESTE";"GUILHERME BOULOS";"47"
"ALVORADA DO OESTE";"HENRIQUE MEIRELLES";"157"
"ALVORADA DO OESTE";"JAIR BOLSONARO";"4990"
"ALVORADA DO OESTE";"JOÃO AMOÊDO";"72"
"ALVORADA DO OESTE";"JOÃO GOULART FILHO";"1"
"ALVORADA DO OESTE";"MARINA SILVA";"35"
"ALVORADA DO OESTE";"NULO";"286"
"ALVORADA DO OESTE";"VERA";"7"
"ARIQUEMES";"ALVARO DIAS";"491"
"ARIQUEMES";"BRANCO";"595"
"ARIQUEMES";"CABO DACIOLO";"417"
"ARIQUEMES";"CIRO GOMES";"2266"
"ARIQUEMES";"EYMAEL";"5"
"ARIQUEMES";"FERNANDO HADDAD";"4397"
"ARIQUEMES";"GERALDO ALCKMIN";"1850"
"ARIQUEMES";"GUILHERME BOULOS";"302"
"ARIQUEMES";"HENRIQUE MEIRELLES";"613"
"ARIQUEMES";"JAIR BOLSONARO";"37358"
"ARIQUEMES";"JOÃO AMOÊDO";"834"
"ARIQUEMES";"JOÃO GOULART FILHO";"5"
"ARIQUEMES";"MARINA SILVA";"283"
"ARIQUEMES";"NULO";"1258"
"ARIQUEMES";"VERA";"21"
"BURITIS";"ALVARO DIAS";"101"
"BURITIS";"BRANCO";"172"
"BURITIS";"CABO DACIOLO";"76"
"BURITIS";"CIRO GOMES";"725"
"BURITIS";"EYMAEL";"2"
"BURITIS";"FERNANDO HADDAD";"1935"
"BURITIS";"GERALDO ALCKMIN";"651"
"BURITIS";"GUILHERME BOULOS";"63"
"BURITIS";"HENRIQUE MEIRELLES";"205"
"BURITIS";"JAIR BOLSONARO";"12031"
"BURITIS";"JOÃO AMOÊDO";"81"
"BURITIS";"JOÃO GOULART FILHO";"3"
"BURITIS";"MARINA SILVA";"41"
"BURITIS";"NULO";"426"
"BURITIS";"VERA";"1"
"CABIXI";"ALVARO DIAS";"59"
"CABIXI";"BRANCO";"43"
"CABIXI";"CABO DACIOLO";"16"
"CABIXI";"CIRO GOMES";"153"
"CABIXI";"FERNANDO HADDAD";"659"
"CABIXI";"GERALDO ALCKMIN";"188"
"CABIXI";"GUILHERME BOULOS";"19"
"CABIXI";"HENRIQUE MEIRELLES";"47"
"CABIXI";"JAIR BOLSONARO";"2263"
"CABIXI";"JOÃO AMOÊDO";"44"
"CABIXI";"MARINA SILVA";"19"
"CABIXI";"NULO";"104"
"CABIXI";"VERA";"1"
"CACAULÂNDIA";"ALVARO DIAS";"78"
"CACAULÂNDIA";"BRANCO";"20"
"CACAULÂNDIA";"CABO DACIOLO";"29"
"CACAULÂNDIA";"CIRO GOMES";"82"
"CACAULÂNDIA";"FERNANDO HADDAD";"405"
"CACAULÂNDIA";"GERALDO ALCKMIN";"158"
"CACAULÂNDIA";"GUILHERME BOULOS";"14"
"CACAULÂNDIA";"HENRIQUE MEIRELLES";"42"
"CACAULÂNDIA";"JAIR BOLSONARO";"2062"
"CACAULÂNDIA";"JOÃO AMOÊDO";"33"
"CACAULÂNDIA";"JOÃO GOULART FILHO";"1"
"CACAULÂNDIA";"MARINA SILVA";"16"
"CACAULÂNDIA";"NULO";"98"
"CACAULÂNDIA";"VERA";"1"
"CACOAL";"ALVARO DIAS";"531"
"CACOAL";"BRANCO";"602"
"CACOAL";"CABO DACIOLO";"258"
"CACOAL";"CIRO GOMES";"2530"
"CACOAL";"EYMAEL";"18"
"CACOAL";"FERNANDO HADDAD";"5038"
"CACOAL";"GERALDO ALCKMIN";"1863"
"CACOAL";"GUILHERME BOULOS";"287"
"CACOAL";"HENRIQUE MEIRELLES";"618"
"CACOAL";"JAIR BOLSONARO";"35258"
"CACOAL";"JOÃO AMOÊDO";"1341"
"CACOAL";"JOÃO GOULART FILHO";"9"
"CACOAL";"MARINA SILVA";"349"
"CACOAL";"NULO";"1187"
"CACOAL";"VERA";"11"
"CAMPO NOVO DE RONDÔNIA";"ALVARO DIAS";"82"
"CAMPO NOVO DE RONDÔNIA";"BRANCO";"54"
"CAMPO NOVO DE RONDÔNIA";"CABO DACIOLO";"38"
"CAMPO NOVO DE RONDÔNIA";"CIRO GOMES";"255"
"CAMPO NOVO DE RONDÔNIA";"EYMAEL";"1"
"CAMPO NOVO DE RONDÔNIA";"FERNANDO HADDAD";"1118"
"CAMPO NOVO DE RONDÔNIA";"GERALDO ALCKMIN";"341"
"CAMPO NOVO DE RONDÔNIA";"GUILHERME BOULOS";"23"
"CAMPO NOVO DE RONDÔNIA";"HENRIQUE MEIRELLES";"78"
"CAMPO NOVO DE RONDÔNIA";"JAIR BOLSONARO";"3827"
"CAMPO NOVO DE RONDÔNIA";"JOÃO AMOÊDO";"55"
"CAMPO NOVO DE RONDÔNIA";"MARINA SILVA";"17"
"CAMPO NOVO DE RONDÔNIA";"NULO";"139"
"CAMPO NOVO DE RONDÔNIA";"VERA";"1"
"CANDEIAS DO JAMARI";"ALVARO DIAS";"93"
"CANDEIAS DO JAMARI";"BRANCO";"129"
"CANDEIAS DO JAMARI";"CABO DACIOLO";"189"
"CANDEIAS DO JAMARI";"CIRO GOMES";"771"
"CANDEIAS DO JAMARI";"EYMAEL";"28"
"CANDEIAS DO JAMARI";"FERNANDO HADDAD";"2815"
"CANDEIAS DO JAMARI";"GERALDO ALCKMIN";"500"
"CANDEIAS DO JAMARI";"GUILHERME BOULOS";"92"
"CANDEIAS DO JAMARI";"HENRIQUE MEIRELLES";"235"
"CANDEIAS DO JAMARI";"JAIR BOLSONARO";"7912"
"CANDEIAS DO JAMARI";"JOÃO AMOÊDO";"114"
"CANDEIAS DO JAMARI";"JOÃO GOULART FILHO";"2"
"CANDEIAS DO JAMARI";"MARINA SILVA";"116"
"CANDEIAS DO JAMARI";"NULO";"258"
"CANDEIAS DO JAMARI";"VERA";"7"
"CASTANHEIRAS";"ALVARO DIAS";"34"
"CASTANHEIRAS";"BRANCO";"26"
"CASTANHEIRAS";"CABO DACIOLO";"12"
"CASTANHEIRAS";"CIRO GOMES";"119"
"CASTANHEIRAS";"FERNANDO HADDAD";"539"
