"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ALTO ALEGRE";"ALVARO DIAS";"34"
"ALTO ALEGRE";"BRANCO";"82"
"ALTO ALEGRE";"CABO DACIOLO";"56"
"ALTO ALEGRE";"CIRO GOMES";"389"
"ALTO ALEGRE";"EYMAEL";"7"
"ALTO ALEGRE";"FERNANDO HADDAD";"1625"
"ALTO ALEGRE";"GERALDO ALCKMIN";"769"
"ALTO ALEGRE";"GUILHERME BOULOS";"68"
"ALTO ALEGRE";"HENRIQUE MEIRELLES";"89"
"ALTO ALEGRE";"JAIR BOLSONARO";"5176"
"ALTO ALEGRE";"JOÃO AMOÊDO";"27"
"ALTO ALEGRE";"MARINA SILVA";"113"
"ALTO ALEGRE";"NULO";"202"
"ALTO ALEGRE";"VERA";"3"
"AMAJARI";"ALVARO DIAS";"22"
"AMAJARI";"BRANCO";"28"
"AMAJARI";"CABO DACIOLO";"40"
"AMAJARI";"CIRO GOMES";"237"
"AMAJARI";"EYMAEL";"2"
"AMAJARI";"FERNANDO HADDAD";"880"
"AMAJARI";"GERALDO ALCKMIN";"552"
"AMAJARI";"GUILHERME BOULOS";"85"
"AMAJARI";"HENRIQUE MEIRELLES";"66"
"AMAJARI";"JAIR BOLSONARO";"3045"
"AMAJARI";"JOÃO AMOÊDO";"27"
"AMAJARI";"JOÃO GOULART FILHO";"3"
"AMAJARI";"MARINA SILVA";"181"
"AMAJARI";"NULO";"104"
"AMAJARI";"VERA";"3"
"BOA VISTA";"ALVARO DIAS";"1075"
"BOA VISTA";"BRANCO";"1314"
"BOA VISTA";"CABO DACIOLO";"2167"
"BOA VISTA";"CIRO GOMES";"10843"
"BOA VISTA";"EYMAEL";"85"
"BOA VISTA";"FERNANDO HADDAD";"13137"
"BOA VISTA";"GERALDO ALCKMIN";"10981"
"BOA VISTA";"GUILHERME BOULOS";"1780"
"BOA VISTA";"HENRIQUE MEIRELLES";"2399"
"BOA VISTA";"JAIR BOLSONARO";"131307"
"BOA VISTA";"JOÃO AMOÊDO";"3831"
"BOA VISTA";"JOÃO GOULART FILHO";"47"
"BOA VISTA";"MARINA SILVA";"2743"
"BOA VISTA";"NULO";"2954"
"BOA VISTA";"VERA";"104"
"BONFIM";"ALVARO DIAS";"35"
"BONFIM";"BRANCO";"34"
"BONFIM";"CABO DACIOLO";"73"
"BONFIM";"CIRO GOMES";"271"
"BONFIM";"EYMAEL";"3"
"BONFIM";"FERNANDO HADDAD";"1371"
"BONFIM";"GERALDO ALCKMIN";"748"
"BONFIM";"GUILHERME BOULOS";"45"
"BONFIM";"HENRIQUE MEIRELLES";"69"
"BONFIM";"JAIR BOLSONARO";"4415"
"BONFIM";"JOÃO AMOÊDO";"59"
"BONFIM";"JOÃO GOULART FILHO";"1"
