"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ACEGUÁ";"ALVARO DIAS";"17"
"ACEGUÁ";"BRANCO";"70"
"ACEGUÁ";"CABO DACIOLO";"19"
"ACEGUÁ";"CIRO GOMES";"138"
"ACEGUÁ";"EYMAEL";"1"
"ACEGUÁ";"FERNANDO HADDAD";"595"
"ACEGUÁ";"GERALDO ALCKMIN";"219"
"ACEGUÁ";"GUILHERME BOULOS";"7"
"ACEGUÁ";"HENRIQUE MEIRELLES";"84"
"ACEGUÁ";"JAIR BOLSONARO";"1803"
"ACEGUÁ";"JOÃO AMOÊDO";"16"
"ACEGUÁ";"JOÃO GOULART FILHO";"1"
"ACEGUÁ";"MARINA SILVA";"21"
"ACEGUÁ";"NULO";"38"
"AGUDO";"ALVARO DIAS";"68"
"AGUDO";"BRANCO";"349"
"AGUDO";"CABO DACIOLO";"39"
"AGUDO";"CIRO GOMES";"714"
"AGUDO";"EYMAEL";"1"
"AGUDO";"FERNANDO HADDAD";"2193"
"AGUDO";"GERALDO ALCKMIN";"618"
"AGUDO";"GUILHERME BOULOS";"36"
"AGUDO";"HENRIQUE MEIRELLES";"191"
"AGUDO";"JAIR BOLSONARO";"6419"
"AGUDO";"JOÃO AMOÊDO";"190"
"AGUDO";"JOÃO GOULART FILHO";"9"
"AGUDO";"MARINA SILVA";"40"
"AGUDO";"NULO";"172"
"AGUDO";"VERA";"5"
"AJURICABA";"ALVARO DIAS";"30"
"AJURICABA";"BRANCO";"47"
"AJURICABA";"CABO DACIOLO";"12"
"AJURICABA";"CIRO GOMES";"477"
"AJURICABA";"EYMAEL";"2"
"AJURICABA";"FERNANDO HADDAD";"815"
"AJURICABA";"GERALDO ALCKMIN";"298"
"AJURICABA";"GUILHERME BOULOS";"16"
"AJURICABA";"HENRIQUE MEIRELLES";"47"
"AJURICABA";"JAIR BOLSONARO";"3178"
"AJURICABA";"JOÃO AMOÊDO";"48"
"AJURICABA";"JOÃO GOULART FILHO";"2"
"AJURICABA";"MARINA SILVA";"6"
"AJURICABA";"NULO";"45"
"AJURICABA";"VERA";"1"
"ALECRIM";"ALVARO DIAS";"42"
"ALECRIM";"BRANCO";"82"
"ALECRIM";"CABO DACIOLO";"9"
"ALECRIM";"CIRO GOMES";"291"
"ALECRIM";"FERNANDO HADDAD";"1167"
"ALECRIM";"GERALDO ALCKMIN";"211"
"ALECRIM";"GUILHERME BOULOS";"7"
"ALECRIM";"HENRIQUE MEIRELLES";"129"
"ALECRIM";"JAIR BOLSONARO";"2549"
"ALECRIM";"JOÃO AMOÊDO";"34"
"ALECRIM";"MARINA SILVA";"16"
"ALECRIM";"NULO";"90"
"ALECRIM";"VERA";"1"
"ALEGRETE";"ALVARO DIAS";"211"
"ALEGRETE";"BRANCO";"962"
"ALEGRETE";"CABO DACIOLO";"303"
"ALEGRETE";"CIRO GOMES";"4756"
"ALEGRETE";"EYMAEL";"7"
"ALEGRETE";"FERNANDO HADDAD";"8964"
"ALEGRETE";"GERALDO ALCKMIN";"2853"
"ALEGRETE";"GUILHERME BOULOS";"249"
"ALEGRETE";"HENRIQUE MEIRELLES";"944"
"ALEGRETE";"JAIR BOLSONARO";"23514"
"ALEGRETE";"JOÃO AMOÊDO";"436"
"ALEGRETE";"JOÃO GOULART FILHO";"13"
"ALEGRETE";"MARINA SILVA";"334"
"ALEGRETE";"NULO";"656"
"ALEGRETE";"VERA";"19"
"ALEGRIA";"ALVARO DIAS";"26"
"ALEGRIA";"BRANCO";"77"
"ALEGRIA";"CABO DACIOLO";"3"
"ALEGRIA";"CIRO GOMES";"221"
"ALEGRIA";"FERNANDO HADDAD";"655"
"ALEGRIA";"GERALDO ALCKMIN";"153"
"ALEGRIA";"GUILHERME BOULOS";"5"
"ALEGRIA";"HENRIQUE MEIRELLES";"97"
"ALEGRIA";"JAIR BOLSONARO";"1458"
"ALEGRIA";"JOÃO AMOÊDO";"13"
"ALEGRIA";"MARINA SILVA";"7"
"ALEGRIA";"NULO";"50"
"ALMIRANTE TAMANDARÉ DO SUL";"ALVARO DIAS";"21"
"ALMIRANTE TAMANDARÉ DO SUL";"BRANCO";"23"
"ALMIRANTE TAMANDARÉ DO SUL";"CABO DACIOLO";"1"
"ALMIRANTE TAMANDARÉ DO SUL";"CIRO GOMES";"160"
"ALMIRANTE TAMANDARÉ DO SUL";"FERNANDO HADDAD";"317"
"ALMIRANTE TAMANDARÉ DO SUL";"GERALDO ALCKMIN";"67"
"ALMIRANTE TAMANDARÉ DO SUL";"GUILHERME BOULOS";"3"
"ALMIRANTE TAMANDARÉ DO SUL";"HENRIQUE MEIRELLES";"20"
"ALMIRANTE TAMANDARÉ DO SUL";"JAIR BOLSONARO";"966"
"ALMIRANTE TAMANDARÉ DO SUL";"JOÃO AMOÊDO";"31"
"ALMIRANTE TAMANDARÉ DO SUL";"MARINA SILVA";"3"
"ALMIRANTE TAMANDARÉ DO SUL";"NULO";"32"
"ALPESTRE";"ALVARO DIAS";"30"
"ALPESTRE";"BRANCO";"196"
"ALPESTRE";"CABO DACIOLO";"17"
"ALPESTRE";"CIRO GOMES";"281"
"ALPESTRE";"EYMAEL";"1"
"ALPESTRE";"FERNANDO HADDAD";"1517"
"ALPESTRE";"GERALDO ALCKMIN";"211"
"ALPESTRE";"GUILHERME BOULOS";"4"
"ALPESTRE";"HENRIQUE MEIRELLES";"210"
"ALPESTRE";"JAIR BOLSONARO";"2587"
"ALPESTRE";"JOÃO AMOÊDO";"34"
"ALPESTRE";"JOÃO GOULART FILHO";"1"
"ALPESTRE";"MARINA SILVA";"13"
"ALPESTRE";"NULO";"88"
"ALPESTRE";"VERA";"2"
"ALTO ALEGRE";"ALVARO DIAS";"6"
"ALTO ALEGRE";"BRANCO";"31"
"ALTO ALEGRE";"CABO DACIOLO";"4"
"ALTO ALEGRE";"CIRO GOMES";"311"
"ALTO ALEGRE";"FERNANDO HADDAD";"247"
"ALTO ALEGRE";"GERALDO ALCKMIN";"59"
"ALTO ALEGRE";"GUILHERME BOULOS";"3"
"ALTO ALEGRE";"HENRIQUE MEIRELLES";"25"
"ALTO ALEGRE";"JAIR BOLSONARO";"778"
"ALTO ALEGRE";"JOÃO AMOÊDO";"14"
"ALTO ALEGRE";"MARINA SILVA";"4"
"ALTO ALEGRE";"NULO";"20"
"ALTO FELIZ";"ALVARO DIAS";"16"
"ALTO FELIZ";"BRANCO";"46"
"ALTO FELIZ";"CABO DACIOLO";"10"
"ALTO FELIZ";"CIRO GOMES";"133"
"ALTO FELIZ";"EYMAEL";"1"
"ALTO FELIZ";"FERNANDO HADDAD";"183"
"ALTO FELIZ";"GERALDO ALCKMIN";"176"
"ALTO FELIZ";"GUILHERME BOULOS";"2"
"ALTO FELIZ";"HENRIQUE MEIRELLES";"120"
"ALTO FELIZ";"JAIR BOLSONARO";"1398"
"ALTO FELIZ";"JOÃO AMOÊDO";"68"
"ALTO FELIZ";"MARINA SILVA";"9"
"ALTO FELIZ";"NULO";"92"
"ALTO FELIZ";"VERA";"2"
"ALVORADA";"ALVARO DIAS";"519"
"ALVORADA";"BRANCO";"4064"
"ALVORADA";"CABO DACIOLO";"995"
"ALVORADA";"CIRO GOMES";"11874"
"ALVORADA";"EYMAEL";"18"
"ALVORADA";"FERNANDO HADDAD";"15046"
"ALVORADA";"GERALDO ALCKMIN";"5546"
"ALVORADA";"GUILHERME BOULOS";"869"
"ALVORADA";"HENRIQUE MEIRELLES";"3154"
"ALVORADA";"JAIR BOLSONARO";"57957"
"ALVORADA";"JOÃO AMOÊDO";"1824"
"ALVORADA";"JOÃO GOULART FILHO";"66"
"ALVORADA";"MARINA SILVA";"1364"
"ALVORADA";"NULO";"3478"
"ALVORADA";"VERA";"81"
"AMARAL FERRADOR";"ALVARO DIAS";"19"
"AMARAL FERRADOR";"BRANCO";"149"
"AMARAL FERRADOR";"CABO DACIOLO";"9"
"AMARAL FERRADOR";"CIRO GOMES";"456"
"AMARAL FERRADOR";"EYMAEL";"7"
"AMARAL FERRADOR";"FERNANDO HADDAD";"877"
"AMARAL FERRADOR";"GERALDO ALCKMIN";"246"
"AMARAL FERRADOR";"GUILHERME BOULOS";"4"
"AMARAL FERRADOR";"HENRIQUE MEIRELLES";"60"
"AMARAL FERRADOR";"JAIR BOLSONARO";"1899"
"AMARAL FERRADOR";"JOÃO AMOÊDO";"15"
"AMARAL FERRADOR";"MARINA SILVA";"3"
"AMARAL FERRADOR";"NULO";"95"
"AMARAL FERRADOR";"VERA";"1"
"AMETISTA DO SUL";"ALVARO DIAS";"16"
"AMETISTA DO SUL";"BRANCO";"115"
"AMETISTA DO SUL";"CABO DACIOLO";"9"
"AMETISTA DO SUL";"CIRO GOMES";"488"
"AMETISTA DO SUL";"EYMAEL";"1"
"AMETISTA DO SUL";"FERNANDO HADDAD";"1105"
"AMETISTA DO SUL";"GERALDO ALCKMIN";"197"
"AMETISTA DO SUL";"GUILHERME BOULOS";"11"
"AMETISTA DO SUL";"HENRIQUE MEIRELLES";"64"
"AMETISTA DO SUL";"JAIR BOLSONARO";"2397"
"AMETISTA DO SUL";"JOÃO AMOÊDO";"44"
"AMETISTA DO SUL";"JOÃO GOULART FILHO";"1"
"AMETISTA DO SUL";"MARINA SILVA";"4"
"AMETISTA DO SUL";"NULO";"113"
"AMETISTA DO SUL";"VERA";"2"
