"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABDON BATISTA";"ALVARO DIAS";"19"
"ABDON BATISTA";"BRANCO";"27"
"ABDON BATISTA";"CIRO GOMES";"67"
"ABDON BATISTA";"FERNANDO HADDAD";"401"
"ABDON BATISTA";"GERALDO ALCKMIN";"192"
"ABDON BATISTA";"GUILHERME BOULOS";"4"
"ABDON BATISTA";"HENRIQUE MEIRELLES";"86"
"ABDON BATISTA";"JAIR BOLSONARO";"1107"
"ABDON BATISTA";"JOÃO AMOÊDO";"23"
"ABDON BATISTA";"MARINA SILVA";"3"
"ABDON BATISTA";"NULO";"45"
"ABDON BATISTA";"VERA";"2"
"ABELARDO LUZ";"ALVARO DIAS";"114"
"ABELARDO LUZ";"BRANCO";"202"
"ABELARDO LUZ";"CABO DACIOLO";"40"
"ABELARDO LUZ";"CIRO GOMES";"296"
"ABELARDO LUZ";"FERNANDO HADDAD";"2523"
"ABELARDO LUZ";"GERALDO ALCKMIN";"298"
"ABELARDO LUZ";"GUILHERME BOULOS";"41"
"ABELARDO LUZ";"HENRIQUE MEIRELLES";"99"
"ABELARDO LUZ";"JAIR BOLSONARO";"5793"
"ABELARDO LUZ";"JOÃO AMOÊDO";"102"
"ABELARDO LUZ";"JOÃO GOULART FILHO";"1"
"ABELARDO LUZ";"MARINA SILVA";"23"
"ABELARDO LUZ";"NULO";"202"
"ABELARDO LUZ";"VERA";"2"
"AGROLÂNDIA";"ALVARO DIAS";"47"
"AGROLÂNDIA";"BRANCO";"96"
"AGROLÂNDIA";"CABO DACIOLO";"17"
"AGROLÂNDIA";"CIRO GOMES";"132"
"AGROLÂNDIA";"EYMAEL";"2"
"AGROLÂNDIA";"FERNANDO HADDAD";"678"
"AGROLÂNDIA";"GERALDO ALCKMIN";"212"
"AGROLÂNDIA";"GUILHERME BOULOS";"9"
"AGROLÂNDIA";"HENRIQUE MEIRELLES";"82"
"AGROLÂNDIA";"JAIR BOLSONARO";"4950"
"AGROLÂNDIA";"JOÃO AMOÊDO";"135"
"AGROLÂNDIA";"MARINA SILVA";"18"
"AGROLÂNDIA";"NULO";"256"
"AGROLÂNDIA";"VERA";"2"
"AGRONÔMICA";"ALVARO DIAS";"27"
"AGRONÔMICA";"BRANCO";"45"
"AGRONÔMICA";"CABO DACIOLO";"9"
"AGRONÔMICA";"CIRO GOMES";"93"
"AGRONÔMICA";"FERNANDO HADDAD";"209"
"AGRONÔMICA";"GERALDO ALCKMIN";"101"
"AGRONÔMICA";"GUILHERME BOULOS";"8"
"AGRONÔMICA";"HENRIQUE MEIRELLES";"49"
"AGRONÔMICA";"JAIR BOLSONARO";"2854"
