"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"AMPARO DE SÃO FRANCISCO";"ALVARO DIAS";"5"
"AMPARO DE SÃO FRANCISCO";"BRANCO";"31"
"AMPARO DE SÃO FRANCISCO";"CABO DACIOLO";"30"
"AMPARO DE SÃO FRANCISCO";"CIRO GOMES";"148"
"AMPARO DE SÃO FRANCISCO";"FERNANDO HADDAD";"782"
"AMPARO DE SÃO FRANCISCO";"GERALDO ALCKMIN";"201"
"AMPARO DE SÃO FRANCISCO";"GUILHERME BOULOS";"21"
"AMPARO DE SÃO FRANCISCO";"HENRIQUE MEIRELLES";"12"
"AMPARO DE SÃO FRANCISCO";"JAIR BOLSONARO";"773"
"AMPARO DE SÃO FRANCISCO";"JOÃO AMOÊDO";"4"
"AMPARO DE SÃO FRANCISCO";"JOÃO GOULART FILHO";"1"
"AMPARO DE SÃO FRANCISCO";"MARINA SILVA";"10"
"AMPARO DE SÃO FRANCISCO";"NULO";"93"
"AMPARO DE SÃO FRANCISCO";"VERA";"1"
"AQUIDABÃ";"ALVARO DIAS";"38"
"AQUIDABÃ";"BRANCO";"173"
"AQUIDABÃ";"CABO DACIOLO";"74"
"AQUIDABÃ";"CIRO GOMES";"1024"
"AQUIDABÃ";"FERNANDO HADDAD";"5231"
"AQUIDABÃ";"GERALDO ALCKMIN";"285"
"AQUIDABÃ";"GUILHERME BOULOS";"36"
"AQUIDABÃ";"HENRIQUE MEIRELLES";"62"
"AQUIDABÃ";"JAIR BOLSONARO";"4645"
"AQUIDABÃ";"JOÃO AMOÊDO";"41"
"AQUIDABÃ";"JOÃO GOULART FILHO";"11"
"AQUIDABÃ";"MARINA SILVA";"84"
"AQUIDABÃ";"NULO";"756"
"AQUIDABÃ";"VERA";"14"
"ARACAJU";"ALVARO DIAS";"1751"
"ARACAJU";"BRANCO";"5485"
"ARACAJU";"CABO DACIOLO";"4738"
"ARACAJU";"CIRO GOMES";"57722"
"ARACAJU";"EYMAEL";"93"
"ARACAJU";"FERNANDO HADDAD";"59728"
"ARACAJU";"GERALDO ALCKMIN";"9776"
"ARACAJU";"GUILHERME BOULOS";"3639"
"ARACAJU";"HENRIQUE MEIRELLES";"2489"
"ARACAJU";"JAIR BOLSONARO";"155187"
"ARACAJU";"JOÃO AMOÊDO";"5249"
"ARACAJU";"JOÃO GOULART FILHO";"207"
"ARACAJU";"MARINA SILVA";"7701"
"ARACAJU";"NULO";"17403"
"ARACAJU";"VERA";"1744"
"ARAUÁ";"ALVARO DIAS";"15"
"ARAUÁ";"BRANCO";"125"
"ARAUÁ";"CABO DACIOLO";"46"
"ARAUÁ";"CIRO GOMES";"715"
"ARAUÁ";"FERNANDO HADDAD";"2912"
"ARAUÁ";"GERALDO ALCKMIN";"329"
"ARAUÁ";"GUILHERME BOULOS";"28"
"ARAUÁ";"HENRIQUE MEIRELLES";"40"
"ARAUÁ";"JAIR BOLSONARO";"2550"
"ARAUÁ";"JOÃO AMOÊDO";"22"
"ARAUÁ";"JOÃO GOULART FILHO";"4"
"ARAUÁ";"MARINA SILVA";"34"
"ARAUÁ";"NULO";"423"
"ARAUÁ";"VERA";"4"
"AREIA BRANCA";"ALVARO DIAS";"29"
"AREIA BRANCA";"BRANCO";"243"
"AREIA BRANCA";"CABO DACIOLO";"104"
"AREIA BRANCA";"CIRO GOMES";"925"
"AREIA BRANCA";"EYMAEL";"1"
"AREIA BRANCA";"FERNANDO HADDAD";"3816"
"AREIA BRANCA";"GERALDO ALCKMIN";"617"
"AREIA BRANCA";"GUILHERME BOULOS";"45"
"AREIA BRANCA";"HENRIQUE MEIRELLES";"88"
"AREIA BRANCA";"JAIR BOLSONARO";"4327"
"AREIA BRANCA";"JOÃO AMOÊDO";"27"
"AREIA BRANCA";"JOÃO GOULART FILHO";"8"
"AREIA BRANCA";"MARINA SILVA";"79"
"AREIA BRANCA";"NULO";"706"
"AREIA BRANCA";"VERA";"14"
"BARRA DOS COQUEIROS";"ALVARO DIAS";"66"
"BARRA DOS COQUEIROS";"BRANCO";"323"
"BARRA DOS COQUEIROS";"CABO DACIOLO";"202"
"BARRA DOS COQUEIROS";"CIRO GOMES";"1899"
"BARRA DOS COQUEIROS";"EYMAEL";"4"
"BARRA DOS COQUEIROS";"FERNANDO HADDAD";"3949"
"BARRA DOS COQUEIROS";"GERALDO ALCKMIN";"629"
"BARRA DOS COQUEIROS";"GUILHERME BOULOS";"114"
"BARRA DOS COQUEIROS";"HENRIQUE MEIRELLES";"122"
"BARRA DOS COQUEIROS";"JAIR BOLSONARO";"7367"
"BARRA DOS COQUEIROS";"JOÃO AMOÊDO";"111"
"BARRA DOS COQUEIROS";"JOÃO GOULART FILHO";"10"
"BARRA DOS COQUEIROS";"MARINA SILVA";"325"
"BARRA DOS COQUEIROS";"NULO";"899"
"BARRA DOS COQUEIROS";"VERA";"60"
"BOQUIM";"ALVARO DIAS";"41"
"BOQUIM";"BRANCO";"277"
"BOQUIM";"CABO DACIOLO";"101"
"BOQUIM";"CIRO GOMES";"1524"
"BOQUIM";"EYMAEL";"1"
"BOQUIM";"FERNANDO HADDAD";"5973"
"BOQUIM";"GERALDO ALCKMIN";"540"
"BOQUIM";"GUILHERME BOULOS";"49"
"BOQUIM";"HENRIQUE MEIRELLES";"120"
"BOQUIM";"JAIR BOLSONARO";"6469"
"BOQUIM";"JOÃO AMOÊDO";"104"
"BOQUIM";"JOÃO GOULART FILHO";"9"
"BOQUIM";"MARINA SILVA";"102"
"BOQUIM";"NULO";"1031"
"BOQUIM";"VERA";"5"
"BREJO GRANDE";"ALVARO DIAS";"9"
"BREJO GRANDE";"BRANCO";"104"
"BREJO GRANDE";"CABO DACIOLO";"60"
"BREJO GRANDE";"CIRO GOMES";"136"
"BREJO GRANDE";"EYMAEL";"1"
"BREJO GRANDE";"FERNANDO HADDAD";"2270"
"BREJO GRANDE";"GERALDO ALCKMIN";"166"
"BREJO GRANDE";"GUILHERME BOULOS";"14"
"BREJO GRANDE";"HENRIQUE MEIRELLES";"34"
"BREJO GRANDE";"JAIR BOLSONARO";"1816"
"BREJO GRANDE";"JOÃO AMOÊDO";"6"
"BREJO GRANDE";"JOÃO GOULART FILHO";"2"
"BREJO GRANDE";"MARINA SILVA";"36"
"BREJO GRANDE";"NULO";"246"
"BREJO GRANDE";"VERA";"2"
"CAMPO DO BRITO";"ALVARO DIAS";"20"
"CAMPO DO BRITO";"BRANCO";"198"
"CAMPO DO BRITO";"CABO DACIOLO";"51"
"CAMPO DO BRITO";"CIRO GOMES";"1163"
"CAMPO DO BRITO";"FERNANDO HADDAD";"4100"
"CAMPO DO BRITO";"GERALDO ALCKMIN";"717"
"CAMPO DO BRITO";"GUILHERME BOULOS";"39"
"CAMPO DO BRITO";"HENRIQUE MEIRELLES";"48"
"CAMPO DO BRITO";"JAIR BOLSONARO";"3819"
"CAMPO DO BRITO";"JOÃO AMOÊDO";"32"
"CAMPO DO BRITO";"JOÃO GOULART FILHO";"9"
"CAMPO DO BRITO";"MARINA SILVA";"43"
"CAMPO DO BRITO";"NULO";"666"
"CAMPO DO BRITO";"VERA";"8"
"CANHOBA";"ALVARO DIAS";"10"
"CANHOBA";"BRANCO";"46"
"CANHOBA";"CABO DACIOLO";"19"
"CANHOBA";"CIRO GOMES";"195"
"CANHOBA";"FERNANDO HADDAD";"1673"
