"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ADAMANTINA";"ALVARO DIAS";"116"
"ADAMANTINA";"BRANCO";"552"
"ADAMANTINA";"CABO DACIOLO";"84"
"ADAMANTINA";"CIRO GOMES";"1075"
"ADAMANTINA";"EYMAEL";"9"
"ADAMANTINA";"FERNANDO HADDAD";"1219"
"ADAMANTINA";"GERALDO ALCKMIN";"1788"
"ADAMANTINA";"GUILHERME BOULOS";"36"
"ADAMANTINA";"HENRIQUE MEIRELLES";"141"
"ADAMANTINA";"JAIR BOLSONARO";"14239"
"ADAMANTINA";"JOÃO AMOÊDO";"529"
"ADAMANTINA";"JOÃO GOULART FILHO";"4"
"ADAMANTINA";"MARINA SILVA";"83"
"ADAMANTINA";"NULO";"711"
"ADAMANTINA";"VERA";"5"
"ADOLFO";"ALVARO DIAS";"32"
"ADOLFO";"BRANCO";"71"
"ADOLFO";"CABO DACIOLO";"14"
"ADOLFO";"CIRO GOMES";"125"
"ADOLFO";"EYMAEL";"4"
"ADOLFO";"FERNANDO HADDAD";"310"
"ADOLFO";"GERALDO ALCKMIN";"368"
"ADOLFO";"GUILHERME BOULOS";"5"
"ADOLFO";"HENRIQUE MEIRELLES";"45"
"ADOLFO";"JAIR BOLSONARO";"1847"
"ADOLFO";"JOÃO AMOÊDO";"82"
"ADOLFO";"JOÃO GOULART FILHO";"2"
"ADOLFO";"MARINA SILVA";"5"
"ADOLFO";"NULO";"129"
"AGUAÍ";"ALVARO DIAS";"74"
"AGUAÍ";"BRANCO";"559"
"AGUAÍ";"CABO DACIOLO";"170"
"AGUAÍ";"CIRO GOMES";"1113"
"AGUAÍ";"EYMAEL";"9"
"AGUAÍ";"FERNANDO HADDAD";"1598"
"AGUAÍ";"GERALDO ALCKMIN";"2483"
"AGUAÍ";"GUILHERME BOULOS";"64"
"AGUAÍ";"HENRIQUE MEIRELLES";"215"
"AGUAÍ";"JAIR BOLSONARO";"9900"
"AGUAÍ";"JOÃO AMOÊDO";"521"
"AGUAÍ";"JOÃO GOULART FILHO";"2"
"AGUAÍ";"MARINA SILVA";"111"
"AGUAÍ";"NULO";"867"
"AGUAÍ";"VERA";"4"
"AGUDOS";"ALVARO DIAS";"148"
"AGUDOS";"BRANCO";"592"
"AGUDOS";"CABO DACIOLO";"253"
"AGUDOS";"CIRO GOMES";"1449"
