"NM_MUNICIPIO";"NM_VOTAVEL";"QT_VOTOS"
"ABREULÂNDIA";"ALVARO DIAS";"1"
"ABREULÂNDIA";"BRANCO";"8"
"ABREULÂNDIA";"CABO DACIOLO";"6"
"ABREULÂNDIA";"CIRO GOMES";"84"
"ABREULÂNDIA";"FERNANDO HADDAD";"843"
"ABREULÂNDIA";"GERALDO ALCKMIN";"29"
"ABREULÂNDIA";"GUILHERME BOULOS";"7"
"ABREULÂNDIA";"HENRIQUE MEIRELLES";"4"
"ABREULÂNDIA";"JAIR BOLSONARO";"517"
"ABREULÂNDIA";"JOÃO AMOÊDO";"1"
"ABREULÂNDIA";"MARINA SILVA";"12"
"ABREULÂNDIA";"NULO";"112"
"AGUIARNÓPOLIS";"ALVARO DIAS";"4"
"AGUIARNÓPOLIS";"BRANCO";"38"
"AGUIARNÓPOLIS";"CABO DACIOLO";"42"
"AGUIARNÓPOLIS";"CIRO GOMES";"182"
"AGUIARNÓPOLIS";"FERNANDO HADDAD";"1548"
"AGUIARNÓPOLIS";"GERALDO ALCKMIN";"54"
"AGUIARNÓPOLIS";"GUILHERME BOULOS";"3"
"AGUIARNÓPOLIS";"HENRIQUE MEIRELLES";"16"
"AGUIARNÓPOLIS";"JAIR BOLSONARO";"782"
"AGUIARNÓPOLIS";"JOÃO AMOÊDO";"7"
"AGUIARNÓPOLIS";"JOÃO GOULART FILHO";"1"
"AGUIARNÓPOLIS";"MARINA SILVA";"52"
"AGUIARNÓPOLIS";"NULO";"182"
"AGUIARNÓPOLIS";"VERA";"1"
"ALIANÇA DO TOCANTINS";"ALVARO DIAS";"11"
"ALIANÇA DO TOCANTINS";"BRANCO";"32"
"ALIANÇA DO TOCANTINS";"CABO DACIOLO";"11"
"ALIANÇA DO TOCANTINS";"CIRO GOMES";"147"
"ALIANÇA DO TOCANTINS";"FERNANDO HADDAD";"1386"
"ALIANÇA DO TOCANTINS";"GERALDO ALCKMIN";"123"
"ALIANÇA DO TOCANTINS";"GUILHERME BOULOS";"11"
"ALIANÇA DO TOCANTINS";"HENRIQUE MEIRELLES";"14"
"ALIANÇA DO TOCANTINS";"JAIR BOLSONARO";"1149"
"ALIANÇA DO TOCANTINS";"JOÃO AMOÊDO";"29"
"ALIANÇA DO TOCANTINS";"JOÃO GOULART FILHO";"1"
"ALIANÇA DO TOCANTINS";"MARINA SILVA";"25"
"ALIANÇA DO TOCANTINS";"NULO";"252"
"ALIANÇA DO TOCANTINS";"VERA";"1"
"ALMAS";"ALVARO DIAS";"5"
"ALMAS";"BRANCO";"38"
"ALMAS";"CABO DACIOLO";"13"
"ALMAS";"CIRO GOMES";"194"
"ALMAS";"EYMAEL";"2"
"ALMAS";"FERNANDO HADDAD";"2006"
"ALMAS";"GERALDO ALCKMIN";"178"
"ALMAS";"GUILHERME BOULOS";"6"
"ALMAS";"HENRIQUE MEIRELLES";"26"
"ALMAS";"JAIR BOLSONARO";"947"
"ALMAS";"JOÃO AMOÊDO";"15"
"ALMAS";"JOÃO GOULART FILHO";"2"
"ALMAS";"MARINA SILVA";"16"
"ALMAS";"NULO";"367"
"ALMAS";"VERA";"1"
"ALVORADA";"ALVARO DIAS";"24"
"ALVORADA";"BRANCO";"66"
"ALVORADA";"CABO DACIOLO";"28"
"ALVORADA";"CIRO GOMES";"194"
"ALVORADA";"EYMAEL";"2"
"ALVORADA";"FERNANDO HADDAD";"1687"
"ALVORADA";"GERALDO ALCKMIN";"189"
"ALVORADA";"GUILHERME BOULOS";"9"
